Ano;Urbana;Rural
1950;750903;1785372
1951;775068;1808749
1952;799283;1831302
1953;824290;1852940
1954;850179;1874123
1955;877009;1895234
1956;904685;1916698
1957;933113;1938839
1958;962537;1961544
1959;992821;1985004
1960;1023846;2009367
1961;1055436;2034870
1962;1088377;2060868
1963;1122562;2087709
1964;1157813;2115857
1965;1188469;2151123
1966;1219993;2188128
1967;1252567;2226487
1968;1285933;2265947
1969;1319833;2306072
1970;1354215;2346362
1971;1388834;2386957
1972;1424735;2426810
1973;1462178;2465360
1974;1501135;2502313
1975;1538625;2540462
1976;1577376;2576911
1977;1616419;2612782
1978;1659306;2645071
1979;1706022;2674564
1980;1754201;2704211
1981;1804215;2733631
1982;1854134;2764642
1983;1903822;2797708
1984;1955106;2831377
1985;2007939;2865843
1986;2062604;2901029
1987;2118883;2936754
1988;2176127;2972430
1989;2233141;3007595
1990;2290228;3040715
1991;2347462;3071296
1992;2404337;3100064
1993;2461224;3126871
1994;2518254;3152066
1995;2575505;3175969
1996;2632942;3198623
1997;2690814;3219753
1998;2749214;3239633
1999;2808232;3258636
2000;2868308;3276699
2001;2933079;3290334
2002;3001808;3300341
2003;3071744;3309665
2004;3143045;3318326
2005;3215906;3326254
2006;3289446;3334402
2007;3363610;3342809
2008;3439719;3350052
2009;3516830;3356911
2010;3594868;3363301
2011;3671424;3371585
2012;3747843;3380334
2013;3824990;3388436
2014;3902832;3395621
2015;3981498;3401511
2016;4060653;3406312
2017;4140189;3410074
2018;4219817;3413002
2019;4299439;3415138
