"Ano","Dia","Hora","ALB","ART","BGM","BUF","ELM","HPN","JFK","LGA","MSS","MSV","PBG","POU","RME","ROC","SWF","SYR"
2015,1,1,-6.75,-4.45,-8.95,-6.15,-6.15,-4.45,-1.15,-1.75,-7.25,-8.01,-6.75,-8.35,-1.75,-7.25,-7,-5.05
2015,1,2,-5.65,-5.05,-8.35,-6.15,-5.65,-5.05,-1.75,-1.75,-7.25,-8.01,-6.75,-5.05,-1.75,-9.45,-7,-5.65
2015,1,3,-5.65,-3.95,-8.95,-6.75,-5.65,-3.95,-1.75,-2.25,-7.25,-9.01,-7.25,-4.45,-2.25,-7.25,-6,-5.65
2015,1,4,-6.75,-4.45,-8.35,-6.15,-5.65,-4.45,-1.75,-2.25,-6.75,-10.01,-7.25,-4.45,-2.25,-7.25,-6,-5.65
2015,1,5,-7.25,-3.95,-8.35,-6.15,-6.15,-3.95,-1.75,-2.25,-7.25,-11.01,-7.25,-3.95,-2.25,-6.75,-6,-6.15
2015,1,6,-6.15,-3.95,-8.35,-5.05,-5.65,-3.95,-1.75,-2.25,-6.75,-9.05,-8.35,-3.95,-2.25,-6.75,-6,-6.75
2015,1,7,-6.75,-3.35,-8.35,-3.95,-5.05,-3.35,-2.25,-2.25,-6.75,-8.05,-6.75,-3.95,-2.25,-6.75,-6,-6.15
2015,1,8,-6.15,-3.35,-8.35,-5.65,-5.05,-3.35,-1.75,-2.25,-6.75,-8.05,-6.15,-3.95,-2.25,-6.15,-6,-6.75
2015,1,9,-6.15,-3.35,-8.35,-5.05,-6.15,-3.35,-1.75,-2.25,-6.75,-8.05,-6.15,-4.45,-2.25,-5.05,-5.5,-6.75
2015,1,10,-5.65,-5.05,-8.35,-5.65,-5.65,-5.05,-0.65,-2.25,-5.65,-8.05,-5.05,-3.35,-2.25,-4.45,-5,-5.65
2015,1,11,-3.35,-5.05,-7.85,-5.65,-5.05,-5.05,0.65,-1.15,-5.05,-9.05,-4.45,-1.75,-1.15,-5.05,-4,-3.35
2015,1,12,-1.15,-5.05,-6.15,-5.05,-2.85,-5.05,1.15,-0.65,-5.05,-9.05,-3.95,-1.15,-0.65,-5.05,-3,-3.35
2015,1,13,-1.15,-2.25,-5.05,-3.95,-1.15,-2.25,2.25,0.65,-5.05,-9.05,-2.85,0.05,0.65,-3.95,-1,-2.85
2015,1,14,-1.15,-3.35,-3.35,-3.35,0.65,-3.35,3.35,2.25,-4.45,-9.05,-2.25,0.05,2.25,-2.85,-1,-2.25
2015,1,15,-0.65,-2.85,-2.85,-2.25,1.75,-2.85,3.95,2.85,-3.95,-7.05,-1.75,1.75,2.85,-1.75,0,-1.15
2015,1,16,0.05,-2.25,-2.25,-1.75,2.25,-2.25,4.45,3.35,-4.45,-6.05,-1.75,2.25,3.35,-1.15,1,0.05
2015,1,17,0.05,-1.75,-1.75,-1.15,2.25,-1.75,3.95,3.35,-4.45,-4.05,-1.75,2.25,3.35,-1.15,1,0.05
2015,1,18,-1.15,-1.15,-1.15,-0.65,1.15,-1.15,3.95,3.35,-4.45,-3.05,-1.75,2.25,3.35,-0.65,1,-2.85
2015,1,19,-1.15,-0.65,-1.15,-0.65,1.15,-0.65,3.95,3.35,-5.05,-3.05,-1.75,1.15,3.35,-0.65,0,-2.85
2015,1,20,-1.75,-0.65,-1.15,0.05,1.15,-0.65,3.95,3.35,-3.95,-2.05,-2.25,1.75,3.35,0.05,0,-3.95
2015,1,21,-1.75,0.05,-1.15,-0.65,1.15,0.05,3.35,3.35,-3.35,-1.05,-1.75,2.25,3.35,0.05,1,-3.35
2015,1,22,-2.25,0.05,-1.75,-0.65,1.15,0.05,3.95,2.85,-2.85,-1.05,-1.75,2.25,2.85,-1.15,1,0.05
2015,1,23,-2.85,-0.65,-1.75,-0.65,1.15,-0.65,3.35,3.35,-2.85,-2.05,-2.25,2.25,3.35,-1.15,1,0.05
2015,1,24,-3.95,0.05,-1.75,-1.15,1.15,0.05,2.85,3.35,-2.25,-2.05,-2.25,2.85,3.35,-1.75,1,0.05
2015,2,1,-3.35,1.15,-1.75,-1.15,1.15,1.15,2.25,2.85,-2.25,-3.05,-2.85,2.85,2.85,-0.65,1,-1.15
2015,2,2,-2.85,0.65,-1.75,-0.65,0.05,0.65,1.75,2.85,-1.75,-2.05,-2.85,1.15,2.85,-1.15,1,-1.15
2015,2,3,-2.25,1.15,-1.75,-1.15,0.05,1.15,2.85,3.35,-1.75,-1.05,-2.25,-2.25,3.35,-1.15,0,-1.15
2015,2,4,-2.25,1.15,-1.75,-0.65,-0.65,1.15,2.25,3.35,-2.85,-1.05,-1.75,-1.15,3.35,-0.65,0,-1.15
2015,2,5,-0.65,0.65,-2.25,-0.65,0.05,0.65,2.85,3.35,-2.85,-1.05,-1.75,-1.15,3.35,-0.65,0,-1.15
2015,2,6,0.65,-1.75,-2.25,-1.15,0.05,-1.75,2.85,2.85,-3.95,-2.05,-2.25,0.65,2.85,-0.65,0,-1.15
2015,2,7,0.05,-2.25,-2.25,-1.15,0.05,-2.25,2.85,2.85,-5.05,-2.05,-3.35,1.75,2.85,-0.65,0,-0.65
2015,2,8,0.65,-2.85,-2.25,-1.75,0.05,-2.85,2.85,2.85,-6.15,-2.05,-3.95,2.25,2.85,-0.65,0,-0.65
2015,2,9,0.65,-2.85,-2.25,-1.75,0.05,-2.85,2.85,2.85,-7.85,-2.05,-5.05,2.25,2.85,-1.15,1,-1.75
2015,2,10,1.75,-3.95,-2.85,-1.75,-0.65,-3.95,3.95,3.35,-8.95,-2.05,-5.05,2.85,3.35,-1.15,1,-2.25
2015,2,11,1.75,-3.95,-3.31,-1.15,-0.65,-3.95,5.05,3.95,-8.35,-2.05,-4.45,3.35,3.95,-1.15,2,-2.25
2015,2,12,1.75,-3.35,-3.95,-0.65,0.05,-3.35,5.65,4.45,-7.25,-2.05,-4.45,3.95,4.45,0.05,2,-1.75
