ALB,ART,BGM,BUF,HPN,JFK,LGA,MSS,RME,ROC,SYR
-6.75,-4.45,-8.95,-6.15,-4.45,-1.15,-1.75,-7.25,-5.65,-7.25,-5.05
-5.65,-5.05,-8.35,-6.15,-5.05,-1.75,-1.75,-7.25,-5.65,-9.45,-5.65
-5.65,-3.95,-8.95,-6.75,-4.45,-1.75,-2.25,-7.25,-6.15,-7.25,-5.65
-6.75,-4.45,-8.35,-6.15,-5.05,-1.75,-2.25,-6.75,-6.75,-7.25,-5.65
-7.25,-3.95,-8.35,-6.15,-5.05,-1.75,-2.25,-7.25,-6.15,-6.75,-6.15
-6.15,-3.95,-8.35,-5.05,-5.05,-1.75,-2.25,-6.75,-6.75,-6.75,-6.75
-6.75,-3.35,-8.35,-3.95,-5.65,-2.25,-2.25,-6.75,-6.75,-6.75,-6.15
-6.15,-3.35,-8.35,-5.65,-5.65,-1.75,-2.25,-6.75,-6.75,-6.15,-6.75
-6.15,-3.35,-8.35,-5.05,-4.45,-1.75,-2.25,-6.75,-6.75,-5.05,-6.75
-5.65,-5.05,-8.35,-5.65,-3.35,-0.65,-2.25,-5.65,-6.75,-4.45,-5.65
-3.35,-5.05,-7.85,-5.65,-2.85,0.65,-1.15,-5.05,-5.65,-5.05,-3.35
-1.15,-5.05,-6.15,-5.05,-1.75,1.15,-0.65,-5.05,-3.95,-5.05,-3.35
-1.15,-2.25,-5.05,-3.95,-1.15,2.25,0.65,-5.05,-3.35,-3.95,-2.85
-1.15,-3.35,-3.35,-3.35,0.05,3.35,2.25,-4.45,-3.35,-2.85,-2.25
-0.65,-2.85,-2.85,-2.25,1.15,3.95,2.85,-3.95,-2.85,-1.75,-1.15
0.05,-2.25,-2.25,-1.75,1.75,4.45,3.35,-4.45,-1.75,-1.15,0.05
0.05,-1.75,-1.75,-1.15,1.75,3.95,3.35,-4.45,-2.25,-1.15,0.05
-1.15,-1.15,-1.15,-0.65,1.15,3.95,3.35,-4.45,-3.95,-0.65,-2.85
-1.15,-0.65,-1.15,-0.65,1.15,3.95,3.35,-5.05,-6.15,-0.65,-2.85
-1.75,-0.65,-1.15,0.05,1.75,3.95,3.35,-3.95,-7.85,0.05,-3.95
-1.75,0.05,-1.15,-0.65,2.25,3.35,3.35,-3.35,-6.75,0.05,-3.35
-2.25,0.05,-1.75,-0.65,1.75,3.95,2.85,-2.85,-5.05,-1.15,0.05
-2.85,-0.65,-1.75,-0.65,1.75,3.35,3.35,-2.85,-5.65,-1.15,0.05
-3.95,0.05,-1.75,-1.15,1.15,2.85,3.35,-2.25,-2.85,-1.75,0.05
-3.35,1.15,-1.75,-1.15,1.15,2.25,2.85,-2.25,-1.15,-0.65,-1.15
-2.85,0.65,-1.75,-0.65,1.15,1.75,2.85,-1.75,-1.15,-1.15,-1.15
-2.25,1.15,-1.75,-1.15,1.15,2.85,3.35,-1.75,-1.75,-1.15,-1.15
-2.25,1.15,-1.75,-0.65,0.65,2.25,3.35,-2.85,-1.15,-0.65,-1.15
-0.65,0.65,-2.25,-0.65,0.65,2.85,3.35,-2.85,-1.15,-0.65,-1.15
0.65,-1.75,-2.25,-1.15,0.05,2.85,2.85,-3.95,-1.15,-0.65,-1.15
0.05,-2.25,-2.25,-1.15,0.65,2.85,2.85,-5.05,-1.15,-0.65,-0.65
0.65,-2.85,-2.25,-1.75,0.65,2.85,2.85,-6.15,-1.75,-0.65,-0.65
0.65,-2.85,-2.25,-1.75,1.15,2.85,2.85,-7.85,-2.25,-1.15,-1.75
1.75,-3.95,-2.85,-1.75,1.75,3.95,3.35,-8.95,-2.21,-1.15,-2.25
1.75,-3.95,-3.31,-1.15,2.25,5.05,3.95,-8.35,-2.85,-1.15,-2.25
1.75,-3.35,-3.95,-0.65,3.35,5.65,4.45,-7.25,-2.85,0.05,-1.75
1.15,-2.85,-3.95,-0.65,3.95,6.15,4.45,-6.75,-2.85,-0.65,-1.75
0.65,-2.85,-3.35,0.05,4.45,6.75,5.05,-6.75,-2.85,-0.65,-2.25
0.65,-3.35,-2.85,0.05,3.95,6.75,5.05,-6.75,-2.85,-0.65,-3.35
0.65,-3.95,-2.85,0.05,4.45,6.75,5.65,-6.15,-3.95,0.05,-3.35
0.05,-3.35,-2.25,0.05,3.95,6.15,5.05,-7.25,-3.95,-0.65,-3.95
-1.15,-4.45,-2.85,-1.15,2.25,5.05,4.45,-7.85,-4.45,-1.15,-3.95
-1.75,-4.45,-3.35,-1.75,2.25,5.05,4.45,-7.85,-5.05,-1.75,-3.95
-1.75,-7.25,-3.35,-2.25,0.05,4.45,4.45,-7.85,-5.05,-1.75,-3.95
-2.25,-8.35,-3.35,-2.85,1.15,4.45,3.95,-8.95,-5.05,-3.95,-6.15
-2.85,-8.95,-3.35,-2.85,0.65,4.45,3.35,-9.45,-5.05,-3.35,-6.75
-2.85,-8.95,-3.35,-5.05,0.05,3.35,3.35,-10.65,-5.05,-3.95,-7.25
-2.85,-8.35,-3.95,-5.05,-0.65,2.85,2.25,-11.75,-5.05,-5.65,-7.85
-3.35,-8.35,-3.95,-5.05,-1.15,1.75,1.75,-16.15,-5.65,-5.65,-8.95
-3.95,-8.35,-4.45,-5.65,-2.25,1.75,1.75,-17.25,-6.15,-6.75,-8.35
-4.45,-9.45,-5.05,-5.65,-2.25,0.65,1.15,-18.35,-7.25,-5.05,-6.75
-5.05,-12.25,-4.45,-5.65,-2.85,0.65,1.15,-18.35,-7.25,-4.45,-7.85
-5.65,-10.65,-5.65,-5.05,-1.75,0.05,1.15,-18.35,-10.05,-5.05,-8.35
-6.15,-12.85,-5.65,-5.05,-3.35,-0.65,0.65,-18.35,-7.85,-4.45,-7.25
-6.15,-12.85,-6.15,-4.45,-3.95,-1.15,0.05,-18.35,-7.85,-4.45,-6.75
-6.15,-11.75,-7.25,-4.45,-2.85,-0.65,0.05,-17.25,-7.85,-5.05,-6.75
-6.75,-10.05,-6.75,-3.35,-2.85,0.05,0.05,-14.45,-6.75,-3.95,-6.75
-6.15,-7.85,-5.05,-2.25,-1.15,1.75,0.65,-13.35,-6.15,-3.35,-6.15
-5.65,-4.45,-4.45,-1.75,0.05,2.85,1.75,-11.15,-4.45,-2.25,-4.45
-3.95,-2.85,-3.35,-0.65,1.15,3.95,2.85,-10.65,-4.45,-0.65,-3.95
-3.35,-2.25,-3.91,0.05,1.75,3.95,3.95,-9.45,-3.95,0.05,-3.35
-2.25,-2.25,-3.91,-0.65,1.15,4.45,1.75,-9.45,-3.35,0.05,-3.35
-2.85,-2.25,-3.31,-1.15,-0.65,4.45,1.15,-10.65,-3.95,-0.65,-3.95
-3.95,-0.65,-2.25,0.05,0.05,3.95,0.65,-9.45,-3.91,0.05,-3.95
-3.95,-2.25,-2.25,0.65,0.65,3.95,1.15,-8.35,-3.95,0.65,-3.35
-3.95,-2.25,-1.75,0.65,1.15,4.45,2.25,-8.95,-3.35,0.65,-3.35
-2.25,-1.75,-0.65,1.15,1.75,5.65,2.25,-9.45,-2.85,1.15,-1.75
-1.75,1.75,0.05,1.15,1.75,6.75,2.85,-9.45,-2.25,1.75,0.05
-2.25,2.25,0.65,2.85,1.75,6.75,3.35,-8.95,-0.65,2.85,1.15
-1.15,3.35,1.15,3.95,2.85,7.85,3.35,-7.85,0.05,4.45,2.85
0.05,4.45,1.75,4.45,2.85,7.85,3.95,-9.45,0.65,5.05,3.95
0.61,5.05,1.75,6.15,3.35,7.85,4.45,-8.95,0.65,5.65,3.95
0.65,5.65,2.25,8.35,3.95,6.15,5.05,-7.25,0.65,5.65,4.45
0.65,5.65,2.25,10.05,4.45,6.75,5.05,-6.15,0.65,6.75,5.05
1.15,5.65,2.81,10.05,4.45,6.75,5.05,-5.65,1.15,7.85,5.65
1.15,5.05,3.35,10.65,4.45,7.25,5.05,-3.95,1.15,8.95,5.65
1.15,6.75,3.91,11.15,3.95,7.25,5.05,-3.95,1.75,9.45,5.65
2.25,7.25,3.91,11.75,3.95,6.75,5.05,-3.95,2.25,10.65,6.15
2.25,7.85,3.91,11.15,3.95,7.85,6.75,-3.35,2.25,10.65,5.65
2.25,8.35,4.41,8.95,3.95,7.85,7.25,-3.35,2.85,11.75,5.65
2.85,9.45,5.05,8.35,3.95,7.85,7.25,-3.35,2.25,12.85,7.85
3.35,6.15,6.15,8.35,5.05,7.85,7.25,-2.85,2.25,13.35,7.25
3.35,8.35,5.65,7.85,6.15,8.35,7.85,-1.15,2.85,11.15,4.45
3.95,3.95,6.75,7.85,6.75,8.95,8.35,-1.15,5.05,10.65,8.95
4.45,11.75,7.85,6.75,7.85,10.05,10.05,-0.65,5.65,10.65,11.75
5.05,10.65,9.45,5.05,8.95,10.65,10.65,0.05,6.75,11.15,12.25
5.65,10.05,10.05,4.45,8.95,12.25,11.15,0.05,7.85,8.35,10.05
6.15,10.05,10.05,3.95,10.05,12.25,11.75,0.05,6.75,6.75,10.65
6.15,7.25,9.45,2.85,11.15,11.15,12.85,2.85,5.01,6.15,8.95
5.65,5.65,9.45,2.25,11.15,11.15,13.35,5.65,5.05,5.65,6.75
6.15,5.05,8.35,2.25,11.75,10.65,13.35,5.65,5.05,4.45,5.05
6.15,4.45,7.25,1.75,11.15,10.05,13.35,4.45,3.95,3.95,4.45
6.75,4.45,5.65,0.65,11.15,10.05,12.25,2.85,3.95,2.85,3.95
6.75,1.75,5.65,0.65,11.15,12.25,12.25,2.25,4.45,1.75,3.35
6.15,0.05,2.25,0.65,11.15,12.25,11.75,-2.25,3.35,1.15,2.25
5.65,0.05,1.75,-1.15,10.05,11.75,11.15,-3.95,1.75,1.15,0.65
5.65,0.05,1.15,-2.25,8.95,10.65,10.65,-5.05,0.65,-0.65,0.65
4.45,0.05,1.15,-3.35,7.85,9.45,9.45,-5.05,0.65,-1.15,0.05
2.85,0.05,0.65,-4.45,6.75,8.35,8.35,-5.65,0.65,-2.85,-1.75
2.25,-1.15,-1.15,-5.05,6.15,7.85,7.25,-3.95,-1.15,-4.45,-2.25
1.15,-2.25,-2.25,-6.15,5.05,6.75,6.75,-6.15,-2.25,-4.45,-3.35
0.65,-4.45,-3.35,-7.85,5.05,5.65,5.65,-10.65,-2.85,-4.45,-4.45
-1.15,-5.65,-4.45,-8.35,4.45,5.65,5.05,-11.75,-3.95,-6.15,-5.05
-2.25,-6.75,-5.05,-8.95,2.85,5.05,5.05,-12.85,-4.45,-7.85,-5.65
-2.85,-8.35,-6.15,-9.45,2.25,4.45,3.95,-13.95,-5.05,-7.85,-6.75
-2.25,-8.95,-7.25,-9.45,2.85,4.45,4.45,-14.45,-5.65,-8.95,-7.25
-2.85,-9.45,-7.25,-10.05,1.15,4.45,3.35,-13.95,-8.91,-8.35,-7.25
-2.85,-8.95,-7.85,-10.65,0.65,3.95,2.85,-13.35,-8.91,-8.35,-7.25
