"","day","season","WEST","GENESE","CENTRL","NORTH","MHKVL","CAPITL","ALB","ART","BGM","BUF","HPN","JFK","LGA","MSS","RME","ROC","SYR"
"72",150,"Primavera",1857.18333333333,1215.22083333333,1889.5625,450.795833333333,922.679166666667,1484.84583333333,24.3208333333333,24.7125,21.8958333333333,24.4291666666667,21.325,20.675,23.2125,23.6333333333333,23.6375,25.2458333333333,25.1166666666667
"168",518,"Primavera",1863.79583333333,1096.975,1865.23333333333,447.7125,856.479166666667,1505.67916666667,21.7625,16.225,19.2208333333333,19.4083333333333,21.55,22.55,24.2083333333333,18.0541666666667,18.6916666666667,17.1708333333333,18.4083333333333
"243",865,"Primavera",1425.95833333333,874.408333333333,1463.72083333333,428.329166666667,727.366666666667,1040.25416666667,10.1958333333333,11.1166666666667,8.04583333333333,11.7375,11.675,13.8041666666667,14.35,11.1666666666667,11.1291666666667,11.56875,10.8083333333333
"195",817,"Primavera",1706.45416666667,1045.40416666667,1791.07916666667,521.658333333333,929.529166666667,1317.9125,4.5,7.3875,5.65657891678773,9.56666666666667,5.1125,8.16666666666667,6.30833333333333,2.0375,3.40416666666667,11.1541666666667,6.57083333333333
"192",814,"Primavera",1672.37916666667,1091.69583333333,1864.44583333333,536.858333333333,969.404166666667,1372.03333333333,1.72916666666667,3.00416666666667,1.50833333333333,7.9625,4.10833333333333,5.2375,8.09583333333333,-0.55,1.07666666666667,7.04166666666667,3.69583333333333
"371",1265,"Primavera",2161.05416666667,1508.3625,2247.88333333333,506.020833333333,1017.97916666667,1735.54166666667,26.4208333333333,23.5208333333333,25.1,24.5458333333333,25.7791666666667,23.0395833333333,28.3666666666667,24.9625,24.5125,26.5791666666667,26.6604166666667
"27",105,"Primavera",1653.04583333333,1016.79583333333,1718.64166666667,465.016666666667,799.9,1198.39166666667,11.85,6.24583333333333,9.4625,8.90833333333333,25.3937560193432,16.1,15.4208333333333,6.875,7.15,9.54583333333333,9.5875
"182",532,"Primavera",1828.99583333333,1096.31666666667,1735.16666666667,469.408333333333,852.5875,1430.52083333333,20.7333333333333,17.1791666666667,18.4458333333333,20.175,20.9583333333333,22.6,24.3208333333333,18.9375,17.1625,18.9083333333333,18.1333333333333
"342",1236,"Primavera",1519.57916666667,920.908333333333,1524.09166666667,439.929166666667,738.1,1179.3625,17.875,16.25,15.4583333333333,17.6833333333333,18.8916666666667,20.9625,20.9333333333333,16.1166666666667,16.15,17.6458333333333,16.4875
"170",520,"Primavera",1875.39166666667,1172.3,1890.72083333333,459.1125,873.329166666667,1507.92083333333,20.5958333333333,19.4416666666667,20.4166666666667,21.3666666666667,17.3708333333333,18.3166666666667,19.2625,21.0958333333333,21.2291666666667,21,21.6541666666667
"46",124,"Primavera",1713.68333333333,1047.43333333333,1749.8625,447.641666666667,788.333333333333,1260.85,21.8583333333333,19.0125,19.8166666666667,17.775,18.125,16.5833333333333,20.25,19.9875,17.7958333333333,19.8375,19.6333333333333
"100",450,"Primavera",1686.69166666667,1032.97916666667,1719.25833333333,485.966666666667,772.329166666667,1257.09583333333,8.22083333333333,1.72541666666667,7.5,2.5375,12.5333333333333,12.4541666666667,14.4291666666667,0.0291666666666667,5.19898163083121,3.10833333333333,6.37916666666667
"322",1216,"Primavera",1663.30416666667,1005.28333333333,1744.00416666667,483.1875,840.425,1235.85833333333,6.64166666666667,7.9875,6.99166666666667,6.7,7.2125,9.60833333333333,9.625,7.55416666666667,5.42916666666667,10.6458333333333,7.2
"119",469,"Primavera",1785.91666666667,1090.13333333333,1764.73333333333,478.566666666667,799.716666666667,1234.62083333333,5.7875,2.6125,2.43333333333333,2.77916666666667,6.43333333333333,7.7125,8.95833333333333,2.15833333333333,3.0620466435857,1.99166666666667,2.775
"368",1262,"Primavera",1762.05833333333,1088.875,1728.03333333333,475.241666666667,807.920833333333,1313.6625,17.6666666666667,16.3458333333333,16.4,18.9833333333333,18.8333333333333,20.8,21.6916666666667,18.1041666666667,17.5,19.0416666666667,17.725
"237",859,"Primavera",1665.95416666667,1037.5375,1686.775,468.5625,824.6,1158.66666666667,6.1125,3.25,4.15991183661876,6.5,9.0125,11.8,12.4208333333333,2.825,4.3875,6.85416666666667,4.9375
"37",115,"Primavera",1594.075,941.608333333333,1623.19583333333,485.9375,817.4125,1151.62916666667,6.64166666666667,3.02916666666667,2.83333333333333,4.34583333333333,7.15,8.39583333333333,8.70416666666667,4.55833333333333,3.5125,4.34583333333333,4.16666666666667
"1",79,"Primavera",1778.93333333333,1085.93333333333,1877.38333333333,530.15,1061.93333333333,1462.61666666667,-1.75,1.9,-2.25,3.76666666666667,-2.85,-0.533333333333333,-1.06666666666667,2,-2.08333333333333,4.21666666666667,-0.666666666666667
"38",116,"Primavera",1567.30416666667,918.275,1612.65,467.629166666667,778.025,1118.74583333333,9.56666666666667,5.05833333333333,4.67916666666667,5.99583333333333,10.3083333333333,10.8375,11.5583333333333,7.60416666666667,5.35,6.3375,6.58333333333333
"244",866,"Primavera",1610.67916666667,985.408333333333,1626.175,449.366666666667,804.958333333333,1146.44583333333,14.3333333333333,11.8708333333333,9.79583333333333,11.1875,14.8333333333333,16.65,16.875,14.0541666666667,11.975,13.625,11.9666666666667
"112",462,"Primavera",1860.00833333333,1137.475,1950.39166666667,513.95,937.808333333333,1406.575,-0.154166666666667,0.0291666666666666,-1.8875,2.43333333333333,1.66666666666667,3.6375,4.475,-1.5,-1.6625,1.80833333333333,-0.433333333333333
"316",1210,"Primavera",1641.26666666667,987.708333333333,1627.71666666667,444.3,754.558333333333,1148.37916666667,14.6291666666667,15.4708333333333,12.3625,14.15,10.5625,11.1833333333333,13.1666666666667,13.3541666666667,15.0541666666667,15.6875,15.9583333333333
