"","bs","Mediana","Média","Desvio-padrão","Mínimo","Máximo"
"1","256","2872.82690429688","200862.809295654","2199.17114257812","1568174.75","552507.888719122"
"2","32","4699.744140625","216627.518188477","2842.38989257812","1695793.125","597677.743731455"
"3","32","4790.279296875","217066.409729004","2340.29760742188","1695775.5","597503.492554826"
"4","32","5174.05908203125","200359.090484619","2310.18530273438","1564245.75","551100.165700951"
"5","64","6279.26806640625","217005.873596191","2160.74658203125","1695781.25","597523.844766306"
"6","1","6113.97314453125","202188.20513916","2649.27368164062","1568183.25","551965.760053551"
"7","64","7070.681640625","217298.783843994","2631.2138671875","1695781.125","597404.633377897"
"8","32","5144.380859375","199963.272186279","2437.81787109375","1564266","551265.400543395"
"9","32","3797.41284179688","217781.510955811","2966.248046875","1695788.5","597241.306631216"
"10","32","5590.89672851562","226250.884094238","2782.39916992188","1767194.375","622643.302507764"
"11","32","3648.11584472656","227780.038970947","2768.03979492188","1767185.625","622090.414577161"
