"","bs","Mediana","Média","Desvio-padrão","Mínimo","Máximo"
"1","32","5267.62670898438","155265.585952759","1586.38159179688","1197180.5","421039.774509652"
"2","1","3403.85900878906","154610.814941406","1307.14086914062","1197188.5","421312.673165723"
"3","256","5201.1259765625","155711.212921143","1211.74719238281","1198806.375","421535.209593685"
"4","32","3979.96118164062","154642.940124512","1245.97680664062","1197173.25","421303.804602678"
"5","128","7315.96459960938","147364.817214966","1832.28015136719","1138770.375","400602.64826898"
"6","128","6209.17749023438","147760.016876221","1790.45434570312","1138783.125","400453.38883653"
"7","1","6533.455078125","135230.827484131","1729.63061523438","1035416.875","363764.864153349"
"8","1","4712.52319335938","147017.734985352","1734.01904296875","1138761.375","400747.932563077"
"9","256","3987.73596191406","146420.184844971","1387.1806640625","1138775.25","400982.551703119"
"10","32","2156.62927246094","155568.103302002","1318.07983398438","1197180.125","421010.806675987"
"11","32","3297.21923828125","154360.818084717","1702.04650878906","1198803.25","422049.112272245"
