"","bs","Mediana","Média","Desvio-padrão","Mínimo","Máximo"
"1","32","562.428070068359","15607.9614524841","357.292541503906","120512.953125","42389.0190563403"
"2","32","484.377639770508","25050.7731704712","186.200378417969","193393.328125","68035.2833220491"
"3","32","497.58869934082","22792.1589927673","143.671188354492","178379.09375","62867.9935741668"
"4","64","484.129974365234","22904.2487373352","275.96826171875","179010.234375","63077.59046312"
"5","32","543.974319458008","22958.0706176758","307.742462158203","179005.21875","63053.5807695548"
"6","32","583.296829223633","22891.067855835","241.652740478516","179002.390625","63079.3704580398"
"7","32","549.996734619141","22857.1521568298","234.812103271484","179010.140625","63095.8684540859"
"8","64","501.938201904297","25261.4857234955","204.548202514648","193392","67964.4868171489"
"9","32","458.031555175781","22847.9076480865","221.755355834961","178382.390625","62847.8322394461"
"10","1","458.985549926758","22798.402130127","203.532775878906","178382.765625","62866.7804651447"
"11","32","445.881072998047","24849.5331497192","299.131652832031","193392.9375","68107.1236505706"
