"","bs","Mediana","Média","Desvio-padrão","Mínimo","Máximo"
"1","256","6475.11279296875","373400.601928711","5115.64208984375","2934902.75","1035007.18817316"
"2","64","6700.81396484375","412424.656005859","4628.19189453125","3213053.75","1131729.25828792"
"3","32","4875.24975585938","408925.223052979","3834.05541992188","3215730.75","1134148.30503172"
"4","32","7003.18481445312","373438.515411377","3550.99584960938","2940378.5","1037203.44876117"
"5","32","10250.7724609375","410305.866699219","4144.96240234375","3215726.25","1133576.9641099"
"6","64","8239.19116210938","397150.053833008","3551.87353515625","3115902.5","1098550.56322786"
"7","32","8905.33935546875","374854.298492432","3872.52368164062","2934852.75","1034404.06303744"
"8","32","7377.03686523438","410510.37109375","4565.46484375","3215730.25","1133504.79469826"
"9","1","4915.166015625","394794.606140137","4360.36767578125","3115911.5","1099501.62779662"
"10","64","5471.68823242188","408944.882843018","3445.28735351562","3213056","1133060.77017541"
"11","256","4992.15698242188","373060.556854248","3873.65454101562","2940338.25","1037343.81655488"
