"","bs","Mediana","Média","Desvio-padrão","Mínimo","Máximo"
"1","256","4702.76049804688","172205.696899414","1351.78796386719","1336076.75","470304.973321993"
"2","32","6096.67578125","151235.184234619","2566.27075195312","1165069.625","409667.990759705"
"3","1","4570.47521972656","177484.842254639","1905.41552734375","1374350.375","483638.377713534"
"4","32","5991.5576171875","164449.139755249","2014.74597167969","1273311.5","448066.920930459"
"5","64","3413.93029785156","161867.678909302","1226.01477050781","1273324.75","449099.595191289"
"6","64","6200.48193359375","153447.63671875","1539.17028808594","1165068.25","408877.17722438"
"7","128","3387.04809570312","148596.232681274","1556.72802734375","1161731.5","409374.756239949"
"8","32","5147.87377929688","163925.04095459","2350.134765625","1273283.375","448260.315479896"
"9","32","5254.80249023438","151711.504669189","2458.451171875","1165048.25","409493.586388672"
"10","64","5168.52734375","163873.968261719","2049.58959960938","1273312","448292.388113523"
"11","32","5124.353515625","150479.137817383","2970.84106445312","1165095.125","409976.033157158"
