"","bs","Mediana","Média","Desvio-padrão","Mínimo","Máximo"
"1","32","1927.05584716797","82028.3426208496","1506.30773925781","638448.25","224833.050428106"
"2","32","1970.84320068359","91915.9072113037","1708.52502441406","711261.3125","250278.332129596"
"3","32","1939.11706542969","72318.3816986084","1518.68249511719","561990.9375","197860.565696385"
"4","32","1928.69915771484","91364.7825775146","1339.92419433594","711256.375","250485.679412648"
"5","32","1960.35668945312","87631.515335083","1408.3427734375","682315.875","240297.29653948"
"6","32","2398.60461425781","87370.4258422852","1633.45422363281","682319.875","240396.653814175"
"7","32","2017.85467529297","87532.5384674072","1686.31945800781","682315.4375","240331.798384315"
"8","32","2238.93383789062","87494.9200592041","1585.5634765625","682309.625","240343.164022772"
"9","256","1727.50384521484","87473.3270263672","1298.33349609375","682316.4375","240359.77025999"
"10","32","1871.92169189453","87555.7311859131","1684.5849609375","683536.5625","240815.551453857"
"11","64","1783.93701171875","87146.9760894775","1499.84851074219","682307.625","240482.770805359"
