"","bs","Mediana","Média","Desvio-padrão","Mínimo","Máximo"
"1","1","6796.11279296875","390366.591003418","3403.529296875","3069656","1082607.11445665"
"2","32","6401.78100585938","367636.946380615","3369.5087890625","2889682.25","1019071.66524485"
"3","64","5185.45629882812","404747.530517578","3403.955078125","3168958.75","1116969.0336997"
"4","128","4018.125","389436.515396118","1965.08679199219","3069642.25","1082985.61517687"
"5","64","8355.23803710938","404791.392120361","3369.66162109375","3168967","1116926.96507452"
"6","32","8664.01391601562","368761.813018799","3765.44018554688","2895125.25","1020811.95041522"
"7","32","8329.58178710938","404529.29107666","3514.98876953125","3168980.25","1117033.80976733"
"8","64","7208.82153320312","403507.555908203","3095.13061523438","3166298.75","1116354.21346401"
"9","256","7209.51171875","389465.034942627","3156.53369140625","3069669.25","1082970.78613398"
"10","1","4091.63891601562","405073.922546387","2198.34619140625","3168967","1116853.76849453"
"11","32","5589.8916015625","389658.33303833","3130.29638671875","3069665.75","1082891.7298157"
