"","ep","Mediana","Média","Desvio-padrão","Mínimo","Máximo"
"1","250","2872.82690429688","200862.809295654","1568174.75","552507.888719122","2199.17114257812"
"2","250","4699.744140625","216627.518188477","1695793.125","597677.743731455","2842.38989257812"
"3","400","4494.62817382812","205394.679412842","3069.29516601562","1609186.125","567221.300550171"
"4","250","5174.05908203125","200359.090484619","1564245.75","551100.165700951","2310.18530273438"
"5","350","6092.044921875","209745.45223999","2210.90380859375","1637726.875","576999.498919197"
"6","250","6113.97314453125","202188.20513916","1568183.25","551965.760053551","2649.27368164062"
"7","450","5852.89624023438","202788.539886475","2678.8720703125","1581024.125","556898.690244454"
"8","250","5144.380859375","199963.272186279","1564266","551265.400543395","2437.81787109375"
"9","200","3789.6845703125","220766.820129395","2391.0625","1725307.25","607948.681005526"
"10","450","5174.61254882812","217952.532012939","2544.19702148438","1705046.625","600884.30441394"
"11","250","3648.11584472656","227780.038970947","1767185.625","622090.414577161","2768.03979492188"
