"","ep","Mediana","Média","Desvio-padrão","Mínimo","Máximo"
"1","350","5971.53784179688","354362.87689209","4214.89453125","2789451.5","983926.479878299"
"2","450","6381.5927734375","398568.909118652","4565.3623046875","3128583.5","1103107.70352843"
"3","350","4582.17749023438","401895.971191406","3535.96948242188","3174355.75","1120246.54524289"
"4","250","7003.18481445312","373438.515411377","2940378.5","1037203.44876117","3550.99584960938"
"5","500","8825.3984375","396059.456420898","3812.21704101562","3112952.25","1097796.20281554"
"6","250","8239.19116210938","397150.053833008","3115902.5","1098550.56322786","3551.87353515625"
"7","200","7333.03515625","383527.684936523","4485.39111328125","3009443.75","1061036.58308735"
"8","250","7377.03686523438","410510.37109375","3215730.25","1133504.79469826","4565.46484375"
"9","250","4915.166015625","394794.606140137","3115911.5","1099501.62779662","4360.36767578125"
"10","250","5471.68823242188","408944.882843018","3213056","1133060.77017541","3445.28735351562"
"11","250","4992.15698242188","373060.556854248","2940338.25","1037343.81655488","3873.65454101562"
