"","ep","Mediana","Média","Desvio-padrão","Mínimo","Máximo"
"1","350","4965.5009765625","151132.421691895","1783.1083984375","1171570.625","412335.171789412"
"2","250","3403.85900878906","154610.814941406","1197188.5","421312.673165723","1307.14086914062"
"3","400","4967.98120117188","149580.685379028","1378.13317871094","1161429.625","408869.188096298"
"4","250","3979.96118164062","154642.940124512","1197173.25","421303.804602678","1245.97680664062"
"5","450","5950.17797851562","136938.84475708","2519.54150390625","1045688.25","367211.904955382"
"6","250","6209.17749023438","147760.016876221","1138783.125","400453.38883653","1790.45434570312"
"7","450","5974.35302734375","115422.176361084","3365.35986328125","875156.25","307011.279381874"
"8","250","4712.52319335938","147017.734985352","1138761.375","400747.932563077","1734.01904296875"
"9","250","3987.73596191406","146420.184844971","1138775.25","400982.551703119","1387.1806640625"
"10","250","2156.62927246094","155568.103302002","1197180.125","421010.806675987","1318.07983398438"
"11","250","3297.21923828125","154360.818084717","1198803.25","422049.112272245","1702.04650878906"
