"","ep","Mediana","Média","Desvio-padrão","Mínimo","Máximo"
"1","450","4399.44421386719","164531.434127808","1486.14721679688","1284172.75","452414.968168244"
"2","350","6029.43115234375","140390.97467041","2576.1025390625","1078608.375","379115.934496193"
"3","250","4570.47521972656","177484.842254639","1374350.375","483638.377713534","1905.41552734375"
"4","350","5766.22912597656","158058.103027344","2792.57153320312","1223897.875","430676.418781919"
"5","450","3054.61303710938","149854.620346069","1185.20495605469","1175801.875","414549.289579067"
"6","350","5603.74487304688","139297.813659668","1267.70678710938","1078667.375","379578.703425102"
"7","500","3212.87414550781","122056.712509155","1605.17553710938","951490.375","335149.354844565"
"8","250","5147.87377929688","163925.04095459","1273283.375","448260.315479896","2350.134765625"
"9","250","5254.80249023438","151711.504669189","1165048.25","409493.586388672","2458.451171875"
"10","500","5078.96984863281","148902.503540039","1923.30725097656","1152228.125","405424.83476774"
"11","250","5124.353515625","150479.137817383","1165095.125","409976.033157158","2970.84106445312"
