"","ep","Mediana","Média","Desvio-padrão","Mínimo","Máximo"
"1","250","1927.05584716797","82028.3426208496","638448.25","224833.050428106","1506.30773925781"
"2","400","1875.33544921875","89639.6620941162","1674.85485839844","698915.3125","246190.856421609"
"3","250","1939.11706542969","72318.3816986084","561990.9375","197860.565696385","1518.68249511719"
"4","400","1884.93286132812","89484.2122802734","1374.72399902344","698912.625","246250.009637234"
"5","250","1960.35668945312","87631.515335083","682315.875","240297.29653948","1408.3427734375"
"6","250","2398.60461425781","87370.4258422852","682319.875","240396.653814175","1633.45422363281"
"7","200","1844.30480957031","88889.810836792","1699.32653808594","692100.375","243741.077384914"
"8","250","2238.93383789062","87494.9200592041","682309.625","240343.164022772","1585.5634765625"
"9","250","1727.50384521484","87473.3270263672","682316.4375","240359.77025999","1298.33349609375"
"10","250","1871.92169189453","87555.7311859131","683536.5625","240815.551453857","1684.5849609375"
"11","250","1783.93701171875","87146.9760894775","682307.625","240482.770805359","1499.84851074219"
