"","ep","Mediana","Média","Desvio-padrão","Mínimo","Máximo"
"1","150","518.472640991211","19358.1374855042","350.258697509766","150527","53001.1560882981"
"2","500","467.326248168945","23400.7515258789","232.193939208984","182708.828125","64372.9207310883"
"3","150","495.783081054688","24171.3223896027","184.712539672852","188529.21875","66413.8817587291"
"4","150","483.325149536133","24206.4771690369","299.358276367188","188922.671875","66556.9622375683"
"5","400","522.549285888672","21073.8129749298","229.435409545898","164759.359375","58058.3041223797"
"6","200","534.887100219727","23565.2118835449","298.774749755859","183916.921875","64793.3004540814"
"7","500","540.143310546875","19923.5839347839","281.212188720703","155656.328125","54844.8539889592"
"8","400","426.51921081543","24144.8092079163","197.269195556641","186939.859375","65790.2635349731"
"9","400","452.137481689453","20941.4476985931","219.298141479492","163816.46875","57731.2106443041"
"10","400","452.570571899414","20993.124584198","254.158843994141","163811.09375","57708.4809144098"
"11","250","445.881072998047","24849.5331497192","193392.9375","68107.1236505706","299.131652832031"
