"","ep","Mediana","Média","Desvio-padrão","Mínimo","Máximo"
"1","250","6796.11279296875","390366.591003418","3069656","1082607.11445665","3403.529296875"
"2","350","6174.32861328125","350386.167358398","3370.609375","2745245.5","967685.611469846"
"3","250","5185.45629882812","404747.530517578","3168958.75","1116969.0336997","3403.955078125"
"4","450","3968.50231933594","369182.501922607","2481.4375","2912868.25","1027814.00130838"
"5","400","8096.30859375","395102.955596924","2946.87255859375","3107378.5","1095932.81900157"
"6","250","8664.01391601562","368761.813018799","2895125.25","1020811.95041522","3765.44018554688"
"7","400","7756.50415039062","395205.729797363","4221.279296875","3107372.75","1095886.30627015"
"8","250","7208.82153320312","403507.555908203","3166298.75","1116354.21346401","3095.13061523438"
"9","400","6571.68920898438","374638.130950928","2966.31274414062","2951610.5","1041257.2557525"
"10","250","4091.63891601562","405073.922546387","3168967","1116853.76849453","2198.34619140625"
"11","250","5589.8916015625","389658.33303833","3069665.75","1082891.7298157","3130.29638671875"
