"","hu","Mediana","Média","Desvio-padrão","Mínimo","Máximo"
"1","32","2872.82690429688","200862.809295654","552507.888719122","2199.17114257812","1568174.75"
"2","32","4699.744140625","216627.518188477","597677.743731455","2842.38989257812","1695793.125"
"3","32","4494.62817382812","205394.679412842","1609186.125","567221.300550171","3069.29516601562"
"4","25","5000.03491210938","200931.670806885","2333.61791992188","1564236","550879.029921467"
"5","32","6092.044921875","209745.45223999","1637726.875","576999.498919197","2210.90380859375"
"6","32","6113.97314453125","202188.20513916","551965.760053551","2649.27368164062","1568183.25"
"7","19","5534.9970703125","202485.013671875","2302.29345703125","1581019.75","557019.883590976"
"8","10","4993.1748046875","200302.414642334","3324.9677734375","1564241.25","551118.233736125"
"9","22","3551.93713378906","222196.367462158","2748.01684570312","1725297.625","607411.182145348"
"10","22","5043.052734375","217438.683105469","2583.73266601562","1705054.625","601092.070023297"
"11","32","3648.11584472656","227780.038970947","622090.414577161","2768.03979492188","1767185.625"
