"","hu","Mediana","Média","Desvio-padrão","Mínimo","Máximo"
"1","32","5971.53784179688","354362.87689209","2789451.5","983926.479878299","4214.89453125"
"2","32","6381.5927734375","398568.909118652","3128583.5","1103107.70352843","4565.3623046875"
"3","32","4582.17749023438","401895.971191406","3174355.75","1120246.54524289","3535.96948242188"
"4","32","7003.18481445312","373438.515411377","1037203.44876117","3550.99584960938","2940378.5"
"5","32","8825.3984375","396059.456420898","3112952.25","1097796.20281554","3812.21704101562"
"6","32","8239.19116210938","397150.053833008","1098550.56322786","3551.87353515625","3115902.5"
"7","32","7333.03515625","383527.684936523","3009443.75","1061036.58308735","4485.39111328125"
"8","32","7377.03686523438","410510.37109375","1133504.79469826","4565.46484375","3215730.25"
"9","32","4915.166015625","394794.606140137","1099501.62779662","4360.36767578125","3115911.5"
"10","32","5471.68823242188","408944.882843018","1133060.77017541","3445.28735351562","3213056"
"11","32","4992.15698242188","373060.556854248","1037343.81655488","3873.65454101562","2940338.25"
