"","hu","Mediana","Média","Desvio-padrão","Mínimo","Máximo"
"1","32","4399.44421386719","164531.434127808","1284172.75","452414.968168244","1486.14721679688"
"2","32","6029.43115234375","140390.97467041","1078608.375","379115.934496193","2576.1025390625"
"3","32","4570.47521972656","177484.842254639","483638.377713534","1905.41552734375","1374350.375"
"4","22","5610.21911621094","157820.695953369","1877.95581054688","1223907.75","430778.78990819"
"5","32","3054.61303710938","149854.620346069","1175801.875","414549.289579067","1185.20495605469"
"6","25","5117.47424316406","139365.686340332","1381.67028808594","1078627.125","379536.823978973"
"7","32","3212.87414550781","122056.712509155","951490.375","335149.354844565","1605.17553710938"
"8","32","5147.87377929688","163925.04095459","448260.315479896","2350.134765625","1273283.375"
"9","32","5254.80249023438","151711.504669189","409493.586388672","2458.451171875","1165048.25"
"10","19","4957.92102050781","148661.430831909","2029.11657714844","1152212.25","405512.591553563"
"11","22","4452.73962402344","149966.455200195","2158.05541992188","1165131.375","410201.196175401"
