"","hu","Mediana","Média","Desvio-padrão","Mínimo","Máximo"
"1","22","1886.64605712891","82050.864364624","1325.52404785156","638442.375","224822.8714292"
"2","19","1867.85192871094","89800.9963989258","1578.42895507812","698913.3125","246129.591239412"
"3","32","1939.11706542969","72318.3816986084","197860.565696385","1518.68249511719","561990.9375"
"4","25","1683.39752197266","89313.1780853271","1152.21166992188","698914.5625","246319.805708764"
"5","10","1944.71228027344","88918.0914154053","1457.34777832031","682307.9375","239812.044137103"
"6","22","2281.98950195312","87399.0713043213","1677.46899414062","682314.8125","240383.266723071"
"7","32","1844.30480957031","88889.810836792","692100.375","243741.077384914","1699.32653808594"
"8","10","2042.51129150391","87721.4789581299","1890.16027832031","682309.3125","240255.176061349"
"9","32","1727.50384521484","87473.3270263672","240359.77025999","1298.33349609375","682316.4375"
"10","25","1833.40734863281","87771.6781921387","1244.06469726562","683522.0625","240727.544774662"
"11","22","1691.98559570312","87116.5620574951","1338.15441894531","682311","240497.082294648"
