"","hu","Mediana","Média","Desvio-padrão","Mínimo","Máximo"
"1","10","480.462463378906","19262.7675228119","234.55207824707","150535.515625","53042.9429240652"
"2","10","417.871688842773","23478.8239555359","220.602874755859","182709.078125","64343.883969785"
"3","32","495.783081054688","24171.3223896027","188529.21875","66413.8817587291","184.712539672852"
"4","32","483.325149536133","24206.4771690369","188922.671875","66556.9622375683","299.358276367188"
"5","32","522.549285888672","21073.8129749298","164759.359375","58058.3041223797","229.435409545898"
"6","32","534.887100219727","23565.2118835449","183916.921875","64793.3004540814","298.774749755859"
"7","10","491.510284423828","19998.4412956238","332.232635498047","155658.890625","54816.2130856416"
"8","32","426.51921081543","24144.8092079163","186939.859375","65790.2635349731","197.269195556641"
"9","10","439.33935546875","20916.4381885529","235.839630126953","163815.3125","57740.7663190903"
"10","10","440.220016479492","20985.131477356","277.934265136719","163814.9375","57713.5666008853"
"11","32","445.881072998047","24849.5331497192","68107.1236505706","299.131652832031","193392.9375"
