"","hu","Mediana","Média","Desvio-padrão","Mínimo","Máximo"
"1","25","6778.1220703125","391819.144042969","3570.83056640625","3069647","1082026.94097636"
"2","19","6062.36962890625","349982.402130127","3416.44555664062","2745235.75","967846.416699321"
"3","32","5185.45629882812","404747.530517578","1116969.0336997","3403.955078125","3168958.75"
"4","32","3968.50231933594","369182.501922607","2912868.25","1027814.00130838","2481.4375"
"5","32","8096.30859375","395102.955596924","3107378.5","1095932.81900157","2946.87255859375"
"6","22","7836.40600585938","369106.539031982","4017.80346679688","2895103.5","1020662.12369011"
"7","32","7756.50415039062","395205.729797363","3107372.75","1095886.30627015","4221.279296875"
"8","32","7208.82153320312","403507.555908203","1116354.21346401","3095.13061523438","3166298.75"
"9","32","6571.68920898438","374638.130950928","2951610.5","1041257.2557525","2966.31274414062"
"10","32","4091.63891601562","405073.922546387","1116853.76849453","2198.34619140625","3168967"
"11","32","5589.8916015625","389658.33303833","1082891.7298157","3130.29638671875","3069665.75"
