"t","Média","Mediana","Mínimo","Máximo","Desvio-padrão"
"ALB",3.57121009866397,3.52256739139556,2.77026462554932,5.46795892715454,0.468007676822646
"ART",3.35826184431712,3.28688645362854,2.74782919883728,4.44489240646362,0.360325191794615
"BGM",2.9988542397817,2.92762565612793,2.40569663047791,4.71875047683716,0.363797766913708
"BUF",3.52089892268181,3.48539578914643,2.77780437469482,5.22630500793457,0.417191144788248
"HPN",3.62847892006238,3.56348741054535,3.03969097137451,4.67178678512573,0.354661771338756
"LGA",4.00027481516202,3.93895387649536,3.06522488594055,6.15353155136108,0.514952051823354
"JFK",4.03844117164612,3.98341023921967,3.29377174377441,5.38637161254883,0.409486045112411
"MSS",3.54776679396629,3.48428237438202,2.97898745536804,4.64770460128784,0.332086623862851
"RME",3.2063377960523,3.13810741901398,2.51033687591553,5.5253005027771,0.449896214882413
"ROC",3.0701589123408,3.02824735641479,2.54059386253357,4.21096897125244,0.310590216251182
"SYR",3.29493932684263,3.19494998455048,2.29732322692871,5.39959812164307,0.554770370063188
