"t","Média","Mediana","Mínimo","Máximo","Desvio-padrão"
"ALB",4.05913578152657,3.98783946037292,3.28024172782898,6.00495862960815,0.418987488511192
"ART",3.69437929709752,3.63131535053253,3.07989192008972,4.93939685821533,0.371071096241281
"BGM",3.71702305277189,3.68167901039124,3.0635404586792,5.06241989135742,0.32042007157153
"BUF",3.45119041323662,3.40637135505677,2.87249779701233,4.79613447189331,0.301865165318935
"HPN",5.03178234100342,4.94282770156861,3.98124647140503,7.343337059021,0.622063952851975
"LGA",5.02519600550334,4.90447998046875,4.02446031570435,8.43308734893799,0.659730539600472
"JFK",4.58137626330058,4.53378891944886,3.83274412155151,6.61373710632324,0.40938072418245
"MSS",3.94108975450198,3.86909747123719,3.27742719650269,5.49781322479248,0.411489820920627
"RME",3.84959964116414,3.79308378696441,3.1691107749939,5.84892559051514,0.433831082382945
"ROC",3.35831029494603,3.31810915470123,2.31489610671997,5.49146938323975,0.510272016619849
"SYR",3.43248081286748,3.39381754398346,2.82514309883118,4.76097536087036,0.344402036203334
