"t","Média","Mediana","Mínimo","Máximo","Desvio-padrão"
"ALB",4.7873909898599,4.61889386177063,3.67149710655212,8.26474571228027,0.723337172986508
"ART",5.41049095789591,5.32362031936646,4.58883953094482,8.03632164001465,0.540215075437124
"BGM",4.43127485990524,4.40274238586426,3.42087316513062,5.82034683227539,0.420380895815069
"BUF",5.13875547011693,5.09612441062927,4.38213777542114,6.39576292037964,0.350577340502628
"HPN",3.99405254721642,3.95802140235901,3.07254362106323,6.53164052963257,0.489586145355605
"LGA",4.31602317929268,4.26541543006897,3.35080981254578,6.38292932510376,0.487402218449956
"JFK",4.6068252325058,4.55678725242615,3.69548463821411,6.62227630615234,0.486270775171828
"MSS",5.49421990553538,5.37941789627076,4.38268709182739,7.61952209472656,0.635838088785193
"RME",5.07487714846929,4.98922348022461,4.19556617736816,7.37752294540405,0.491075938555033
"ROC",5.12282971461614,5.05062174797058,4.27695369720459,6.99047708511353,0.471511830262854
"SYR",5.10834891637166,4.99089431762695,4.13194847106934,7.86127424240112,0.5723716425863
