"t","Média","Mediana","Mínimo","Máximo","Desvio-padrão"
"ALB",4.07721741278966,4.00501561164856,3.31348991394043,5.40937185287476,0.46455095296547
"ART",4.10121329029401,4.01387047767639,3.48368191719055,5.235764503479,0.396594658317781
"BGM",4.19241277019183,4.11387848854065,3.24021887779236,6.12414121627808,0.546124797791398
"BUF",4.50105405966441,4.42670488357544,3.61947727203369,6.33404207229614,0.498954492905543
"HPN",4.27751392960548,4.20452713966369,3.39440941810608,6.31514930725098,0.498082690180202
"LGA",4.17251461982727,4.08891558647155,3.45604014396667,5.33669853210449,0.429317532532341
"JFK",4.39193818211555,4.3307716846466,3.55705523490906,6.07772731781006,0.454276481708116
"MSS",4.3331181760629,4.2628026008606,3.5435733795166,5.82420682907104,0.433726935946784
"RME",3.93297543803851,3.84706807136535,3.23288249969482,5.36894416809082,0.430729909503734
"ROC",4.27495377421379,4.22384762763977,3.47014856338501,5.73129415512085,0.462314288136934
"SYR",3.87233998537064,3.80485451221466,3.27454900741577,5.07732534408569,0.403496309964299
