"t","Média","Mediana","Mínimo","Máximo","Desvio-padrão"
"ALB",4.11272592782974,4.06727170944214,3.38115334510803,5.67588138580322,0.397043971813107
"ART",3.83921913226445,3.7749605178833,3.16117382049561,4.92568302154541,0.353527132990141
"BGM",4.06273366491,3.97972524166107,3.38254117965698,5.92442178726196,0.413028913497413
"BUF",4.13186364014943,4.03579211235046,3.29461789131165,5.88129997253418,0.464900344623934
"HPN",4.47468197703362,4.3824143409729,3.50078248977661,6.78504514694214,0.583484423360877
"LGA",4.23047753691673,4.13229513168335,3.3953161239624,6.52518796920776,0.510762448850857
"JFK",4.30091801444689,4.18061351776123,3.51847743988037,5.95226621627808,0.490659232582993
"MSS",3.83909101684888,3.80097508430481,3.09981036186218,5.3202657699585,0.402389556270607
"RME",4.04296017289162,3.93935823440551,3.1738977432251,6.39696407318115,0.53962272687601
"ROC",3.9688690551122,3.8946270942688,3.27816772460938,5.22554779052734,0.358453598538479
"SYR",4.27075892964999,4.1665940284729,3.29237174987793,9.43972587585449,0.71698795277453
