"t","Média","Mediana","Mínimo","Máximo","Desvio-padrão"
"ALB",3.5996711397171,3.51265585422516,2.87430381774902,5.02509784698486,0.499792550208735
"ART",3.39270591656367,3.29453265666961,2.62035751342773,4.97710704803467,0.527378013258808
"BGM",3.6639487572511,3.57179248332977,2.66882061958313,6.47014093399048,0.597701767390878
"BUF",3.05623443245888,2.96970081329346,2.27362656593323,4.76388740539551,0.51380794060307
"HPN",3.82462272683779,3.73084199428558,3.10858130455017,5.23221921920776,0.467528504112764
"LGA",4.05703725457191,3.96687710285187,3.08592677116394,6.63641262054443,0.624991544955616
"JFK",4.22972633918126,4.14459776878357,3.26515626907349,6.61083698272705,0.557944799644957
"MSS",4.01606632947922,3.92426240444183,2.99138283729553,6.39725255966187,0.602939845918302
"RME",3.83660608371099,3.72605395317078,2.86012148857117,6.14942216873169,0.62618293282575
"ROC",3.06075946648916,2.97409534454346,2.36702632904053,4.49159479141235,0.476890980149608
"SYR",3.59109438498815,3.52064895629883,2.61301898956299,6.46481370925903,0.546922461262253
