"Eastern Date Hour","Zone Name","Zone PTID","TWI Actual Load"
"2016/01/01 00:00:00","CAPITL","61757","1158.8"
"2016/01/01 01:00:00","CAPITL","61757","1104.1"
"2016/01/01 02:00:00","CAPITL","61757","1062.4"
"2016/01/01 03:00:00","CAPITL","61757","1040.8"
"2016/01/01 04:00:00","CAPITL","61757","1035.5"
"2016/01/01 05:00:00","CAPITL","61757","1059.8"
"2016/01/01 06:00:00","CAPITL","61757","1106"
"2016/01/01 07:00:00","CAPITL","61757","1139.8"
"2016/01/01 08:00:00","CAPITL","61757","1177.7"
"2016/01/01 09:00:00","CAPITL","61757","1251.1"
"2016/01/01 10:00:00","CAPITL","61757","1308.2"
"2016/01/01 11:00:00","CAPITL","61757","1342.8"
"2016/01/01 12:00:00","CAPITL","61757","1354.7"
"2016/01/01 13:00:00","CAPITL","61757","1352.5"
"2016/01/01 14:00:00","CAPITL","61757","1363.4"
"2016/01/01 15:00:00","CAPITL","61757","1373.5"
"2016/01/01 16:00:00","CAPITL","61757","1443.1"
"2016/01/01 17:00:00","CAPITL","61757","1533.9"
"2016/01/01 18:00:00","CAPITL","61757","1522.2"
"2016/01/01 19:00:00","CAPITL","61757","1489"
"2016/01/01 20:00:00","CAPITL","61757","1444.7"
"2016/01/01 21:00:00","CAPITL","61757","1387"
"2016/01/01 22:00:00","CAPITL","61757","1307.4"
"2016/01/01 23:00:00","CAPITL","61757","1222.5"
"2016/01/02 00:00:00","CAPITL","61757","1163.9"
"2016/01/02 01:00:00","CAPITL","61757","1123.9"
"2016/01/02 02:00:00","CAPITL","61757","1103.6"
"2016/01/02 03:00:00","CAPITL","61757","1097.5"
"2016/01/02 04:00:00","CAPITL","61757","1104"
"2016/01/02 05:00:00","CAPITL","61757","1126.3"
"2016/01/02 06:00:00","CAPITL","61757","1187.3"
"2016/01/02 07:00:00","CAPITL","61757","1254"
"2016/01/02 08:00:00","CAPITL","61757","1318.8"
"2016/01/02 09:00:00","CAPITL","61757","1368.4"
"2016/01/02 10:00:00","CAPITL","61757","1385.9"
"2016/01/02 11:00:00","CAPITL","61757","1404.5"
"2016/01/02 12:00:00","CAPITL","61757","1417"
"2016/01/02 13:00:00","CAPITL","61757","1408"
"2016/01/02 14:00:00","CAPITL","61757","1394.9"
"2016/01/02 15:00:00","CAPITL","61757","1402.4"
"2016/01/02 16:00:00","CAPITL","61757","1479.4"
"2016/01/02 17:00:00","CAPITL","61757","1558.1"
"2016/01/02 18:00:00","CAPITL","61757","1536.2"
"2016/01/02 19:00:00","CAPITL","61757","1501.8"
"2016/01/02 20:00:00","CAPITL","61757","1459.3"
"2016/01/02 21:00:00","CAPITL","61757","1398.6"
"2016/01/02 22:00:00","CAPITL","61757","1311.5"
"2016/01/02 23:00:00","CAPITL","61757","1219.5"
"2016/01/03 00:00:00","CAPITL","61757","1149.7"
"2016/01/03 01:00:00","CAPITL","61757","1113.5"
"2016/01/03 02:00:00","CAPITL","61757","1089.2"
"2016/01/03 03:00:00","CAPITL","61757","1085.7"
"2016/01/03 04:00:00","CAPITL","61757","1103.3"
"2016/01/03 05:00:00","CAPITL","61757","1119"
"2016/01/03 06:00:00","CAPITL","61757","1171.6"
"2016/01/03 07:00:00","CAPITL","61757","1220.4"
"2016/01/03 08:00:00","CAPITL","61757","1274.3"
"2016/01/03 09:00:00","CAPITL","61757","1343.5"
"2016/01/03 10:00:00","CAPITL","61757","1384.4"
"2016/01/03 11:00:00","CAPITL","61757","1407.7"
"2016/01/03 12:00:00","CAPITL","61757","1413.7"
"2016/01/03 13:00:00","CAPITL","61757","1406.5"
"2016/01/03 14:00:00","CAPITL","61757","1396"
"2016/01/03 15:00:00","CAPITL","61757","1395.9"
"2016/01/03 16:00:00","CAPITL","61757","1481.1"
"2016/01/03 17:00:00","CAPITL","61757","1581.6"
"2016/01/03 18:00:00","CAPITL","61757","1565.4"
"2016/01/03 19:00:00","CAPITL","61757","1524.5"
"2016/01/03 20:00:00","CAPITL","61757","1471.7"
"2016/01/03 21:00:00","CAPITL","61757","1381.9"
"2016/01/03 22:00:00","CAPITL","61757","1287.4"
"2016/01/03 23:00:00","CAPITL","61757","1209.1"
"2016/01/04 00:00:00","CAPITL","61757","1167.8"
"2016/01/04 01:00:00","CAPITL","61757","1130.4"
"2016/01/04 02:00:00","CAPITL","61757","1129.7"
"2016/01/04 03:00:00","CAPITL","61757","1141.2"
"2016/01/04 04:00:00","CAPITL","61757","1177.1"
"2016/01/04 05:00:00","CAPITL","61757","1271.7"
"2016/01/04 06:00:00","CAPITL","61757","1438.1"
"2016/01/04 07:00:00","CAPITL","61757","1530.6"
"2016/01/04 08:00:00","CAPITL","61757","1545.4"
"2016/01/04 09:00:00","CAPITL","61757","1568.2"
"2016/01/04 10:00:00","CAPITL","61757","1585.9"
"2016/01/04 11:00:00","CAPITL","61757","1589"
"2016/01/04 12:00:00","CAPITL","61757","1593.8"
"2016/01/04 13:00:00","CAPITL","61757","1591.9"
"2016/01/04 14:00:00","CAPITL","61757","1591.6"
"2016/01/04 15:00:00","CAPITL","61757","1620.6"
"2016/01/04 16:00:00","CAPITL","61757","1716.4"
"2016/01/04 17:00:00","CAPITL","61757","1841.7"
"2016/01/04 18:00:00","CAPITL","61757","1854.2"
"2016/01/04 19:00:00","CAPITL","61757","1816.3"
"2016/01/04 20:00:00","CAPITL","61757","1758.3"
"2016/01/04 21:00:00","CAPITL","61757","1668.8"
"2016/01/04 22:00:00","CAPITL","61757","1551.9"
"2016/01/04 23:00:00","CAPITL","61757","1453.1"
"2016/01/05 00:00:00","CAPITL","61757","1412.3"
"2016/01/05 01:00:00","CAPITL","61757","1378.8"
"2016/01/05 02:00:00","CAPITL","61757","1374.2"
"2016/01/05 03:00:00","CAPITL","61757","1381.2"
"2016/01/05 04:00:00","CAPITL","61757","1412.2"
"2016/01/05 05:00:00","CAPITL","61757","1484.5"
"2016/01/05 06:00:00","CAPITL","61757","1626.3"
"2016/01/05 07:00:00","CAPITL","61757","1707.6"
"2016/01/05 08:00:00","CAPITL","61757","1712.8"
"2016/01/05 09:00:00","CAPITL","61757","1702.7"
