"Eastern Date Hour","Zone Name","Zone PTID","TWI Actual Load"
"2016/01/01 00:00:00","CENTRL","61754","1576.1"
"2016/01/01 01:00:00","CENTRL","61754","1511.7"
"2016/01/01 02:00:00","CENTRL","61754","1464.6"
"2016/01/01 03:00:00","CENTRL","61754","1442.7"
"2016/01/01 04:00:00","CENTRL","61754","1446.4"
"2016/01/01 05:00:00","CENTRL","61754","1481.9"
"2016/01/01 06:00:00","CENTRL","61754","1541.4"
"2016/01/01 07:00:00","CENTRL","61754","1594.6"
"2016/01/01 08:00:00","CENTRL","61754","1637.5"
"2016/01/01 09:00:00","CENTRL","61754","1710"
"2016/01/01 10:00:00","CENTRL","61754","1775.8"
"2016/01/01 11:00:00","CENTRL","61754","1838.1"
"2016/01/01 12:00:00","CENTRL","61754","1846"
"2016/01/01 13:00:00","CENTRL","61754","1828.7"
"2016/01/01 14:00:00","CENTRL","61754","1795.6"
"2016/01/01 15:00:00","CENTRL","61754","1805.2"
"2016/01/01 16:00:00","CENTRL","61754","1912.4"
"2016/01/01 17:00:00","CENTRL","61754","2057.9"
"2016/01/01 18:00:00","CENTRL","61754","2037.5"
"2016/01/01 19:00:00","CENTRL","61754","2000"
"2016/01/01 20:00:00","CENTRL","61754","1960.7"
"2016/01/01 21:00:00","CENTRL","61754","1892"
"2016/01/01 22:00:00","CENTRL","61754","1795.7"
"2016/01/01 23:00:00","CENTRL","61754","1697.4"
"2016/01/02 00:00:00","CENTRL","61754","1609.4"
"2016/01/02 01:00:00","CENTRL","61754","1545.7"
"2016/01/02 02:00:00","CENTRL","61754","1515.6"
"2016/01/02 03:00:00","CENTRL","61754","1503.2"
"2016/01/02 04:00:00","CENTRL","61754","1521.8"
"2016/01/02 05:00:00","CENTRL","61754","1560.5"
"2016/01/02 06:00:00","CENTRL","61754","1640.4"
"2016/01/02 07:00:00","CENTRL","61754","1723.8"
"2016/01/02 08:00:00","CENTRL","61754","1793.1"
"2016/01/02 09:00:00","CENTRL","61754","1868.1"
"2016/01/02 10:00:00","CENTRL","61754","1925.9"
"2016/01/02 11:00:00","CENTRL","61754","1946.9"
"2016/01/02 12:00:00","CENTRL","61754","1946.5"
"2016/01/02 13:00:00","CENTRL","61754","1936.8"
"2016/01/02 14:00:00","CENTRL","61754","1919.8"
"2016/01/02 15:00:00","CENTRL","61754","1934"
"2016/01/02 16:00:00","CENTRL","61754","2010.8"
"2016/01/02 17:00:00","CENTRL","61754","2075.8"
"2016/01/02 18:00:00","CENTRL","61754","2076.2"
"2016/01/02 19:00:00","CENTRL","61754","2039"
"2016/01/02 20:00:00","CENTRL","61754","1987.7"
"2016/01/02 21:00:00","CENTRL","61754","1925.3"
"2016/01/02 22:00:00","CENTRL","61754","1829.1"
"2016/01/02 23:00:00","CENTRL","61754","1727.9"
"2016/01/03 00:00:00","CENTRL","61754","1634.2"
"2016/01/03 01:00:00","CENTRL","61754","1563.3"
"2016/01/03 02:00:00","CENTRL","61754","1527.1"
"2016/01/03 03:00:00","CENTRL","61754","1509.5"
"2016/01/03 04:00:00","CENTRL","61754","1512.9"
"2016/01/03 05:00:00","CENTRL","61754","1541.3"
"2016/01/03 06:00:00","CENTRL","61754","1606.4"
"2016/01/03 07:00:00","CENTRL","61754","1672.9"
"2016/01/03 08:00:00","CENTRL","61754","1740.3"
"2016/01/03 09:00:00","CENTRL","61754","1810.4"
"2016/01/03 10:00:00","CENTRL","61754","1867.2"
"2016/01/03 11:00:00","CENTRL","61754","1903.1"
"2016/01/03 12:00:00","CENTRL","61754","1926.2"
"2016/01/03 13:00:00","CENTRL","61754","1926.1"
"2016/01/03 14:00:00","CENTRL","61754","1904"
"2016/01/03 15:00:00","CENTRL","61754","1915.8"
"2016/01/03 16:00:00","CENTRL","61754","2003.4"
"2016/01/03 17:00:00","CENTRL","61754","2113.4"
"2016/01/03 18:00:00","CENTRL","61754","2114.9"
"2016/01/03 19:00:00","CENTRL","61754","2085"
"2016/01/03 20:00:00","CENTRL","61754","2016.8"
"2016/01/03 21:00:00","CENTRL","61754","1915.8"
"2016/01/03 22:00:00","CENTRL","61754","1808.9"
"2016/01/03 23:00:00","CENTRL","61754","1714.8"
"2016/01/04 00:00:00","CENTRL","61754","1650.9"
"2016/01/04 01:00:00","CENTRL","61754","1613.1"
"2016/01/04 02:00:00","CENTRL","61754","1606.9"
"2016/01/04 03:00:00","CENTRL","61754","1614.1"
"2016/01/04 04:00:00","CENTRL","61754","1675.9"
"2016/01/04 05:00:00","CENTRL","61754","1809.1"
"2016/01/04 06:00:00","CENTRL","61754","2037"
"2016/01/04 07:00:00","CENTRL","61754","2180.6"
"2016/01/04 08:00:00","CENTRL","61754","2203.4"
"2016/01/04 09:00:00","CENTRL","61754","2239"
"2016/01/04 10:00:00","CENTRL","61754","2271.7"
"2016/01/04 11:00:00","CENTRL","61754","2273.3"
"2016/01/04 12:00:00","CENTRL","61754","2265.8"
"2016/01/04 13:00:00","CENTRL","61754","2271.9"
"2016/01/04 14:00:00","CENTRL","61754","2255.5"
"2016/01/04 15:00:00","CENTRL","61754","2252.4"
"2016/01/04 16:00:00","CENTRL","61754","2328.5"
"2016/01/04 17:00:00","CENTRL","61754","2481.1"
"2016/01/04 18:00:00","CENTRL","61754","2486.9"
"2016/01/04 19:00:00","CENTRL","61754","2450.4"
"2016/01/04 20:00:00","CENTRL","61754","2375.4"
"2016/01/04 21:00:00","CENTRL","61754","2253.9"
"2016/01/04 22:00:00","CENTRL","61754","2105.1"
"2016/01/04 23:00:00","CENTRL","61754","1966.6"
"2016/01/05 00:00:00","CENTRL","61754","1892.3"
"2016/01/05 01:00:00","CENTRL","61754","1852.3"
"2016/01/05 02:00:00","CENTRL","61754","1829.7"
"2016/01/05 03:00:00","CENTRL","61754","1833.7"
"2016/01/05 04:00:00","CENTRL","61754","1881.2"
"2016/01/05 05:00:00","CENTRL","61754","2012.4"
"2016/01/05 06:00:00","CENTRL","61754","2219.7"
"2016/01/05 07:00:00","CENTRL","61754","2320.7"
"2016/01/05 08:00:00","CENTRL","61754","2308.3"
"2016/01/05 09:00:00","CENTRL","61754","2297.6"
"2016/01/05 10:00:00","CENTRL","61754","2306"
"2016/01/05 11:00:00","CENTRL","61754","2260.7"
"2016/01/05 12:00:00","CENTRL","61754","2203.8"
"2016/01/05 13:00:00","CENTRL","61754","2173.3"
"2016/01/05 14:00:00","CENTRL","61754","2145.4"
"2016/01/05 15:00:00","CENTRL","61754","2110.2"
"2016/01/05 16:00:00","CENTRL","61754","2180.9"
"2016/01/05 17:00:00","CENTRL","61754","2380.7"
"2016/01/05 18:00:00","CENTRL","61754","2422.8"
"2016/01/05 19:00:00","CENTRL","61754","2372.3"
"2016/01/05 20:00:00","CENTRL","61754","2301.2"
"2016/01/05 21:00:00","CENTRL","61754","2193.5"
"2016/01/05 22:00:00","CENTRL","61754","2037.5"
"2016/01/05 23:00:00","CENTRL","61754","1912.2"
"2016/01/06 00:00:00","CENTRL","61754","1845"
"2016/01/06 01:00:00","CENTRL","61754","1800.5"
"2016/01/06 02:00:00","CENTRL","61754","1776.5"
"2016/01/06 03:00:00","CENTRL","61754","1770.5"
"2016/01/06 04:00:00","CENTRL","61754","1812.6"
"2016/01/06 05:00:00","CENTRL","61754","1929.9"
"2016/01/06 06:00:00","CENTRL","61754","2155.1"
"2016/01/06 07:00:00","CENTRL","61754","2253.6"
"2016/01/06 08:00:00","CENTRL","61754","2256.5"
"2016/01/06 09:00:00","CENTRL","61754","2238.9"
"2016/01/06 10:00:00","CENTRL","61754","2204.8"
"2016/01/06 11:00:00","CENTRL","61754","2157.8"
"2016/01/06 12:00:00","CENTRL","61754","2105.3"
"2016/01/06 13:00:00","CENTRL","61754","2057.8"
"2016/01/06 14:00:00","CENTRL","61754","2018.5"
"2016/01/06 15:00:00","CENTRL","61754","2017.3"
"2016/01/06 16:00:00","CENTRL","61754","2101.5"
"2016/01/06 17:00:00","CENTRL","61754","2257.6"
"2016/01/06 18:00:00","CENTRL","61754","2267.6"
"2016/01/06 19:00:00","CENTRL","61754","2237.1"
"2016/01/06 20:00:00","CENTRL","61754","2170.4"
