"Eastern Date Hour","Zone Name","Zone PTID","TWI Actual Load"
"2015/01/01 00:00:00","DUNWOD","61760","643.8"
"2015/01/01 01:00:00","DUNWOD","61760","612.9"
"2015/01/01 02:00:00","DUNWOD","61760","587.9"
"2015/01/01 03:00:00","DUNWOD","61760","570"
"2015/01/01 04:00:00","DUNWOD","61760","563.5"
"2015/01/01 05:00:00","DUNWOD","61760","572.5"
"2015/01/01 06:00:00","DUNWOD","61760","585.1"
"2015/01/01 07:00:00","DUNWOD","61760","582.8"
"2015/01/01 08:00:00","DUNWOD","61760","590"
"2015/01/01 09:00:00","DUNWOD","61760","611.7"
"2015/01/01 10:00:00","DUNWOD","61760","635.9"
"2015/01/01 11:00:00","DUNWOD","61760","651.9"
"2015/01/01 12:00:00","DUNWOD","61760","657.7"
"2015/01/01 13:00:00","DUNWOD","61760","657"
"2015/01/01 14:00:00","DUNWOD","61760","657.2"
"2015/01/01 15:00:00","DUNWOD","61760","661.1"
"2015/01/01 16:00:00","DUNWOD","61760","693.8"
"2015/01/01 17:00:00","DUNWOD","61760","758.8"
"2015/01/01 18:00:00","DUNWOD","61760","763.7"
"2015/01/01 19:00:00","DUNWOD","61760","752.8"
"2015/01/01 20:00:00","DUNWOD","61760","739.9"
"2015/01/01 21:00:00","DUNWOD","61760","719.1"
"2015/01/01 22:00:00","DUNWOD","61760","679"
"2015/01/01 23:00:00","DUNWOD","61760","627.9"
"2015/01/02 00:00:00","DUNWOD","61760","583"
"2015/01/02 01:00:00","DUNWOD","61760","557.6"
"2015/01/02 02:00:00","DUNWOD","61760","541.9"
"2015/01/02 03:00:00","DUNWOD","61760","532.1"
"2015/01/02 04:00:00","DUNWOD","61760","527.3"
"2015/01/02 05:00:00","DUNWOD","61760","549.9"
"2015/01/02 06:00:00","DUNWOD","61760","592.9"
"2015/01/02 07:00:00","DUNWOD","61760","631.4"
"2015/01/02 08:00:00","DUNWOD","61760","669.3"
"2015/01/02 09:00:00","DUNWOD","61760","704.3"
"2015/01/02 10:00:00","DUNWOD","61760","726.9"
"2015/01/02 11:00:00","DUNWOD","61760","728.1"
"2015/01/02 12:00:00","DUNWOD","61760","729.4"
"2015/01/02 13:00:00","DUNWOD","61760","720.9"
"2015/01/02 14:00:00","DUNWOD","61760","711.1"
"2015/01/02 15:00:00","DUNWOD","61760","717.4"
"2015/01/02 16:00:00","DUNWOD","61760","749.6"
"2015/01/02 17:00:00","DUNWOD","61760","808.4"
