"Eastern Date Hour","Zone Name","Zone PTID","TWI Actual Load"
"2017/01/01 00:00:00","GENESE","61753","945.1"
"2017/01/01 01:00:00","GENESE","61753","901.9"
"2017/01/01 02:00:00","GENESE","61753","876"
"2017/01/01 03:00:00","GENESE","61753","862.8"
"2017/01/01 04:00:00","GENESE","61753","861"
"2017/01/01 05:00:00","GENESE","61753","874.3"
"2017/01/01 06:00:00","GENESE","61753","900.9"
"2017/01/01 07:00:00","GENESE","61753","926.4"
"2017/01/01 08:00:00","GENESE","61753","942.6"
"2017/01/01 09:00:00","GENESE","61753","969.6"
"2017/01/01 10:00:00","GENESE","61753","992.9"
"2017/01/01 11:00:00","GENESE","61753","1008.4"
"2017/01/01 12:00:00","GENESE","61753","1013.4"
"2017/01/01 13:00:00","GENESE","61753","1009.2"
"2017/01/01 14:00:00","GENESE","61753","1003"
"2017/01/01 15:00:00","GENESE","61753","1009.3"
"2017/01/01 16:00:00","GENESE","61753","1069.5"
"2017/01/01 17:00:00","GENESE","61753","1182.4"
"2017/01/01 18:00:00","GENESE","61753","1186.5"
"2017/01/01 19:00:00","GENESE","61753","1166.7"
"2017/01/01 20:00:00","GENESE","61753","1145.8"
"2017/01/01 21:00:00","GENESE","61753","1103.9"
"2017/01/01 22:00:00","GENESE","61753","1042.4"
"2017/01/01 23:00:00","GENESE","61753","983.5"
"2017/01/02 00:00:00","GENESE","61753","929.4"
"2017/01/02 01:00:00","GENESE","61753","898"
"2017/01/02 02:00:00","GENESE","61753","874.8"
"2017/01/02 03:00:00","GENESE","61753","875.7"
"2017/01/02 04:00:00","GENESE","61753","899.7"
"2017/01/02 05:00:00","GENESE","61753","937.7"
"2017/01/02 06:00:00","GENESE","61753","995.4"
"2017/01/02 07:00:00","GENESE","61753","1044.5"
"2017/01/02 08:00:00","GENESE","61753","1080.2"
"2017/01/02 09:00:00","GENESE","61753","1129.4"
"2017/01/02 10:00:00","GENESE","61753","1169.7"
"2017/01/02 11:00:00","GENESE","61753","1187.6"
"2017/01/02 12:00:00","GENESE","61753","1190.7"
"2017/01/02 13:00:00","GENESE","61753","1174.4"
"2017/01/02 14:00:00","GENESE","61753","1169.4"
"2017/01/02 15:00:00","GENESE","61753","1180.5"
"2017/01/02 16:00:00","GENESE","61753","1237"
"2017/01/02 17:00:00","GENESE","61753","1303"
"2017/01/02 18:00:00","GENESE","61753","1285.7"
"2017/01/02 19:00:00","GENESE","61753","1257.3"
"2017/01/02 20:00:00","GENESE","61753","1211.5"
"2017/01/02 21:00:00","GENESE","61753","1146.1"
"2017/01/02 22:00:00","GENESE","61753","1057.9"
"2017/01/02 23:00:00","GENESE","61753","975.8"
"2017/01/03 00:00:00","GENESE","61753","920.1"
"2017/01/03 01:00:00","GENESE","61753","889.4"
"2017/01/03 02:00:00","GENESE","61753","879.3"
"2017/01/03 03:00:00","GENESE","61753","881"
"2017/01/03 04:00:00","GENESE","61753","908"
"2017/01/03 05:00:00","GENESE","61753","984.6"
"2017/01/03 06:00:00","GENESE","61753","1113.4"
"2017/01/03 07:00:00","GENESE","61753","1189.1"
"2017/01/03 08:00:00","GENESE","61753","1199.9"
"2017/01/03 09:00:00","GENESE","61753","1206.5"
"2017/01/03 10:00:00","GENESE","61753","1221.7"
"2017/01/03 11:00:00","GENESE","61753","1232.2"
"2017/01/03 12:00:00","GENESE","61753","1233.6"
"2017/01/03 13:00:00","GENESE","61753","1227.7"
"2017/01/03 14:00:00","GENESE","61753","1223.5"
"2017/01/03 15:00:00","GENESE","61753","1228"
"2017/01/03 16:00:00","GENESE","61753","1273.2"
"2017/01/03 17:00:00","GENESE","61753","1330.8"
"2017/01/03 18:00:00","GENESE","61753","1320.3"
"2017/01/03 19:00:00","GENESE","61753","1290.4"
"2017/01/03 20:00:00","GENESE","61753","1238.9"
"2017/01/03 21:00:00","GENESE","61753","1166.7"
"2017/01/03 22:00:00","GENESE","61753","1079.1"
"2017/01/03 23:00:00","GENESE","61753","992.3"
"2017/01/04 00:00:00","GENESE","61753","940"
"2017/01/04 01:00:00","GENESE","61753","907.7"
"2017/01/04 02:00:00","GENESE","61753","894.4"
"2017/01/04 03:00:00","GENESE","61753","893.5"
"2017/01/04 04:00:00","GENESE","61753","919"
"2017/01/04 05:00:00","GENESE","61753","991.7"
"2017/01/04 06:00:00","GENESE","61753","1116.6"
"2017/01/04 07:00:00","GENESE","61753","1201.9"
"2017/01/04 08:00:00","GENESE","61753","1204.5"
"2017/01/04 09:00:00","GENESE","61753","1215.2"
"2017/01/04 10:00:00","GENESE","61753","1230.5"
"2017/01/04 11:00:00","GENESE","61753","1221.7"
"2017/01/04 12:00:00","GENESE","61753","1213.6"
"2017/01/04 13:00:00","GENESE","61753","1233.1"
"2017/01/04 14:00:00","GENESE","61753","1231"
