"Eastern Date Hour","Zone Name","Zone PTID","TWI Actual Load"
"2018/01/01 00:00:00","HUD VL","61758","1284.7"
"2018/01/01 01:00:00","HUD VL","61758","1228.1"
"2018/01/01 02:00:00","HUD VL","61758","1192"
"2018/01/01 03:00:00","HUD VL","61758","1190.7"
"2018/01/01 04:00:00","HUD VL","61758","1190.2"
"2018/01/01 05:00:00","HUD VL","61758","1203"
"2018/01/01 06:00:00","HUD VL","61758","1226.6"
"2018/01/01 07:00:00","HUD VL","61758","1243.4"
"2018/01/01 08:00:00","HUD VL","61758","1285.9"
"2018/01/01 09:00:00","HUD VL","61758","1331.1"
"2018/01/01 10:00:00","HUD VL","61758","1361.1"
"2018/01/01 11:00:00","HUD VL","61758","1366.8"
"2018/01/01 12:00:00","HUD VL","61758","1371.7"
"2018/01/01 13:00:00","HUD VL","61758","1353.7"
"2018/01/01 14:00:00","HUD VL","61758","1343.7"
"2018/01/01 15:00:00","HUD VL","61758","1372.3"
"2018/01/01 16:00:00","HUD VL","61758","1446.7"
"2018/01/01 17:00:00","HUD VL","61758","1560.5"
"2018/01/01 18:00:00","HUD VL","61758","1559"
"2018/01/01 19:00:00","HUD VL","61758","1537.8"
"2018/01/01 20:00:00","HUD VL","61758","1499.7"
"2018/01/01 21:00:00","HUD VL","61758","1437.6"
"2018/01/01 22:00:00","HUD VL","61758","1336.3"
"2018/01/01 23:00:00","HUD VL","61758","1254.4"
"2018/01/02 00:00:00","HUD VL","61758","1184.8"
"2018/01/02 01:00:00","HUD VL","61758","1163.1"
"2018/01/02 02:00:00","HUD VL","61758","1151.8"
"2018/01/02 03:00:00","HUD VL","61758","1148.7"
"2018/01/02 04:00:00","HUD VL","61758","1162.9"
"2018/01/02 05:00:00","HUD VL","61758","1226.9"
"2018/01/02 06:00:00","HUD VL","61758","1326.8"
"2018/01/02 07:00:00","HUD VL","61758","1393.4"
"2018/01/02 08:00:00","HUD VL","61758","1401.1"
"2018/01/02 09:00:00","HUD VL","61758","1400.6"
"2018/01/02 10:00:00","HUD VL","61758","1395.1"
"2018/01/02 11:00:00","HUD VL","61758","1394.1"
"2018/01/02 12:00:00","HUD VL","61758","1379.7"
"2018/01/02 13:00:00","HUD VL","61758","1377.6"
"2018/01/02 14:00:00","HUD VL","61758","1372.2"
"2018/01/02 15:00:00","HUD VL","61758","1377.9"
"2018/01/02 16:00:00","HUD VL","61758","1445.6"
"2018/01/02 17:00:00","HUD VL","61758","1557.8"
"2018/01/02 18:00:00","HUD VL","61758","1577.6"
"2018/01/02 19:00:00","HUD VL","61758","1563.1"
"2018/01/02 20:00:00","HUD VL","61758","1524.5"
"2018/01/02 21:00:00","HUD VL","61758","1450.3"
"2018/01/02 22:00:00","HUD VL","61758","1349.1"
"2018/01/02 23:00:00","HUD VL","61758","1257.9"
"2018/01/03 00:00:00","HUD VL","61758","1194.7"
"2018/01/03 01:00:00","HUD VL","61758","1170.9"
"2018/01/03 02:00:00","HUD VL","61758","1159.6"
"2018/01/03 03:00:00","HUD VL","61758","1162.8"
"2018/01/03 04:00:00","HUD VL","61758","1182.6"
"2018/01/03 05:00:00","HUD VL","61758","1231.8"
"2018/01/03 06:00:00","HUD VL","61758","1339.9"
"2018/01/03 07:00:00","HUD VL","61758","1397.6"
"2018/01/03 08:00:00","HUD VL","61758","1405.3"
"2018/01/03 09:00:00","HUD VL","61758","1370.1"
"2018/01/03 10:00:00","HUD VL","61758","1384.2"
"2018/01/03 11:00:00","HUD VL","61758","1371"
"2018/01/03 12:00:00","HUD VL","61758","1344.3"
"2018/01/03 13:00:00","HUD VL","61758","1331.6"
"2018/01/03 14:00:00","HUD VL","61758","1313"
"2018/01/03 15:00:00","HUD VL","61758","1333.8"
"2018/01/03 16:00:00","HUD VL","61758","1412.7"
"2018/01/03 17:00:00","HUD VL","61758","1504.1"
"2018/01/03 18:00:00","HUD VL","61758","1519.8"
"2018/01/03 19:00:00","HUD VL","61758","1504.6"
"2018/01/03 20:00:00","HUD VL","61758","1473.3"
"2018/01/03 21:00:00","HUD VL","61758","1414.7"
"2018/01/03 22:00:00","HUD VL","61758","1333.7"
"2018/01/03 23:00:00","HUD VL","61758","1254.4"
"2018/01/04 00:00:00","HUD VL","61758","1156.6"
"2018/01/04 01:00:00","HUD VL","61758","1119.6"
"2018/01/04 02:00:00","HUD VL","61758","1097.3"
"2018/01/04 03:00:00","HUD VL","61758","1095.7"
"2018/01/04 04:00:00","HUD VL","61758","1101"
"2018/01/04 05:00:00","HUD VL","61758","1150.5"
"2018/01/04 06:00:00","HUD VL","61758","1225.4"
"2018/01/04 07:00:00","HUD VL","61758","1297.1"
"2018/01/04 08:00:00","HUD VL","61758","1355"
"2018/01/04 09:00:00","HUD VL","61758","1403.5"
"2018/01/04 10:00:00","HUD VL","61758","1447.9"
"2018/01/04 11:00:00","HUD VL","61758","1474.3"
"2018/01/04 12:00:00","HUD VL","61758","1476.4"
"2018/01/04 13:00:00","HUD VL","61758","1476.9"
"2018/01/04 14:00:00","HUD VL","61758","1461.7"
"2018/01/04 15:00:00","HUD VL","61758","1447.7"
"2018/01/04 16:00:00","HUD VL","61758","1477.3"
"2018/01/04 17:00:00","HUD VL","61758","1577.6"
"2018/01/04 18:00:00","HUD VL","61758","1579.1"
"2018/01/04 19:00:00","HUD VL","61758","1546.4"
"2018/01/04 20:00:00","HUD VL","61758","1475.1"
"2018/01/04 21:00:00","HUD VL","61758","1409.4"
"2018/01/04 22:00:00","HUD VL","61758","1316.1"
"2018/01/04 23:00:00","HUD VL","61758","1238.4"
"2018/01/05 00:00:00","HUD VL","61758","1186.5"
"2018/01/05 01:00:00","HUD VL","61758","1157.1"
"2018/01/05 02:00:00","HUD VL","61758","1149.5"
"2018/01/05 03:00:00","HUD VL","61758","1158.3"
"2018/01/05 04:00:00","HUD VL","61758","1175.6"
"2018/01/05 05:00:00","HUD VL","61758","1230.8"
"2018/01/05 06:00:00","HUD VL","61758","1318.2"
"2018/01/05 07:00:00","HUD VL","61758","1388.9"
"2018/01/05 08:00:00","HUD VL","61758","1438.3"
"2018/01/05 09:00:00","HUD VL","61758","1454.1"
"2018/01/05 10:00:00","HUD VL","61758","1464.1"
"2018/01/05 11:00:00","HUD VL","61758","1458.3"
"2018/01/05 12:00:00","HUD VL","61758","1448"
"2018/01/05 13:00:00","HUD VL","61758","1441.5"
"2018/01/05 14:00:00","HUD VL","61758","1440.1"
"2018/01/05 15:00:00","HUD VL","61758","1463.5"
"2018/01/05 16:00:00","HUD VL","61758","1521.4"
"2018/01/05 17:00:00","HUD VL","61758","1637.5"
"2018/01/05 18:00:00","HUD VL","61758","1636.1"
"2018/01/05 19:00:00","HUD VL","61758","1615.9"
"2018/01/05 20:00:00","HUD VL","61758","1586.3"
"2018/01/05 21:00:00","HUD VL","61758","1527.3"
"2018/01/05 22:00:00","HUD VL","61758","1449.7"
"2018/01/05 23:00:00","HUD VL","61758","1363.9"
"2018/01/06 00:00:00","HUD VL","61758","1307.9"
"2018/01/06 01:00:00","HUD VL","61758","1270.4"
"2018/01/06 02:00:00","HUD VL","61758","1248.6"
"2018/01/06 03:00:00","HUD VL","61758","1241.1"
"2018/01/06 04:00:00","HUD VL","61758","1246.7"
"2018/01/06 05:00:00","HUD VL","61758","1269.1"
"2018/01/06 06:00:00","HUD VL","61758","1306.4"
"2018/01/06 07:00:00","HUD VL","61758","1349"
"2018/01/06 08:00:00","HUD VL","61758","1402.2"
"2018/01/06 09:00:00","HUD VL","61758","1437.1"
"2018/01/06 10:00:00","HUD VL","61758","1446.2"
"2018/01/06 11:00:00","HUD VL","61758","1443.8"
"2018/01/06 12:00:00","HUD VL","61758","1435.8"
"2018/01/06 13:00:00","HUD VL","61758","1414.3"
"2018/01/06 14:00:00","HUD VL","61758","1406.5"
"2018/01/06 15:00:00","HUD VL","61758","1440.3"
"2018/01/06 16:00:00","HUD VL","61758","1517.2"
"2018/01/06 17:00:00","HUD VL","61758","1620.8"
"2018/01/06 18:00:00","HUD VL","61758","1628.6"
"2018/01/06 19:00:00","HUD VL","61758","1602.9"
"2018/01/06 20:00:00","HUD VL","61758","1575.1"
"2018/01/06 21:00:00","HUD VL","61758","1530.9"
"2018/01/06 22:00:00","HUD VL","61758","1456.8"
