"Eastern Date Hour","Zone Name","Zone PTID","TWI Actual Load"
"2015/01/01 00:00:00","LONGIL","61762","2338"
"2015/01/01 01:00:00","LONGIL","61762","2164.1"
"2015/01/01 02:00:00","LONGIL","61762","2060"
"2015/01/01 03:00:00","LONGIL","61762","1989.3"
"2015/01/01 04:00:00","LONGIL","61762","1968.8"
"2015/01/01 05:00:00","LONGIL","61762","1986.3"
"2015/01/01 06:00:00","LONGIL","61762","2022"
"2015/01/01 07:00:00","LONGIL","61762","2020.8"
"2015/01/01 08:00:00","LONGIL","61762","2060.6"
"2015/01/01 09:00:00","LONGIL","61762","2132.4"
"2015/01/01 10:00:00","LONGIL","61762","2208"
"2015/01/01 11:00:00","LONGIL","61762","2261.1"
"2015/01/01 12:00:00","LONGIL","61762","2275.1"
"2015/01/01 13:00:00","LONGIL","61762","2273"
"2015/01/01 14:00:00","LONGIL","61762","2274.6"
"2015/01/01 15:00:00","LONGIL","61762","2309.9"
"2015/01/01 16:00:00","LONGIL","61762","2518"
"2015/01/01 17:00:00","LONGIL","61762","2845.7"
"2015/01/01 18:00:00","LONGIL","61762","2859.5"
"2015/01/01 19:00:00","LONGIL","61762","2805.8"
"2015/01/01 20:00:00","LONGIL","61762","2743.7"
"2015/01/01 21:00:00","LONGIL","61762","2669.7"
"2015/01/01 22:00:00","LONGIL","61762","2438"
"2015/01/01 23:00:00","LONGIL","61762","2220"
"2015/01/02 00:00:00","LONGIL","61762","2039.1"
"2015/01/02 01:00:00","LONGIL","61762","1909.6"
"2015/01/02 02:00:00","LONGIL","61762","1838.7"
"2015/01/02 03:00:00","LONGIL","61762","1816.8"
"2015/01/02 04:00:00","LONGIL","61762","1836.7"
"2015/01/02 05:00:00","LONGIL","61762","1931.1"
"2015/01/02 06:00:00","LONGIL","61762","2080.2"
"2015/01/02 07:00:00","LONGIL","61762","2195.5"
"2015/01/02 08:00:00","LONGIL","61762","2281"
"2015/01/02 09:00:00","LONGIL","61762","2353"
"2015/01/02 10:00:00","LONGIL","61762","2412"
"2015/01/02 11:00:00","LONGIL","61762","2419.3"
"2015/01/02 12:00:00","LONGIL","61762","2394.6"
"2015/01/02 13:00:00","LONGIL","61762","2380.8"
"2015/01/02 14:00:00","LONGIL","61762","2376.1"
"2015/01/02 15:00:00","LONGIL","61762","2410.6"
"2015/01/02 16:00:00","LONGIL","61762","2621.2"
"2015/01/02 17:00:00","LONGIL","61762","2914.2"
"2015/01/02 18:00:00","LONGIL","61762","2940.1"
"2015/01/02 19:00:00","LONGIL","61762","2877.5"
"2015/01/02 20:00:00","LONGIL","61762","2825.1"
"2015/01/02 21:00:00","LONGIL","61762","2701.1"
"2015/01/02 22:00:00","LONGIL","61762","2523.2"
"2015/01/02 23:00:00","LONGIL","61762","2279.1"
"2015/01/03 00:00:00","LONGIL","61762","2082.3"
"2015/01/03 01:00:00","LONGIL","61762","1954.5"
"2015/01/03 02:00:00","LONGIL","61762","1885.8"
"2015/01/03 03:00:00","LONGIL","61762","1844.8"
"2015/01/03 04:00:00","LONGIL","61762","1845.5"
"2015/01/03 05:00:00","LONGIL","61762","1887.3"
"2015/01/03 06:00:00","LONGIL","61762","1987.5"
"2015/01/03 07:00:00","LONGIL","61762","2073"
"2015/01/03 08:00:00","LONGIL","61762","2186.8"
"2015/01/03 09:00:00","LONGIL","61762","2306.2"
"2015/01/03 10:00:00","LONGIL","61762","2403.3"
"2015/01/03 11:00:00","LONGIL","61762","2462.1"
"2015/01/03 12:00:00","LONGIL","61762","2499.7"
"2015/01/03 13:00:00","LONGIL","61762","2504.6"
"2015/01/03 14:00:00","LONGIL","61762","2531.6"
"2015/01/03 15:00:00","LONGIL","61762","2574.7"
"2015/01/03 16:00:00","LONGIL","61762","2731.1"
"2015/01/03 17:00:00","LONGIL","61762","2888.6"
"2015/01/03 18:00:00","LONGIL","61762","2860.3"
"2015/01/03 19:00:00","LONGIL","61762","2779.7"
"2015/01/03 20:00:00","LONGIL","61762","2680.2"
"2015/01/03 21:00:00","LONGIL","61762","2546.7"
"2015/01/03 22:00:00","LONGIL","61762","2362.1"
"2015/01/03 23:00:00","LONGIL","61762","2152.1"
"2015/01/04 00:00:00","LONGIL","61762","1955.3"
"2015/01/04 01:00:00","LONGIL","61762","1820.8"
"2015/01/04 02:00:00","LONGIL","61762","1735.9"
"2015/01/04 03:00:00","LONGIL","61762","1682.4"
"2015/01/04 04:00:00","LONGIL","61762","1672.4"
"2015/01/04 05:00:00","LONGIL","61762","1688.6"
"2015/01/04 06:00:00","LONGIL","61762","1740.1"
"2015/01/04 07:00:00","LONGIL","61762","1799.7"
"2015/01/04 08:00:00","LONGIL","61762","1907.5"
"2015/01/04 09:00:00","LONGIL","61762","2054.2"
"2015/01/04 10:00:00","LONGIL","61762","2185.3"
"2015/01/04 11:00:00","LONGIL","61762","2273.5"
"2015/01/04 12:00:00","LONGIL","61762","2314.6"
"2015/01/04 13:00:00","LONGIL","61762","2313"
"2015/01/04 14:00:00","LONGIL","61762","2329.8"
"2015/01/04 15:00:00","LONGIL","61762","2348.7"
"2015/01/04 16:00:00","LONGIL","61762","2525"
"2015/01/04 17:00:00","LONGIL","61762","2737"
"2015/01/04 18:00:00","LONGIL","61762","2732.7"
"2015/01/04 19:00:00","LONGIL","61762","2661.4"
"2015/01/04 20:00:00","LONGIL","61762","2554.7"
"2015/01/04 21:00:00","LONGIL","61762","2392.3"
"2015/01/04 22:00:00","LONGIL","61762","2182.7"
"2015/01/04 23:00:00","LONGIL","61762","1970.5"
"2015/01/05 00:00:00","LONGIL","61762","1810.8"
"2015/01/05 01:00:00","LONGIL","61762","1720"
"2015/01/05 02:00:00","LONGIL","61762","1675.7"
"2015/01/05 03:00:00","LONGIL","61762","1665.4"
"2015/01/05 04:00:00","LONGIL","61762","1709.3"
"2015/01/05 05:00:00","LONGIL","61762","1857.2"
"2015/01/05 06:00:00","LONGIL","61762","2143.8"
"2015/01/05 07:00:00","LONGIL","61762","2334.5"
"2015/01/05 08:00:00","LONGIL","61762","2396.7"
"2015/01/05 09:00:00","LONGIL","61762","2431.5"
"2015/01/05 10:00:00","LONGIL","61762","2464.1"
"2015/01/05 11:00:00","LONGIL","61762","2454.1"
"2015/01/05 12:00:00","LONGIL","61762","2460.6"
"2015/01/05 13:00:00","LONGIL","61762","2458.4"
"2015/01/05 14:00:00","LONGIL","61762","2470.5"
"2015/01/05 15:00:00","LONGIL","61762","2530"
"2015/01/05 16:00:00","LONGIL","61762","2746.8"
"2015/01/05 17:00:00","LONGIL","61762","3081.8"
"2015/01/05 18:00:00","LONGIL","61762","3142.9"
"2015/01/05 19:00:00","LONGIL","61762","3093"
"2015/01/05 20:00:00","LONGIL","61762","3003.1"
"2015/01/05 21:00:00","LONGIL","61762","2842.9"
"2015/01/05 22:00:00","LONGIL","61762","2596.1"
"2015/01/05 23:00:00","LONGIL","61762","2345.1"
"2015/01/06 00:00:00","LONGIL","61762","2173.5"
"2015/01/06 01:00:00","LONGIL","61762","2080.4"
"2015/01/06 02:00:00","LONGIL","61762","2034.1"
"2015/01/06 03:00:00","LONGIL","61762","2017.9"
"2015/01/06 04:00:00","LONGIL","61762","2045.2"
"2015/01/06 05:00:00","LONGIL","61762","2174.3"
"2015/01/06 06:00:00","LONGIL","61762","2439.3"
"2015/01/06 07:00:00","LONGIL","61762","2646.1"
"2015/01/06 08:00:00","LONGIL","61762","2706.3"
"2015/01/06 09:00:00","LONGIL","61762","2762.2"
"2015/01/06 10:00:00","LONGIL","61762","2803.6"
"2015/01/06 11:00:00","LONGIL","61762","2802.4"
"2015/01/06 12:00:00","LONGIL","61762","2797.1"
"2015/01/06 13:00:00","LONGIL","61762","2785.5"
"2015/01/06 14:00:00","LONGIL","61762","2792.4"
"2015/01/06 15:00:00","LONGIL","61762","2817.3"
"2015/01/06 16:00:00","LONGIL","61762","2986.8"
"2015/01/06 17:00:00","LONGIL","61762","3237.6"
"2015/01/06 18:00:00","LONGIL","61762","3273.4"
"2015/01/06 19:00:00","LONGIL","61762","3210.2"
"2015/01/06 20:00:00","LONGIL","61762","3104.3"
"2015/01/06 21:00:00","LONGIL","61762","2930.7"
"2015/01/06 22:00:00","LONGIL","61762","2664.4"
"2015/01/06 23:00:00","LONGIL","61762","2403.2"
"2015/01/07 00:00:00","LONGIL","61762","2236.8"
"2015/01/07 01:00:00","LONGIL","61762","2137.7"
"2015/01/07 02:00:00","LONGIL","61762","2081.8"
"2015/01/07 03:00:00","LONGIL","61762","2064.5"
"2015/01/07 04:00:00","LONGIL","61762","2091.8"
"2015/01/07 05:00:00","LONGIL","61762","2215.3"
"2015/01/07 06:00:00","LONGIL","61762","2478.4"
"2015/01/07 07:00:00","LONGIL","61762","2665.8"
"2015/01/07 08:00:00","LONGIL","61762","2745.2"
"2015/01/07 09:00:00","LONGIL","61762","2762.4"
"2015/01/07 10:00:00","LONGIL","61762","2769.3"
"2015/01/07 11:00:00","LONGIL","61762","2775.1"
"2015/01/07 12:00:00","LONGIL","61762","2778.3"
"2015/01/07 13:00:00","LONGIL","61762","2785.7"
"2015/01/07 14:00:00","LONGIL","61762","2796.6"
"2015/01/07 15:00:00","LONGIL","61762","2863.4"
"2015/01/07 16:00:00","LONGIL","61762","3036.8"
"2015/01/07 17:00:00","LONGIL","61762","3337.6"
"2015/01/07 18:00:00","LONGIL","61762","3406.4"
"2015/01/07 19:00:00","LONGIL","61762","3362.9"
"2015/01/07 20:00:00","LONGIL","61762","3290.2"
"2015/01/07 21:00:00","LONGIL","61762","3114.6"
"2015/01/07 22:00:00","LONGIL","61762","2863.2"
"2015/01/07 23:00:00","LONGIL","61762","2617.7"
"2015/01/08 00:00:00","LONGIL","61762","2462.3"
"2015/01/08 01:00:00","LONGIL","61762","2366.1"
"2015/01/08 02:00:00","LONGIL","61762","2310.6"
"2015/01/08 03:00:00","LONGIL","61762","2288.1"
"2015/01/08 04:00:00","LONGIL","61762","2320.7"
"2015/01/08 05:00:00","LONGIL","61762","2453.7"
"2015/01/08 06:00:00","LONGIL","61762","2720.5"
"2015/01/08 07:00:00","LONGIL","61762","2897"
"2015/01/08 08:00:00","LONGIL","61762","2922.3"
"2015/01/08 09:00:00","LONGIL","61762","2927.6"
"2015/01/08 10:00:00","LONGIL","61762","2926.9"
"2015/01/08 11:00:00","LONGIL","61762","2903.5"
"2015/01/08 12:00:00","LONGIL","61762","2853.7"
"2015/01/08 13:00:00","LONGIL","61762","2825.4"
"2015/01/08 14:00:00","LONGIL","61762","2815.5"
"2015/01/08 15:00:00","LONGIL","61762","2856.7"
"2015/01/08 16:00:00","LONGIL","61762","3042.8"
"2015/01/08 17:00:00","LONGIL","61762","3334.7"
"2015/01/08 18:00:00","LONGIL","61762","3373.2"
"2015/01/08 19:00:00","LONGIL","61762","3306.6"
"2015/01/08 20:00:00","LONGIL","61762","3215.2"
"2015/01/08 21:00:00","LONGIL","61762","3044"
"2015/01/08 22:00:00","LONGIL","61762","2778.4"
"2015/01/08 23:00:00","LONGIL","61762","2528.4"
"2015/01/09 00:00:00","LONGIL","61762","2353.5"
"2015/01/09 01:00:00","LONGIL","61762","2250.4"
"2015/01/09 02:00:00","LONGIL","61762","2174.9"
"2015/01/09 03:00:00","LONGIL","61762","2133.8"
"2015/01/09 04:00:00","LONGIL","61762","2151.4"
"2015/01/09 05:00:00","LONGIL","61762","2260.1"
"2015/01/09 06:00:00","LONGIL","61762","2509.7"
