"Eastern Date Hour","Zone Name","Zone PTID","TWI Actual Load"
"2017/01/01 00:00:00","MHK VL","61756","834"
"2017/01/01 01:00:00","MHK VL","61756","791.2"
"2017/01/01 02:00:00","MHK VL","61756","765.3"
"2017/01/01 03:00:00","MHK VL","61756","752.8"
"2017/01/01 04:00:00","MHK VL","61756","746.2"
"2017/01/01 05:00:00","MHK VL","61756","762.3"
"2017/01/01 06:00:00","MHK VL","61756","792.7"
"2017/01/01 07:00:00","MHK VL","61756","825.5"
"2017/01/01 08:00:00","MHK VL","61756","867.7"
"2017/01/01 09:00:00","MHK VL","61756","892.7"
"2017/01/01 10:00:00","MHK VL","61756","926.6"
"2017/01/01 11:00:00","MHK VL","61756","943"
"2017/01/01 12:00:00","MHK VL","61756","931.7"
"2017/01/01 13:00:00","MHK VL","61756","915.3"
"2017/01/01 14:00:00","MHK VL","61756","899.6"
"2017/01/01 15:00:00","MHK VL","61756","897.3"
"2017/01/01 16:00:00","MHK VL","61756","958.2"
"2017/01/01 17:00:00","MHK VL","61756","1036.8"
"2017/01/01 18:00:00","MHK VL","61756","1039.6"
"2017/01/01 19:00:00","MHK VL","61756","1040.1"
"2017/01/01 20:00:00","MHK VL","61756","1035.4"
"2017/01/01 21:00:00","MHK VL","61756","990.4"
"2017/01/01 22:00:00","MHK VL","61756","930.2"
"2017/01/01 23:00:00","MHK VL","61756","880"
"2017/01/02 00:00:00","MHK VL","61756","836.5"
"2017/01/02 01:00:00","MHK VL","61756","800.9"
"2017/01/02 02:00:00","MHK VL","61756","793.4"
"2017/01/02 03:00:00","MHK VL","61756","785.5"
"2017/01/02 04:00:00","MHK VL","61756","799.2"
"2017/01/02 05:00:00","MHK VL","61756","838.4"
"2017/01/02 06:00:00","MHK VL","61756","890.9"
"2017/01/02 07:00:00","MHK VL","61756","956"
"2017/01/02 08:00:00","MHK VL","61756","1002.9"
"2017/01/02 09:00:00","MHK VL","61756","1036.2"
"2017/01/02 10:00:00","MHK VL","61756","1049.8"
"2017/01/02 11:00:00","MHK VL","61756","1052.9"
"2017/01/02 12:00:00","MHK VL","61756","1036.3"
"2017/01/02 13:00:00","MHK VL","61756","1019.4"
"2017/01/02 14:00:00","MHK VL","61756","1020"
"2017/01/02 15:00:00","MHK VL","61756","1027.5"
"2017/01/02 16:00:00","MHK VL","61756","1070.6"
"2017/01/02 17:00:00","MHK VL","61756","1128.2"
"2017/01/02 18:00:00","MHK VL","61756","1130.8"
"2017/01/02 19:00:00","MHK VL","61756","1111.5"
"2017/01/02 20:00:00","MHK VL","61756","1061.2"
"2017/01/02 21:00:00","MHK VL","61756","996.9"
"2017/01/02 22:00:00","MHK VL","61756","918"
"2017/01/02 23:00:00","MHK VL","61756","836.3"
"2017/01/03 00:00:00","MHK VL","61756","776.9"
"2017/01/03 01:00:00","MHK VL","61756","748.9"
"2017/01/03 02:00:00","MHK VL","61756","739.9"
"2017/01/03 03:00:00","MHK VL","61756","746.7"
"2017/01/03 04:00:00","MHK VL","61756","770.8"
"2017/01/03 05:00:00","MHK VL","61756","846.8"
"2017/01/03 06:00:00","MHK VL","61756","971.9"
"2017/01/03 07:00:00","MHK VL","61756","1036.7"
"2017/01/03 08:00:00","MHK VL","61756","1036.8"
"2017/01/03 09:00:00","MHK VL","61756","1038.2"
"2017/01/03 10:00:00","MHK VL","61756","1052.6"
"2017/01/03 11:00:00","MHK VL","61756","1064.9"
"2017/01/03 12:00:00","MHK VL","61756","1056.9"
"2017/01/03 13:00:00","MHK VL","61756","1048.2"
"2017/01/03 14:00:00","MHK VL","61756","1055.7"
"2017/01/03 15:00:00","MHK VL","61756","1069.9"
"2017/01/03 16:00:00","MHK VL","61756","1115.3"
"2017/01/03 17:00:00","MHK VL","61756","1152.9"
"2017/01/03 18:00:00","MHK VL","61756","1145.6"
"2017/01/03 19:00:00","MHK VL","61756","1125.9"
"2017/01/03 20:00:00","MHK VL","61756","1080.1"
"2017/01/03 21:00:00","MHK VL","61756","1015.2"
"2017/01/03 22:00:00","MHK VL","61756","928.8"
"2017/01/03 23:00:00","MHK VL","61756","852.4"
"2017/01/04 00:00:00","MHK VL","61756","803.9"
"2017/01/04 01:00:00","MHK VL","61756","758.7"
"2017/01/04 02:00:00","MHK VL","61756","741.7"
"2017/01/04 03:00:00","MHK VL","61756","736.7"
"2017/01/04 04:00:00","MHK VL","61756","755.6"
"2017/01/04 05:00:00","MHK VL","61756","815.2"
"2017/01/04 06:00:00","MHK VL","61756","954.6"
"2017/01/04 07:00:00","MHK VL","61756","1024.7"
"2017/01/04 08:00:00","MHK VL","61756","1032.7"
"2017/01/04 09:00:00","MHK VL","61756","1041.9"
"2017/01/04 10:00:00","MHK VL","61756","1051.3"
"2017/01/04 11:00:00","MHK VL","61756","1055.8"
"2017/01/04 12:00:00","MHK VL","61756","1043.4"
"2017/01/04 13:00:00","MHK VL","61756","1031.7"
"2017/01/04 14:00:00","MHK VL","61756","1026.4"
"2017/01/04 15:00:00","MHK VL","61756","1057.3"
"2017/01/04 16:00:00","MHK VL","61756","1117.1"
"2017/01/04 17:00:00","MHK VL","61756","1208.6"
"2017/01/04 18:00:00","MHK VL","61756","1214"
"2017/01/04 19:00:00","MHK VL","61756","1195.7"
"2017/01/04 20:00:00","MHK VL","61756","1178.7"
"2017/01/04 21:00:00","MHK VL","61756","1111.1"
"2017/01/04 22:00:00","MHK VL","61756","1019.2"
"2017/01/04 23:00:00","MHK VL","61756","958.7"
"2017/01/05 00:00:00","MHK VL","61756","918.1"
"2017/01/05 01:00:00","MHK VL","61756","890.7"
"2017/01/05 02:00:00","MHK VL","61756","886.4"
"2017/01/05 03:00:00","MHK VL","61756","894.7"
"2017/01/05 04:00:00","MHK VL","61756","902.9"
"2017/01/05 05:00:00","MHK VL","61756","979.4"
"2017/01/05 06:00:00","MHK VL","61756","1093.4"
"2017/01/05 07:00:00","MHK VL","61756","1174.9"
"2017/01/05 08:00:00","MHK VL","61756","1171"
"2017/01/05 09:00:00","MHK VL","61756","1177.1"
"2017/01/05 10:00:00","MHK VL","61756","1191.4"
"2017/01/05 11:00:00","MHK VL","61756","1197.9"
"2017/01/05 12:00:00","MHK VL","61756","1179.2"
"2017/01/05 13:00:00","MHK VL","61756","1168"
"2017/01/05 14:00:00","MHK VL","61756","1163"
"2017/01/05 15:00:00","MHK VL","61756","1167.7"
"2017/01/05 16:00:00","MHK VL","61756","1197.3"
"2017/01/05 17:00:00","MHK VL","61756","1258.1"
"2017/01/05 18:00:00","MHK VL","61756","1258.8"
"2017/01/05 19:00:00","MHK VL","61756","1236"
"2017/01/05 20:00:00","MHK VL","61756","1189.2"
"2017/01/05 21:00:00","MHK VL","61756","1124"
"2017/01/05 22:00:00","MHK VL","61756","1032.3"
"2017/01/05 23:00:00","MHK VL","61756","960.5"
"2017/01/06 00:00:00","MHK VL","61756","921.7"
"2017/01/06 01:00:00","MHK VL","61756","901.1"
"2017/01/06 02:00:00","MHK VL","61756","897.6"
"2017/01/06 03:00:00","MHK VL","61756","893.1"
"2017/01/06 04:00:00","MHK VL","61756","916.2"
"2017/01/06 05:00:00","MHK VL","61756","982.3"
"2017/01/06 06:00:00","MHK VL","61756","1099.3"
"2017/01/06 07:00:00","MHK VL","61756","1179.7"
"2017/01/06 08:00:00","MHK VL","61756","1189"
"2017/01/06 09:00:00","MHK VL","61756","1178.7"
"2017/01/06 10:00:00","MHK VL","61756","1184.8"
"2017/01/06 11:00:00","MHK VL","61756","1167.9"
"2017/01/06 12:00:00","MHK VL","61756","1170.2"
"2017/01/06 13:00:00","MHK VL","61756","1150.7"
"2017/01/06 14:00:00","MHK VL","61756","1148.1"
"2017/01/06 15:00:00","MHK VL","61756","1126.9"
"2017/01/06 16:00:00","MHK VL","61756","1153.4"
"2017/01/06 17:00:00","MHK VL","61756","1198.5"
"2017/01/06 18:00:00","MHK VL","61756","1203.2"
"2017/01/06 19:00:00","MHK VL","61756","1229.5"
"2017/01/06 20:00:00","MHK VL","61756","1208.1"
"2017/01/06 21:00:00","MHK VL","61756","1168.6"
"2017/01/06 22:00:00","MHK VL","61756","1087.4"
"2017/01/06 23:00:00","MHK VL","61756","1020.8"
"2017/01/07 00:00:00","MHK VL","61756","981.6"
"2017/01/07 01:00:00","MHK VL","61756","943.2"
"2017/01/07 02:00:00","MHK VL","61756","926"
"2017/01/07 03:00:00","MHK VL","61756","924.8"
"2017/01/07 04:00:00","MHK VL","61756","929.2"
"2017/01/07 05:00:00","MHK VL","61756","955"
