"Eastern Date Hour","Zone Name","Zone PTID","TWI Actual Load"
"2017/01/01 00:00:00","WEST","61752","1605.2"
"2017/01/01 01:00:00","WEST","61752","1538.5"
"2017/01/01 02:00:00","WEST","61752","1499"
"2017/01/01 03:00:00","WEST","61752","1469.8"
"2017/01/01 04:00:00","WEST","61752","1456.5"
"2017/01/01 05:00:00","WEST","61752","1476"
"2017/01/01 06:00:00","WEST","61752","1517.6"
"2017/01/01 07:00:00","WEST","61752","1552"
"2017/01/01 08:00:00","WEST","61752","1568.9"
"2017/01/01 09:00:00","WEST","61752","1596.6"
"2017/01/01 10:00:00","WEST","61752","1628.2"
"2017/01/01 11:00:00","WEST","61752","1656.8"
"2017/01/01 12:00:00","WEST","61752","1659.5"
"2017/01/01 13:00:00","WEST","61752","1657.5"
"2017/01/01 14:00:00","WEST","61752","1647.6"
"2017/01/01 15:00:00","WEST","61752","1657.2"
"2017/01/01 16:00:00","WEST","61752","1716.9"
"2017/01/01 17:00:00","WEST","61752","1862.2"
"2017/01/01 18:00:00","WEST","61752","1888.2"
"2017/01/01 19:00:00","WEST","61752","1873.6"
"2017/01/01 20:00:00","WEST","61752","1855.7"
"2017/01/01 21:00:00","WEST","61752","1808.3"
"2017/01/01 22:00:00","WEST","61752","1735.2"
"2017/01/01 23:00:00","WEST","61752","1661.6"
"2017/01/02 00:00:00","WEST","61752","1583.1"
"2017/01/02 01:00:00","WEST","61752","1544.2"
"2017/01/02 02:00:00","WEST","61752","1520.4"
"2017/01/02 03:00:00","WEST","61752","1514.3"
"2017/01/02 04:00:00","WEST","61752","1525.2"
"2017/01/02 05:00:00","WEST","61752","1566.1"
"2017/01/02 06:00:00","WEST","61752","1635.2"
"2017/01/02 07:00:00","WEST","61752","1698.4"
"2017/01/02 08:00:00","WEST","61752","1746.7"
"2017/01/02 09:00:00","WEST","61752","1792.5"
"2017/01/02 10:00:00","WEST","61752","1824.8"
"2017/01/02 11:00:00","WEST","61752","1837.9"
"2017/01/02 12:00:00","WEST","61752","1833.5"
"2017/01/02 13:00:00","WEST","61752","1813.6"
"2017/01/02 14:00:00","WEST","61752","1813.1"
"2017/01/02 15:00:00","WEST","61752","1820"
"2017/01/02 16:00:00","WEST","61752","1868.3"
"2017/01/02 17:00:00","WEST","61752","1967.1"
"2017/01/02 18:00:00","WEST","61752","1970.1"
"2017/01/02 19:00:00","WEST","61752","1948.8"
"2017/01/02 20:00:00","WEST","61752","1907.8"
"2017/01/02 21:00:00","WEST","61752","1835.1"
"2017/01/02 22:00:00","WEST","61752","1735.6"
"2017/01/02 23:00:00","WEST","61752","1611.4"
"2017/01/03 00:00:00","WEST","61752","1523.2"
"2017/01/03 01:00:00","WEST","61752","1489.7"
"2017/01/03 02:00:00","WEST","61752","1474.6"
"2017/01/03 03:00:00","WEST","61752","1465.3"
