"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","AA1","AA2","AA3","AT1","AT2","AT3","AT4","AT5","AU1","AU2","AU3","AW1","AW2","AW3","AW4","AX1","AX2","AX3","GA1","GA2","GA3","GD1","GD2","GD3","GE1","GF1","KA1","KA2","MA1","MD1","MG1","MV1","MW1","OC1","OD1","OE1","OE2","OE3","REM","EQD"
"72514554746","2019-01-01T00:56:00","7","41.70139","-74.795","427.6","MONTICELLO SULLIVAN, NY US","FM-15","KMSV ","V020","110,5,N,0041,5","00122,5,M,N","014484,5,N,5","+0017,5","+0011,5","10173,5","01,0025,9,5",,,,,,,,"2,0,09,0,0,1,5",,,"40,1","41,5",,,,,,"08,5,+00122,5,99,9",,,"4,99,1,+00122,5,1",,,"9,MSL   ,+99999,+99999","99,99,9,99,9,99,9,00122,1,99,9,99,9",,,"10156,5,09651,5",,,,,,,,,,"MET12012/31/18 19:56:01 METAR KMSV 010056Z 11008KT 9SM UP OVC004 02/01 A2999 RMK AO2 CIG 003V008 SLP173 P0010 T00170011 FZRANO",
"72514554746","2019-01-01T01:44:00","7","41.70139","-74.795","427.6","MONTICELLO SULLIVAN, NY US","FM-15","KMSV ","V020","110,5,N,0041,5","00122,5,M,N","004023,5,N,5","+0020,5","+0010,5","99999,9","01,0043,9,5",,,,,,,,"1,0,03,0,0,1,5","0,0,00,1,0,1,5",,"10,5","71,5",,,,,,"08,5,+00122,5,99,9",,,"4,99,1,+00122,5,1",,,"9,MSL   ,+99999,+99999","99,99,9,99,9,99,9,00122,1,99,9,99,9",,,"10139,5,09635,5",,,,"71,5",,,,,,"MET13512/31/18 20:44:01 METAR KMSV 010144Z 11008KT 2 1/2SM -SN BR OVC004 02/01 A2994 RMK AO2 UPE38SNB18E31B38 CIG 002V007 PRESFR P0014 FZRANO",
"72514554746","2019-01-01T01:51:00","7","41.70139","-74.795","427.6","MONTICELLO SULLIVAN, NY US","FM-15","KMSV ","V020","100,5,N,0031,5","00122,5,M,N","008047,5,N,5","+0020,5","+0010,5","99999,9","01,0043,9,5",,,,,,,,"1,0,03,0,0,1,5","0,0,00,1,0,1,5",,"10,5","71,5",,,,,,"08,5,+00122,5,99,9",,,"4,99,1,+00122,5,1",,,"9,MSL   ,+99999,+99999","99,99,9,99,9,99,9,00122,1,99,9,99,9",,,"10142,5,09638,5",,,,"71,5",,,,,,"MET12412/31/18 20:51:01 METAR KMSV 010151Z 10006KT 5SM -SN BR OVC004 02/01 A2995 RMK AO2 UPE38SNB18E31B38 CIG 002V007 P0015 FZRANO",
"72514554746","2019-01-01T01:56:00","7","41.70139","-74.795","427.6","MONTICELLO SULLIVAN, NY US","FM-15","KMSV ","V020","080,5,N,0026,5","00122,5,M,N","006437,5,N,5","+0017,5","+0011,5","10159,5","01,0043,9,5",,,,,,,,"2,0,09,0,0,1,5","0,0,00,1,0,1,5",,"10,5","40,1","41,5",,,,,"08,5,+00122,5,99,9",,,"4,99,1,+00122,5,1",,,"9,MSL   ,+99999,+99999","99,99,9,99,9,99,9,00122,1,99,9,99,9",,,"10142,5,09638,5",,,,,,,,,,"MET13812/31/18 20:56:01 METAR KMSV 010156Z 08005KT 4SM UP BR OVC004 02/01 A2995 RMK AO2 SNB18E31B38E53 CIG 002V008 SLP159 P0016 T00170011 FZRANO",
"72514554746","2019-01-01T02:06:00","7","41.70139","-74.795","427.6","MONTICELLO SULLIVAN, NY US","FM-15","KMSV ","V020","100,5,N,0036,5","00122,5,M,N","002816,5,N,5","+0020,5","+0020,5","99999,9","01,0043,9,5",,,,,,,,"1,0,03,0,0,1,5","0,0,00,1,0,1,5",,"10,5","71,5",,,,,,"08,5,+00122,5,99,9",,,"4,99,1,+00122,5,1",,,"9,MSL   ,+99999,+99999","99,99,9,99,9,99,9,00122,1,99,9,99,9",,,"10135,5,09631,5",,,,"71,5",,,,,,"MET12212/31/18 21:06:01 METAR KMSV 010206Z 10007KT 1 3/4SM -SN BR OVC004 02/02 A2993 RMK AO2 UPE01SNB01 CIG 002V008 P0006 FZRANO",
"72514554746","2019-01-01T02:15:00","7","41.70139","-74.795","427.6","MONTICELLO SULLIVAN, NY US","FM-15","KMSV ","V020","110,5,N,0041,5","00122,5,M,N","003219,5,N,5","+0020,5","+0020,5","99999,9","01,0043,9,5",,,,,,,,"1,0,03,0,0,1,5","0,0,00,1,0,1,5",,"10,5","71,5",,,,,,"08,5,+00122,5,99,9",,,"4,99,1,+00122,5,1",,,"9,MSL   ,+99999,+99999","99,99,9,99,9,99,9,00122,1,99,9,99,9",,,"10132,5,09628,5",,,,"71,5",,,,,,"MET11812/31/18 21:15:01 METAR KMSV 010215Z 11008KT 2SM -SN BR OVC004 02/02 A2992 RMK AO2 UPE01SNB01 CIG 002V008 P0009 FZRANO",
"72514554746","2019-01-01T02:31:00","7","41.70139","-74.795","427.6","MONTICELLO SULLIVAN, NY US","FM-15","KMSV ","V020","100,5,N,0031,5","00122,5,M,N","004828,5,N,5","+0020,5","+0020,5","99999,9","01,0046,9,5",,,,,,,,"2,0,09,0,0,1,5","0,0,00,1,0,1,5",,"10,5","40,1","41,5",,,,,"08,5,+00122,5,99,9",,,"4,99,1,+00122,5,1",,,"9,MSL   ,+99999,+99999","99,99,9,99,9,99,9,00122,1,99,9,99,9",,,"10132,5,09628,5",,,,,,,,,,"MET12312/31/18 21:31:01 METAR KMSV 010231Z 10006KT 3SM UP BR OVC004 02/02 A2992 RMK AO2 UPE01B29SNB01E29 CIG 002V006 P0013 FZRANO",
"72514554746","2019-01-01T02:56:00","7","41.70139","-74.795","427.6","MONTICELLO SULLIVAN, NY US","FM-15","KMSV ","V020","100,5,N,0036,5","00122,5,M,N","006437,5,N,5","+0017,5","+0017,5","10136,5","01,0046,9,5","03,0114,9,1",,,,,,,"2,0,09,0,0,1,5","0,0,00,1,0,1,5",,"10,5","40,1","41,5",,,,,"08,5,+00122,5,99,9",,,"4,99,1,+00122,5,9",,,"9,MSL   ,+99999,+99999","99,99,9,99,9,99,9,00122,1,99,9,99,9",,,"10122,5,09618,5","8,9,033,9,+999,9",,,,,,,,,"MET14012/31/18 21:56:01 METAR KMSV 010256Z 10007KT 4SM UP BR OVC004 02/02 A2989 RMK AO2 UPE01B29SNB01E29 SLP136 P0019 60045 T00170017 58033 FZRANO","Q01  01148PRCP03"
"72514554746","2019-01-01T03:10:00","7","41.70139","-74.795","427.6","MONTICELLO SULLIVAN, NY US","FM-15","KMSV ","V020","090,5,N,0026,5","00122,5,M,N","003219,5,N,5","+0020,5","+0020,5","99999,9","01,0046,9,5",,,,,,,,"1,0,03,0,0,1,5","0,0,00,1,0,1,5",,"10,5","71,5",,,,,,"08,5,+00122,5,99,9",,,"4,99,1,+00122,5,9",,,"9,MSL   ,+99999,+99999","99,99,9,99,9,99,9,00122,1,99,9,99,9",,,"10122,5,09618,5",,,,"71,5",,,,,,"MET11012/31/18 22:10:01 METAR KMSV 010310Z 09005KT 2SM -SN BR OVC004 02/02 A2989 RMK AO2 UPE0259SNB0259 P0006 FZRANO",
"72514554746","2019-01-01T03:26:00","4","41.70139","-74.795","427.6","MONTICELLO SULLIVAN, NY US","FM-16","99999","V020","090,1,N,0026,1","00061,1,9,N","004828,1,9,9","+0020,1","+0010,1","99999,9","01,0022,3,1",,,,,,,,,,,"10,1","40,1",,,,,,,,,"4,99,1,+00122,1,1",,,"9,MSL   ,+99999,+99999","99,99,9,99,9,99,9,00122,1,99,9,99,9",,,"10115,1,99999,9",,,,,,,,,,"MET115SPECI KMSV 010326Z AUTO 09005KT 3SM UP BR OVC004 02/01 A2987 RMK AO2 UPE0259B21SNB0259E21 CIG 002V006 P0009 FZRANO=",
