"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","AT1","AT2","AT3","AT4","AT5","AU1","AU2","AU3","AW1","AW2","AW3","AW4","ED1","GA1","GA2","GA3","GD1","GD2","GD3","GE1","GF1","MA1","MV1","MW1","MW2","MW3","OC1","REM","EQD"
"72503814714","2015-01-01T00:45:00","4","41.5","-74.1","177.1","STEWART FIELD, NY US","FM-15","99999","V020","999,9,C,0000,1","22000,5,9,N","016093,1,9,9","-0060,1","-0120,1","99999,9",,,,,,,,,,,,,,,,,"2,99,1,+01829,1,9",,,"9,AGL   ,+99999,+99999","04,99,5,99,9,99,9,01829,1,99,9,99,9","10223,1,99999,9",,,,,,"MET053METAR KSWF 010045Z 00000KT 10SM SCT060 M06/M12 A3019=","D01      0ADE726"
"72503814714","2015-01-01T01:45:00","4","41.5","-74.1","177.1","STEWART FIELD, NY US","FM-15","99999","V020","999,9,C,0000,1","22000,5,9,N","016093,1,9,9","-0070,1","-0120,1","99999,9",,,,,,,,,,,,,,,,,"1,99,1,+01829,1,9",,,"9,AGL   ,+99999,+99999","02,99,5,99,9,99,9,01829,1,99,9,99,9","10220,1,99999,9",,,,,,"MET053METAR KSWF 010145Z 00000KT 10SM FEW060 M07/M12 A3018=","D01      0ADE726"
"72503814714","2015-01-01T02:45:00","4","41.5","-74.1","177.1","STEWART FIELD, NY US","FM-15","99999","V020","999,9,C,0000,1","22000,5,9,N","016093,1,9,9","-0060,1","-0110,1","99999,9",,,,,,,,,,,,,,,,,"1,99,1,+01829,1,9",,,"9,AGL   ,+99999,+99999","02,99,5,99,9,99,9,01829,1,99,9,99,9","10213,1,99999,9",,,,,,"MET053METAR KSWF 010245Z 00000KT 10SM FEW060 M06/M11 A3016=","D01      0ADE726"
"72503814714","2015-01-01T03:45:00","4","41.5","-74.1","177.1","STEWART FIELD, NY US","FM-15","99999","V020","240,1,N,0026,1","22000,5,9,N","016093,1,9,9","-0070,1","-0120,1","99999,9",,,,,,,,,,,,,,,,,"1,99,1,+01829,1,9",,,"9,AGL   ,+99999,+99999","02,99,5,99,9,99,9,01829,1,99,9,99,9","10210,1,99999,9",,,,,,"MET053METAR KSWF 010345Z 24005KT 10SM FEW060 M07/M12 A3015=","D01      0ADE726"
"72503814714","2015-01-01T04:45:00","7","41.5","-74.1","177.1","STEWART FIELD, NY US","FM-15","KSWF ","V020","250,5,N,0026,5","22000,7,9,N","016093,5,N,5","-0070,C","-0120,C","99999,9",,,,,,,,,,,,,,"00,7,+99999,9,99,9",,,"0,99,1,+99999,9,9",,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10203,5,10023,5",,,,,,"MET07112/31/14 23:45:02 METAR KSWF 010445Z 25005KT 10SM SKC M07/M12 A3013 RMK","R01   SKC7SKY009R02   M077TMP046R03   M127DPT046R04   SKC7GAS009"
"72503814714","2015-01-01T05:45:00","7","41.5","-74.1","177.1","STEWART FIELD, NY US","FM-15","KSWF ","V020","240,5,N,0041,5","22000,7,9,N","016093,5,N,5","-0070,C","-0120,C","99999,9",,,,,,,,,,,,,,"00,7,+99999,9,99,9",,,"0,99,1,+99999,9,9",,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10193,5,10013,5",,,,,,"MET07101/01/15 00:45:02 METAR KSWF 010545Z 24008KT 10SM SKC M07/M12 A3010 RMK","R01   SKC7SKY009R02   M077TMP046R03   M127DPT046R04   SKC7GAS009"
"72503814714","2015-01-01T06:45:00","7","41.5","-74.1","177.1","STEWART FIELD, NY US","FM-15","KSWF ","V020","260,5,N,0051,5","22000,5,9,N","016093,5,N,5","-0060,C","-0130,C","99999,9",,,,,,,,,,,,,,"04,5,+03048,5,99,9",,,"2,99,1,+03048,5,9",,,"9,AGL   ,+99999,+99999","04,99,5,99,9,99,9,03048,1,99,9,99,9","10190,5,10010,5",,,,,,"MET07401/01/15 01:45:02 METAR KSWF 010645Z 26010KT 10SM SCT100 M06/M13 A3009 RMK","R01   M067TMP046R02   M137DPT046D01      0ADE726"
"72503814714","2015-01-01T07:45:00","7","41.5","-74.1","177.1","STEWART FIELD, NY US","FM-15","KSWF ","V020","260,5,N,0051,5","22000,7,9,N","016093,5,N,5","-0060,C","-0130,C","99999,9",,,,,,,,,,,,,,"00,7,+99999,9,99,9",,,"0,99,1,+99999,9,9",,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10190,5,10010,5",,,,,,"MET07101/01/15 02:45:02 METAR KSWF 010745Z 26010KT 10SM SKC M06/M13 A3009 RMK","R01   SKC7SKY009R02   M067TMP046R03   M137DPT046R04   SKC7GAS009"
"72503814714","2015-01-01T08:45:00","7","41.5","-74.1","177.1","STEWART FIELD, NY US","FM-15","KSWF ","V020","250,5,N,0072,5","22000,7,9,N","016093,5,N,5","-0060,C","-0140,C","99999,9",,,,,,,,,,,,,,"00,7,+99999,9,99,9",,,"0,99,1,+99999,9,9",,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10186,5,10006,5",,,,,,"MET07101/01/15 03:45:02 METAR KSWF 010845Z 25014KT 10SM SKC M6 /M14 A3008 RMK","R01   SKC7SKY009R02    M67TMP046R03   M147DPT046R04   SKC7GAS009"
"72503814714","2015-01-01T09:45:00","7","41.5","-74.1","177.1","STEWART FIELD, NY US","FM-15","KSWF ","V020","250,5,N,0026,5","22000,7,9,N","016093,5,N,5","-0060,C","-0140,C","99999,9",,,,,,,,,,,,,,"00,7,+99999,9,99,9",,,"0,99,1,+99999,9,9",,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10186,5,10006,5",,,,,,"MET07101/01/15 04:45:02 METAR KSWF 010945Z 25005KT 10SM SKC M06/M14 A3008 RMK","R01   SKC7SKY009R02   M067TMP046R03   M147DPT046R04   SKC7GAS009"
"72503814714","2015-01-01T10:45:00","7","41.5","-74.1","177.1","STEWART FIELD, NY US","FM-15","KSWF ","V020","290,5,N,0062,5","22000,7,9,N","016093,5,N,5","-0060,C","-0140,C","99999,9",,,,,,,,,,,,,,"00,7,+99999,9,99,9",,,"0,99,1,+99999,9,9",,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10186,5,10006,5",,,,,,"MET07101/01/15 05:45:02 METAR KSWF 011045Z 29012KT 10SM SKC M06/M14 A3008 RMK","R01   SKC7SKY009R02   M067TMP046R03   M147DPT046R04   SKC7GAS009"
"72503814714","2015-01-01T11:45:00","7","41.5","-74.1","177.1","STEWART FIELD, NY US","FM-15","KSWF ","V020","270,5,N,0062,5","22000,7,9,N","016093,5,N,5","-0060,C","-0140,C","99999,9",,,,,,,,,,,,,,"00,7,+99999,9,99,9",,,"0,99,1,+99999,9,9",,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10186,5,10006,5",,,,,,"MET07101/01/15 06:45:02 METAR KSWF 011145Z 27012KT 10SM SKC M06/M14 A3008 RMK","R01   SKC7SKY009R02   M067TMP046R03   M147DPT046R04   SKC7GAS009"
"72503814714","2015-01-01T12:55:00","7","41.5","-74.1","177.1","STEWART FIELD, NY US","FM-15","KSWF ","V020","240,5,N,0031,5","22000,7,9,N","032187,5,N,5","-0060,C","-0140,C","99999,9",,,,,,,,,,,,,,"00,7,+99999,9,99,9",,,"0,99,1,+99999,9,9",,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10193,5,10013,5",,,,,,"MET07101/01/15 07:55:02 METAR KSWF 011255Z 24006KT 20SM SKC M06/M14 A3010 RMK","R01   SKC7SKY009R02   M067TMP046R03   M147DPT046R04   SKC7GAS009"
"72503814714","2015-01-01T13:45:00","7","41.5","-74.1","177.1","STEWART FIELD, NY US","FM-15","KSWF ","V020","250,5,N,0062,5","22000,7,9,N","032187,5,N,5","-0050,C","-0130,C","99999,9",,,,,,,,,,,,,,"00,7,+99999,9,99,9",,,"0,99,1,+99999,9,9",,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10196,5,10016,5",,,,,,"MET07101/01/15 08:45:02 METAR KSWF 011345Z 25012KT 20SM SKC M05/M13 A3011 RMK","R01   SKC7SKY009R02   M057TMP046R03   M137DPT046R04   SKC7GAS009"
"72503814714","2015-01-01T14:45:00","7","41.5","-74.1","177.1","STEWART FIELD, NY US","FM-15","KSWF ","V020","250,5,N,0062,5","22000,7,9,N","032187,5,N,5","-0040,C","-0130,C","99999,9",,,,,,,,,,,,,,"00,7,+99999,9,99,9",,,"0,99,1,+99999,9,9",,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10196,5,10016,5",,,,,"0113,5","MET07401/01/15 09:45:02 METAR KSWF 011445Z 25012G22KT 20SM SKC M04/M13 A3011 RMK","R01   SKC7SKY009R02   M047TMP046R03   M137DPT046R04   SKC7GAS009"
"72503814714","2015-01-01T15:45:00","7","41.5","-74.1","177.1","STEWART FIELD, NY US","FM-15","KSWF ","V020","250,5,N,0062,5","22000,7,9,N","032187,5,N,5","-0030,C","-0120,C","99999,9",,,,,,,,,,,,,,"00,7,+99999,9,99,9",,,"0,99,1,+99999,9,9",,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10190,5,10010,5",,,,,"0113,5","MET07401/01/15 10:45:02 METAR KSWF 011545Z 25012G22KT 20SM SKC M03/M12 A3009 RMK","R01   SKC7SKY009R02   M037TMP046R03   M127DPT046R04   SKC7GAS009"
"72503814714","2015-01-01T16:45:00","7","41.5","-74.1","177.1","STEWART FIELD, NY US","FM-15","KSWF ","V020","250,5,N,0062,5","22000,7,9,N","032187,5,N,5","-0010,C","-0120,C","99999,9",,,,,,,,,,,,,,"00,7,+99999,9,99,9",,,"0,99,1,+99999,9,9",,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10176,5,09996,5",,,,,"0113,5","MET07401/01/15 11:45:02 METAR KSWF 011645Z 25012G22KT 20SM SKC M01/M12 A3005 RMK","R01   SKC7SKY009R02   M017TMP046R03   M127DPT046R04   SKC7GAS009"
"72503814714","2015-01-01T17:45:00","7","41.5","-74.1","177.1","STEWART FIELD, NY US","FM-15","KSWF ","V020","250,5,N,0062,5","22000,7,9,N","032187,5,N,5","-0010,C","-0120,C","99999,9",,,,,,,,,,,,,,"00,7,+99999,9,99,9",,,"0,99,1,+99999,9,9",,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10159,5,09980,5",,,,,"0113,5","MET07401/01/15 12:45:02 METAR KSWF 011745Z 25012G22KT 20SM SKC M01/M12 A3000 RMK","R01   SKC7SKY009R02   M017TMP046R03   M127DPT046R04   SKC7GAS009"
"72503814714","2015-01-01T18:45:00","7","41.5","-74.1","177.1","STEWART FIELD, NY US","FM-15","KSWF ","V020","250,5,N,0062,5","22000,7,9,N","032187,5,N,5","+0000,C","-0130,C","99999,9",,,,,,,,,,,,,,"00,7,+99999,9,99,9",,,"0,99,1,+99999,9,9",,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10146,5,09966,5",,,,,"0103,5","MET07301/01/15 13:45:02 METAR KSWF 011845Z 25012G20KT 20SM SKC 00/M13 A2996 RMK","R01   SKC7SKY009R02    007TMP046R03   M137DPT046R04   SKC7GAS009"
"72503814714","2015-01-01T19:45:00","7","41.5","-74.1","177.1","STEWART FIELD, NY US","FM-15","KSWF ","V020","250,5,N,0051,5","22000,7,9,N","032187,5,N,5","+0010,C","-0130,C","99999,9",,,,,,,,,,,,,,"00,7,+99999,9,99,9",,,"0,99,1,+99999,9,9",,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10139,5,09960,5",,,,,"0103,5","MET07301/01/15 14:45:02 METAR KSWF 011945Z 25010G20KT 20SM SKC 01/M13 A2994 RMK","R01   SKC7SKY009R02    017TMP046R03   M137DPT046R04   SKC7GAS009"
"72503814714","2015-01-01T20:45:00","7","41.5","-74.1","177.1","STEWART FIELD, NY US","FM-15","KSWF ","V020","250,5,N,0051,5","22000,7,9,N","032187,5,N,5","+0010,C","-0120,C","99999,9",,,,,,,,,,,,,,"00,7,+99999,9,99,9",,,"0,99,1,+99999,9,9",,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10139,5,09960,5",,,,,"0103,5","MET07301/01/15 15:45:02 METAR KSWF 012045Z 25010G20KT 20SM SKC 01/M12 A2994 RMK","R01   SKC7SKY009R02    017TMP046R03   M127DPT046R04   SKC7GAS009"
"72503814714","2015-01-01T21:45:00","7","41.5","-74.1","177.1","STEWART FIELD, NY US","FM-15","KSWF ","V020","250,5,N,0051,5","22000,7,9,N","032187,5,N,5","+0010,C","-0120,C","99999,9",,,,,,,,,,,,,,"00,7,+99999,9,99,9",,,"0,99,1,+99999,9,9",,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10135,5,09956,5",,,,,"0103,5","MET07301/01/15 16:45:02 METAR KSWF 012145Z 25010G20KT 20SM SKC 01/M12 A2993 RMK","R01   SKC7SKY009R02    017TMP046R03   M127DPT046R04   SKC7GAS009"
"72503814714","2015-01-01T22:45:00","7","41.5","-74.1","177.1","STEWART FIELD, NY US","FM-15","KSWF ","V020","230,5,N,0031,5","22000,7,9,N","016093,5,N,5","+0000,C","-0090,C","99999,9",,,,,,,,,,,,,,"00,7,+99999,9,99,9",,,"0,99,1,+99999,9,9",,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10135,5,09956,5",,,,,,"MET07001/01/15 17:45:02 METAR KSWF 012245Z 23006KT 10SM SKC 00/M09 A2993 RMK","R01   SKC7SKY009R02    007TMP046R03   M097DPT046R04   SKC7GAS009"
"72503814714","2015-01-01T23:45:00","7","41.5","-74.1","177.1","STEWART FIELD, NY US","FM-15","KSWF ","V020","240,5,N,0031,5","22000,7,9,N","016093,5,N,5","+0000,C","-0090,C","99999,9",,,,,,,,,,,,,,"00,7,+99999,9,99,9",,,"0,99,1,+99999,9,9",,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10132,5,09953,5",,,,,,"MET07001/01/15 18:45:02 METAR KSWF 012345Z 24006KT 10SM SKC 00/M09 A2992 RMK","R01   SKC7SKY009R02    007TMP046R03   M097DPT046R04   SKC7GAS009"
"72503814714","2015-01-02T00:45:00","7","41.5","-74.1","177.1","STEWART FIELD, NY US","FM-15","KSWF ","V020","240,5,N,0051,5","22000,7,9,N","016093,5,N,5","+0010,C","-0090,C","99999,9",,,,,,,,,,,,,,"00,7,+99999,9,99,9",,,"0,99,1,+99999,9,9",,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10132,5,09953,5",,,,,,"MET07001/01/15 19:45:01 METAR KSWF 020045Z 24010KT 10SM SKC 01/M09 A2992 RMK","R01   SKC7SKY009R02    017TMP046R03   M097DPT046R04   SKC7GAS009"
"72503814714","2015-01-02T02:45:00","7","41.5","-74.1","177.1","STEWART FIELD, NY US","FM-15","KSWF ","V020","250,5,N,0051,5","22000,7,9,N","016093,5,N,5","+0010,C","-0090,C","99999,9",,,,,,,,,,,,,,"00,7,+99999,9,99,9",,,"0,99,1,+99999,9,9",,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10142,5,09963,5",,,,,"0088,5","MET07301/01/15 21:45:02 METAR KSWF 020245Z 25010G17KT 10SM SKC 01/M09 A2995 RMK","R01   SKC7SKY009R02    017TMP046R03   M097DPT046R04   SKC7GAS009"
"72503814714","2015-01-02T03:45:00","7","41.5","-74.1","177.1","STEWART FIELD, NY US","FM-15","KSWF ","V020","240,5,N,0036,5","22000,5,9,N","016093,5,N,5","+0010,C","-0090,C","99999,9",,,,,,,,,,,,,,"04,5,+03048,5,99,9",,,"2,99,1,+03048,5,9",,,"9,AGL   ,+99999,+99999","04,99,5,99,9,99,9,03048,1,99,9,99,9","10146,5,09966,5",,,,,,"MET07301/01/15 22:45:02 METAR KSWF 020345Z 24007KT 10SM SCT100 01/M09 A2996 RMK","R01    017TMP046R02   M097DPT046D01      0ADE726"
"72503814714","2015-01-02T04:45:00","7","41.5","-74.1","177.1","STEWART FIELD, NY US","FM-15","KSWF ","V020","240,5,N,0051,5","03048,5,M,N","016093,5,N,5","+0010,C","-0090,C","99999,9",,,,,,,,,,,,,,"07,5,+03048,5,99,9",,,"3,99,1,+03048,5,9",,,"9,AGL   ,+99999,+99999","99,99,9,99,9,99,9,03048,1,99,9,99,9","10149,5,09970,5",,,,,,"MET07301/01/15 23:45:02 METAR KSWF 020445Z 24010KT 10SM BKN100 01/M09 A2997 RMK","R01    017TMP046R02   M097DPT046"
"72503814714","2015-01-02T05:45:00","7","41.5","-74.1","177.1","STEWART FIELD, NY US","FM-15","KSWF ","V020","260,5,N,0051,5","22000,5,9,N","016093,5,N,5","+0010,C","-0080,C","99999,9",,,,,,,,,,,,,,"04,5,+01524,5,99,9",,,"2,99,1,+01524,5,9",,,"9,AGL   ,+99999,+99999","04,99,5,99,9,99,9,01524,1,99,9,99,9","10149,5,09970,5",,,,,,"MET07301/02/15 00:45:02 METAR KSWF 020545Z 26010KT 10SM SCT050 01/M08 A2997 RMK","R01    017TMP046R02   M087DPT046D01      0ADE726"
"72503814714","2015-01-02T06:45:00","7","41.5","-74.1","177.1","STEWART FIELD, NY US","FM-15","KSWF ","V020","260,5,N,0041,5","22000,5,9,N","016093,5,N,5","+0000,C","-0080,C","99999,9",,,,,,,,,,,,,,"04,5,+01524,5,99,9",,,"2,99,1,+01524,5,9",,,"9,AGL   ,+99999,+99999","04,99,5,99,9,99,9,01524,1,99,9,99,9","10152,5,09973,5",,,,,,"MET07301/02/15 01:45:02 METAR KSWF 020645Z 26008KT 10SM SCT050 00/M08 A2998 RMK","R01    007TMP046R02   M087DPT046D01      0ADE726"
"72503814714","2015-01-02T07:45:00","7","41.5","-74.1","177.1","STEWART FIELD, NY US","FM-15","KSWF ","V020","240,5,N,0041,5","22000,5,9,N","016093,5,N,5","+0000,C","-0080,C","99999,9",,,,,,,,,,,,,,"04,5,+01524,5,99,9",,,"2,99,1,+01524,5,9",,,"9,AGL   ,+99999,+99999","04,99,5,99,9,99,9,01524,1,99,9,99,9","10159,5,09980,5",,,,,,"MET07301/02/15 02:45:02 METAR KSWF 020745Z 24008KT 10SM SCT050 00/M08 A3000 RMK","R01    007TMP046R02   M087DPT046D01      0ADE726"
"72503814714","2015-01-02T08:45:00","7","41.5","-74.1","177.1","STEWART FIELD, NY US","FM-15","KSWF ","V020","260,5,N,0057,5","01524,5,M,N","016093,5,N,5","+0000,C","-0080,C","99999,9",,,,,,,,,,,,,,"07,5,+01524,5,99,9",,,"3,99,1,+01524,5,9",,,"9,AGL   ,+99999,+99999","99,99,9,99,9,99,9,01524,1,99,9,99,9","10163,5,09983,5",,,,,,"MET07301/02/15 03:45:02 METAR KSWF 020845Z 26011KT 10SM BKN050 00/M08 A3001 RMK","R01    007TMP046R02   M087DPT046"
"72503814714","2015-01-02T09:45:00","7","41.5","-74.1","177.1","STEWART FIELD, NY US","FM-15","KSWF ","V020","260,5,N,0057,5","01372,5,M,N","016093,5,N,5","+0000,C","-0080,C","99999,9",,,,,,,,,,,,,,"07,5,+01372,5,99,9",,,"3,99,1,+01372,5,9",,,"9,AGL   ,+99999,+99999","99,99,9,99,9,99,9,01372,1,99,9,99,9","10166,5,09986,5",,,,,,"MET07301/02/15 04:45:02 METAR KSWF 020945Z 26011KT 10SM BKN045 00/M08 A3002 RMK","R01    007TMP046R02   M087DPT046"
"72503814714","2015-01-02T10:45:00","7","41.5","-74.1","177.1","STEWART FIELD, NY US","FM-15","KSWF ","V020","230,5,N,0051,5","01524,5,M,N","016093,5,N,5","+0000,C","-0080,C","99999,9",,,,,,,,,,,,,,"08,5,+01524,5,99,9",,,"4,99,1,+01524,5,9",,,"9,AGL   ,+99999,+99999","99,99,9,99,9,99,9,01524,1,99,9,99,9","10179,5,10000,5",,,,,"0088,5","MET07601/02/15 05:45:02 METAR KSWF 021045Z 23010G17KT 10SM OVC050 00/M08 A3006 RMK","R01    007TMP046R02   M087DPT046"
"72503814714","2015-01-02T11:45:00","7","41.5","-74.1","177.1","STEWART FIELD, NY US","FM-15","KSWF ","V020","250,5,N,0051,5","01524,5,M,N","016093,5,N,5","+0000,C","-0080,C","99999,9",,,,,,,,,,,,,,"08,5,+01524,5,99,9",,,"4,99,1,+01524,5,9",,,"9,AGL   ,+99999,+99999","99,99,9,99,9,99,9,01524,1,99,9,99,9","10190,5,10010,5",,,,,,"MET07301/02/15 06:45:02 METAR KSWF 021145Z 25010KT 10SM OVC050 00/M08 A3009 RMK","R01    007TMP046R02   M087DPT046"
"72503814714","2015-01-02T12:45:00","7","41.5","-74.1","177.1","STEWART FIELD, NY US","FM-15","KSWF ","V020","250,5,N,0062,5","01524,5,M,N","032187,5,N,5","+0010,C","-0070,C","99999,9",,,,,,,,,,,,,,"08,5,+01524,5,99,9",,,"4,99,1,+01524,5,9",,,"9,AGL   ,+99999,+99999","99,99,9,99,9,99,9,01524,1,99,9,99,9","10196,5,10016,5",,,,,,"MET07301/02/15 07:45:02 METAR KSWF 021245Z 25012KT 20SM OVC050 01/M07 A3011 RMK","R01    017TMP046R02   M077DPT046"
"72503814714","2015-01-02T13:45:00","7","41.5","-74.1","177.1","STEWART FIELD, NY US","FM-15","KSWF ","V020","250,5,N,0051,5","01524,5,M,N","032187,5,N,5","+0010,C","-0070,C","99999,9",,,,,,,,,,,,,,"08,5,+01524,5,99,9",,,"4,99,1,+01524,5,9",,,"9,AGL   ,+99999,+99999","99,99,9,99,9,99,9,01524,1,99,9,99,9","10210,5,10030,5",,,,,,"MET07301/02/15 08:45:02 METAR KSWF 021345Z 25010KT 20SM OVC050 01/M07 A3015 RMK","R01    017TMP046R02   M077DPT046"
"72503814714","2015-01-02T14:45:00","7","41.5","-74.1","177.1","STEWART FIELD, NY US","FM-15","KSWF ","V020","250,5,N,0051,5","01524,5,M,N","032187,5,N,5","+0020,C","-0070,C","99999,9",,,,,,,,,,,,,,"08,5,+01524,5,99,9",,,"4,99,1,+01524,5,9",,,"9,AGL   ,+99999,+99999","99,99,9,99,9,99,9,01524,1,99,9,99,9","10217,5,10037,5",,,,,,"MET07301/02/15 09:45:02 METAR KSWF 021445Z 25010KT 20SM OVC050 02/M07 A3017 RMK","R01    027TMP046R02   M077DPT046"
