"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","AT1","AT2","AT3","AT4","AT5","AU1","AU2","AU3","AW1","AW2","AW3","ED1","GA1","GA2","GA3","GD1","GD2","GD3","GD4","GE1","GF1","MA1","MV1","MW1","MW2","MW3","MW4","OC1","REM","EQD"
"72503814714","2018-01-01T00:45:00","4","41.5","-74.1","177.1","STEWART FIELD, NY US","FM-15","99999","V020","280,1,N,0031,1","22000,1,9,N","016093,1,9,9","-0150,1","-0200,1","99999,9",,,,,,,,,,,,,,,,,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10251,1,99999,9",,,,,,,"MET050METAR KSWF 010045Z 28006KT 10SM SKC M15/M20 A3027=",
"72503814714","2018-01-01T01:45:00","4","41.5","-74.1","177.1","STEWART FIELD, NY US","FM-15","99999","V020","300,1,N,0057,1","22000,1,9,N","016093,1,9,9","-0150,1","-0200,1","99999,9",,,,,,,,,,,,,,,,,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10251,1,99999,9",,,,,,,"MET050METAR KSWF 010145Z 30011KT 10SM SKC M15/M20 A3027=",
"72503814714","2018-01-01T02:45:00","4","41.5","-74.1","177.1","STEWART FIELD, NY US","FM-15","99999","V020","300,1,N,0036,1","22000,1,9,N","016093,1,9,9","-0150,1","-0200,1","99999,9",,,,,,,,,,,,,,,,,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10254,1,99999,9",,,,,,,"MET050METAR KSWF 010245Z 30007KT 10SM SKC M15/M20 A3028=",
"72503814714","2018-01-01T03:45:00","4","41.5","-74.1","177.1","STEWART FIELD, NY US","FM-15","99999","V020","300,1,N,0036,1","22000,1,9,N","016093,1,9,9","-0160,1","-0200,1","99999,9",,,,,,,,,,,,,,,,,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10257,1,99999,9",,,,,,,"MET050METAR KSWF 010345Z 30007KT 10SM SKC M16/M20 A3029=",
"72503814714","2018-01-01T04:45:00","4","41.5","-74.1","177.1","STEWART FIELD, NY US","FM-15","99999","V020","300,1,N,0036,1","22000,1,9,N","016093,1,9,9","-0160,1","-0200,1","99999,9",,,,,,,,,,,,,,,,,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10257,1,99999,9",,,,,,,"MET050METAR KSWF 010445Z 30007KT 10SM SKC M16/M20 A3029=",
"72503814714","2018-01-01T05:45:00","7","41.5","-74.1","177.1","STEWART FIELD, NY US","FM-15","KSWF ","V020","310,5,N,0041,5","22000,7,9,N","016093,5,N,5","-0160,C","-0200,C","99999,9",,,,,,,,,,,,,"00,7,+99999,9,99,9",,,"0,99,1,+99999,9,9",,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10257,5,10077,5",,,,,,,"MET07101/01/18 00:45:02 METAR KSWF 010545Z 31008KT 10SM SKC M16/M20 A3029 RMK","R01   SKC7SKY009R02   M167TMP046R03   M207DPT046R04   SKC7GAS009"
"72503814714","2018-01-01T06:45:00","7","41.5","-74.1","177.1","STEWART FIELD, NY US","FM-15","KSWF ","V020","290,5,N,0031,5","22000,7,9,N","016093,5,N,5","-0160,C","-0200,C","99999,9",,,,,,,,,,,,,"00,7,+99999,9,99,9",,,"0,99,1,+99999,9,9",,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10261,5,10080,5",,,,,,,"MET07101/01/18 01:45:02 METAR KSWF 010645Z 29006KT 10SM SKC M16/M20 A3030 RMK","R01   SKC7SKY009R02   M167TMP046R03   M207DPT046R04   SKC7GAS009"
"72503814714","2018-01-01T07:45:00","7","41.5","-74.1","177.1","STEWART FIELD, NY US","FM-15","KSWF ","V020","290,5,N,0031,5","22000,7,9,N","016093,5,N,5","-0180,C","-0210,C","99999,9",,,,,,,,,,,,,"00,7,+99999,9,99,9",,,"0,99,1,+99999,9,9",,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10264,5,10083,5",,,,,,,"MET07101/01/18 02:45:02 METAR KSWF 010745Z 29006KT 10SM SKC M18/M21 A3031 RMK","R01   SKC7SKY009R02   M187TMP046R03   M217DPT046R04   SKC7GAS009"
"72503814714","2018-01-01T08:45:00","7","41.5","-74.1","177.1","STEWART FIELD, NY US","FM-15","KSWF ","V020","290,5,N,0041,5","22000,7,9,N","016093,5,N,5","-0180,C","-0210,C","99999,9",,,,,,,,,,,,,"00,7,+99999,9,99,9",,,"0,99,1,+99999,9,9",,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10261,5,10080,5",,,,,,,"MET07101/01/18 03:45:02 METAR KSWF 010845Z 29008KT 10SM SKC M18/M21 A3030 RMK","R01   SKC7SKY009R02   M187TMP046R03   M217DPT046R04   SKC7GAS009"
"72503814714","2018-01-01T09:45:00","7","41.5","-74.1","177.1","STEWART FIELD, NY US","FM-15","KSWF ","V020","280,5,N,0026,5","22000,7,9,N","016093,5,N,5","-0180,C","-0210,C","99999,9",,,,,,,,,,,,,"00,7,+99999,9,99,9",,,"0,99,1,+99999,9,9",,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10264,5,10083,5",,,,,,,"MET07101/01/18 04:45:02 METAR KSWF 010945Z 28005KT 10SM SKC M18/M21 A3031 RMK","R01   SKC7SKY009R02   M187TMP046R03   M217DPT046R04   SKC7GAS009"
"72503814714","2018-01-01T10:45:00","7","41.5","-74.1","177.1","STEWART FIELD, NY US","FM-15","KSWF ","V020","260,5,N,0036,5","22000,7,9,N","016093,5,N,5","-0170,C","-0210,C","99999,9",,,,,,,,,,,,,"00,7,+99999,9,99,9",,,"0,99,1,+99999,9,9",,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10264,5,10083,5",,,,,,,"MET07101/01/18 05:45:02 METAR KSWF 011045Z 26007KT 10SM SKC M17/M21 A3031 RMK","R01   SKC7SKY009R02   M177TMP046R03   M217DPT046R04   SKC7GAS009"
"72503814714","2018-01-01T11:45:00","7","41.5","-74.1","177.1","STEWART FIELD, NY US","FM-15","KSWF ","V020","270,5,N,0041,5","22000,7,9,N","016093,5,N,5","-0180,C","-0210,C","99999,9",,,,,,,,,,,,,"00,7,+99999,9,99,9",,,"0,99,1,+99999,9,9",,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10271,5,10090,5",,,,,,,"MET07101/01/18 06:45:02 METAR KSWF 011145Z 27008KT 10SM SKC M18/M21 A3033 RMK","R01   SKC7SKY009R02   M187TMP046R03   M217DPT046R04   SKC7GAS009"
"72503814714","2018-01-01T12:45:00","7","41.5","-74.1","177.1","STEWART FIELD, NY US","FM-15","KSWF ","V020","270,5,N,0041,5","22000,7,9,N","032187,5,N,5","-0190,C","-0210,C","99999,9",,,,,,,,,,,,,"00,7,+99999,9,99,9",,,"0,99,1,+99999,9,9",,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10271,5,10090,5",,,,,,,"MET07101/01/18 07:45:02 METAR KSWF 011245Z 27008KT 20SM SKC M19/M21 A3033 RMK","R01   SKC7SKY009R02   M197TMP046R03   M217DPT046R04   SKC7GAS009"
