"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","AT1","AT2","AT3","AT4","AT5","AT6","AU1","AU2","AU3","AW1","AW2","AW3","ED1","GA1","GA2","GA3","GD1","GD2","GD3","GE1","GF1","MA1","MV1","MW1","MW2","MW3","OC1","REM","EQD"
"72503814714","2019-01-01T00:45:00","7","41.5","-74.1","177.1","STEWART FIELD, NY US","FM-15","KSWF ","V020","140,5,N,0041,5","00213,5,M,N","008047,5,N,5","+0040,C","+0040,C","99999,9",,,,,,,"1,0,02,0,0,1,5","0,0,00,1,0,1,5",,"10,5","61,5",,,"07,5,+00213,5,99,9","08,5,+00366,5,99,9",,"3,99,1,+00213,5,9","4,99,1,+00366,5,9",,"9,MSL   ,+99999,+99999","99,99,9,99,9,99,9,00213,1,99,9,99,9","10183,5,10003,5",,"10,1","61,5",,,"MET09212/31/18 19:45:01 METAR KSWF 010045Z 14008KT 5SM -RA BR BKN007 OVC012 04/04 A3007 RMK PRESFR","R01    047TMP046R02    047DPT046"
"72503814714","2019-01-01T01:45:00","7","41.5","-74.1","177.1","STEWART FIELD, NY US","FM-15","KSWF ","V020","140,5,N,0031,5","00366,5,M,N","009656,5,N,5","+0050,C","+0050,C","99999,9",,,,,,,"2,0,02,0,0,1,5","0,0,00,1,0,1,5",,"10,5","62,5",,,"08,5,+00366,5,99,9",,,"4,99,1,+00366,5,9",,,"9,MSL   ,+99999,+99999","99,99,9,99,9,99,9,00366,1,99,9,99,9","10163,5,09983,5",,"10,1","63,1","65,5",,"MET08412/31/18 20:45:01 METAR KSWF 010145Z 14006KT 6SM RA BR OVC012 05/05 A3001 RMK PRESFR","R01    057TMP046R02    057DPT046"
"72503814714","2019-01-01T02:45:00","7","41.5","-74.1","177.1","STEWART FIELD, NY US","FM-15","KSWF ","V020","999,9,C,0000,5","00396,5,M,N","004828,5,N,5","+0050,C","+0050,C","99999,9",,,,,,,"1,0,02,0,0,1,5","0,0,00,1,0,1,5",,"10,5","61,5",,,"08,5,+00396,5,99,9",,,"4,99,1,+00396,5,9",,,"9,MSL   ,+99999,+99999","99,99,9,99,9,99,9,00396,1,99,9,99,9","10139,5,09960,5",,"10,1","61,5",,,"MET08512/31/18 21:45:01 METAR KSWF 010245Z 00000KT 3SM -RA BR OVC013 05/05 A2994 RMK PRESFR","R01    057TMP046R02    057DPT046"
"72503814714","2019-01-01T03:45:00","4","41.5","-74.1","177.1","STEWART FIELD, NY US","FM-15","99999","V020","999,9,C,0000,1","00396,1,9,N","004828,1,9,9","+0050,1","+0050,1","99999,9",,,,,,,,,,,,,,,,,"4,99,1,+00396,1,9",,,"9,MSL   ,+99999,+99999","99,99,9,99,9,99,9,00396,1,99,9,99,9","10122,1,99999,9",,"10,1","61,1",,,"MET057METAR KSWF 010345Z 00000KT 3SM -RA BR OVC013 05/05 A2989=",
"72503814714","2019-01-01T04:45:00","7","41.5","-74.1","177.1","STEWART FIELD, NY US","FM-15","KSWF ","V020","999,9,C,0000,5","00396,5,M,N","004828,5,N,5","+0050,C","+0050,C","99999,9",,,,,,,"1,0,02,0,0,1,5","0,0,00,1,0,1,5",,"10,5","61,5",,,"08,5,+00396,5,99,9",,,"4,99,1,+00396,5,9",,,"9,MSL   ,+99999,+99999","99,99,9,99,9,99,9,00396,1,99,9,99,9","10095,5,09916,5",,"10,1","61,5",,,"MET07812/31/18 23:45:02 METAR KSWF 010445Z 00000KT 3SM -RA BR OVC013 05/05 A2981 RMK","R01    057TMP046R02    057DPT046"
"72503814714","2019-01-01T05:45:00","7","41.5","-74.1","177.1","STEWART FIELD, NY US","FM-15","KSWF ","V020","999,9,C,0000,5","00244,5,M,N","004828,5,N,5","+0060,C","+0060,C","99999,9",,,,,,,"1,0,02,0,0,1,5","0,0,00,1,0,1,5",,"10,5","61,5",,,"07,5,+00244,5,99,9","08,5,+00396,5,99,9",,"3,99,1,+00244,5,9","4,99,1,+00396,5,9",,"9,MSL   ,+99999,+99999","99,99,9,99,9,99,9,00244,1,99,9,99,9","10075,5,09896,5",,"10,1","61,5",,,"MET08501/01/19 00:45:02 METAR KSWF 010545Z 00000KT 3SM -RA BR BKN008 OVC013 06/06 A2975 RMK","R01    067TMP046R02    067DPT046"
"72503814714","2019-01-01T06:45:00","7","41.5","-74.1","177.1","STEWART FIELD, NY US","FM-15","KSWF ","V020","999,9,C,0000,5","00366,5,M,N","008047,5,N,5","+0050,C","+0050,C","99999,9",,,,,,,"1,0,02,0,0,1,5","0,0,00,1,0,1,5",,"10,5","61,5",,,"07,5,+00366,5,99,9",,,"3,99,1,+00366,5,9",,,"9,MSL   ,+99999,+99999","99,99,9,99,9,99,9,00366,1,99,9,99,9","10047,5,09870,5",,"10,1","61,5",,,"MET07801/01/19 01:45:02 METAR KSWF 010645Z 00000KT 5SM -RA BR BKN012 05/05 A2967 RMK","R01    057TMP046R02    057DPT046"
"72503814714","2019-01-01T07:45:00","7","41.5","-74.1","177.1","STEWART FIELD, NY US","FM-15","KSWF ","V020","999,9,C,0000,5","00366,5,M,N","003219,5,N,5","+0040,C","+0040,C","99999,9",,,,,,,"0,0,00,1,0,1,5",,,"10,5",,,,"07,5,+00366,5,99,9",,,"3,99,1,+00366,5,9",,,"9,MSL   ,+99999,+99999","99,99,9,99,9,99,9,00366,1,99,9,99,9","10037,5,09860,5",,"10,1",,,,"MET07401/01/19 02:45:02 METAR KSWF 010745Z 00000KT 2SM BR BKN012 04/04 A2964 RMK","R01    047TMP046R02    047DPT046"
"72503814714","2019-01-01T08:45:00","7","41.5","-74.1","177.1","STEWART FIELD, NY US","FM-15","KSWF ","V020","999,9,C,0000,5","00244,5,M,N","002012,5,N,5","+0040,C","+0040,C","99999,9",,,,,,,"0,0,00,1,0,1,5",,,"10,5",,,,"07,5,+00244,5,99,9",,,"3,99,1,+00244,5,9",,,"9,MSL   ,+99999,+99999","99,99,9,99,9,99,9,00244,1,99,9,99,9","10027,5,09850,5",,"10,1",,,,"MET07801/01/19 03:45:02 METAR KSWF 010845Z 00000KT 1 1/4SM BR BKN008 04/04 A2961 RMK","R01    047TMP046R02    047DPT046"
"72503814714","2019-01-01T09:45:00","7","41.5","-74.1","177.1","STEWART FIELD, NY US","FM-15","KSWF ","V020","999,9,C,0000,5","00152,5,M,N","002012,5,N,5","+0060,C","+0060,C","99999,9",,,,,,,"0,0,00,1,0,1,5",,,"10,5",,,,"07,5,+00152,5,99,9",,,"3,99,1,+00152,5,9",,,"9,MSL   ,+99999,+99999","99,99,9,99,9,99,9,00152,1,99,9,99,9","10017,5,09840,5",,"10,1",,,,"MET07801/01/19 04:45:02 METAR KSWF 010945Z 00000KT 1 1/4SM BR BKN005 06/06 A2958 RMK","R01    067TMP046R02    067DPT046"
