"ano","dia","hora"
2015,22,8
2015,40,7
2015,46,13
2015,50,4
2015,54,20
2015,97,16
2015,178,21
2015,188,10
2015,191,1
2015,207,9
2015,234,19
2015,263,2
2015,335,6
2016,95,4
2016,109,12
2016,125,13
2016,223,9
2016,275,5
2016,277,12
2016,295,4
2016,349,0
2016,352,12
2016,364,14
2017,12,21
2017,29,23
2017,62,10
2017,69,23
2017,74,11
2017,86,9
2017,126,10
2017,127,13
2017,128,3
2017,156,20
2017,196,7
2017,228,3
2017,230,7
2017,249,23
2018,23,15
2018,33,18
2018,36,1
2018,36,10
2018,43,2
2018,62,17
2018,93,18
2018,107,21
2018,139,16
2018,209,9
2018,225,22
2018,230,12
2018,233,17
2018,281,12
2018,318,15
2018,342,14
2018,356,7
2019,120,13
2019,123,21
2015,79,16
2015,79,17
2015,99,9
2015,99,10
2015,99,11
2015,99,12
2015,99,13
2015,111,6
2015,113,0
2015,113,14
2015,349,20
2015,350,4
2015,350,5
2015,350,6
2015,350,7
2015,350,8
2015,350,9
2015,350,10
2015,350,11
2015,350,12
2015,356,13
2015,357,5
2015,357,6
2015,357,7
2015,357,9
2017,120,18
2018,105,3
2018,105,4
2018,105,5
2018,105,6
2018,105,7
2018,105,8
2018,105,9
2018,105,10
2018,105,11
2018,105,12
2018,105,13
2018,105,14
2018,105,15
2018,105,16
2018,105,17
2018,105,18
2018,105,19
2018,105,20
2018,105,21
2018,105,22
2018,105,23
2018,106,2
2018,106,3
2018,106,4
2018,106,5
2018,106,6
2018,106,7
2018,106,8
2018,106,9
2018,106,10
2018,106,11
