"ano","dia","hora"
2015,12,18
2015,152,2
2015,160,14
2015,161,7
2015,162,10
2015,162,11
2015,162,12
2015,167,6
2015,175,13
2015,191,9
2015,208,1
2015,211,12
2015,245,7
2015,254,7
2015,255,23
2015,273,2
2015,323,20
2015,361,15
2016,123,14
2016,128,10
2016,149,6
2016,169,7
2016,169,8
2016,224,20
2016,226,7
2016,263,6
2016,280,7
2016,291,5
2016,291,9
2017,4,6
2017,73,19
2017,226,12
2017,267,12
2017,268,6
2017,269,7
2017,302,13
2017,313,13
2018,16,7
2018,16,18
2018,24,12
2018,33,5
2018,52,10
2018,139,11
2018,149,3
2018,206,13
2018,218,16
2018,226,12
2018,270,9
2018,305,4
2018,310,6
2018,310,7
2018,310,8
2018,329,7
2018,345,6
2018,345,7
2018,345,8
2018,345,9
2019,30,19
2015,162,13
2015,356,22
2015,357,3
2015,357,4
2015,357,5
2015,357,6
2015,357,7
2015,357,8
2015,357,9
2016,323,19
2016,324,17
2016,324,18
2016,349,3
2016,349,4
2016,349,5
2016,349,6
2016,349,7
2016,349,8
2016,349,9
2016,349,10
2016,349,11
2016,349,12
2016,349,13
2016,349,14
2017,19,18
2017,49,19
2017,176,9
2017,238,11
2017,238,12
2017,238,13
2017,238,14
2017,238,15
2017,238,16
2017,238,17
2017,238,18
2017,238,19
2017,238,20
2017,238,21
2017,241,13
2017,250,15
2017,250,16
2017,263,15
2018,52,16
2018,226,1
2018,226,2
2018,226,3
2018,226,4
2018,226,5
2018,226,6
2018,226,13
2018,227,4
2018,227,5
2018,227,6
2018,227,7
2018,227,8
2018,227,9
