"ano","dia","hora"
2015,7,6
2015,7,7
2015,39,0
2015,45,4
2015,56,9
2015,114,13
2015,182,9
2015,244,8
2015,246,12
2015,252,16
2015,267,6
2015,283,1
2015,332,3
2015,340,14
2016,1,14
2016,27,19
2016,27,20
2016,27,21
2016,27,22
2016,27,23
2016,28,13
2016,28,14
2016,28,18
2016,56,23
2016,89,15
2016,124,5
2016,147,11
2016,175,22
2016,234,16
2016,239,5
2016,347,16
2016,349,15
2016,349,19
2016,349,20
2016,349,22
2016,350,9
2016,351,23
2017,5,15
2017,28,2
2017,29,7
2017,145,20
2017,158,7
2017,230,5
2017,250,14
2017,250,15
2017,250,16
2017,278,0
2017,302,11
2017,326,7
2017,358,10
2017,364,13
2018,2,21
2018,17,17
2018,19,15
2018,24,6
2018,47,7
2018,110,8
2018,116,17
2018,135,11
2018,197,9
2018,198,5
2018,280,5
2018,301,11
2018,306,4
2018,320,19
2018,340,14
2018,341,3
2018,356,14
2018,360,21
2019,27,13
2019,56,5
2019,56,15
2019,96,10
2019,98,14
2019,105,17
2019,133,18
2015,13,12
2015,28,6
2015,28,7
2015,28,8
2015,28,9
2015,28,10
2015,28,11
2015,28,12
2015,28,13
2015,28,14
2015,28,15
2015,28,16
2015,28,17
2015,29,21
2015,31,12
2015,31,13
2015,31,14
2015,40,15
2015,44,11
2017,118,12
2017,118,13
2017,118,14
2017,118,15
2017,118,16
2017,118,17
2017,118,18
2017,361,23
2018,6,16
