"ano","dia","hora"
2015,12,14
2015,16,5
2015,37,11
2015,38,13
2015,40,23
2015,94,12
2015,130,9
2015,189,3
2015,223,11
2015,244,6
2015,257,5
2016,13,5
2016,47,21
2016,60,12
2016,62,15
2016,84,14
2016,232,3
2016,244,8
2016,326,3
2016,326,7
2016,347,4
2017,22,0
2017,69,13
2017,87,12
2017,176,18
2017,188,23
2017,196,9
2017,245,9
2017,307,8
2018,8,21
2018,35,6
2018,37,7
2018,40,2
2018,96,19
2018,242,10
2018,264,10
2018,329,7
2018,329,11
2018,352,0
2018,358,18
2019,3,13
2019,18,12
2019,29,9
2019,34,22
2019,35,3
2015,132,7
2015,132,8
2015,132,9
2015,358,19
2015,358,20
2015,358,21
2017,177,11
2018,349,8
