"DATE","TMP","ano","dia","hora","minuto","index"
2015-03-29 22:55:00,999.99,2015,88,22,55,6273
2015-04-11 04:59:00,999.99,2015,101,4,59,7156
2015-04-21 04:59:00,999.99,2015,111,4,59,7678
2015-04-22 04:59:00,999.99,2015,112,4,59,7751
2015-05-20 04:59:00,999.99,2015,140,4,59,9768
2015-05-27 04:59:00,999.99,2015,147,4,59,10273
2015-05-28 04:59:00,999.99,2015,148,4,59,10346
2015-05-28 07:55:00,999.99,2015,148,7,55,10355
2015-06-01 04:59:00,999.99,2015,152,4,59,10635
2015-06-09 04:59:00,999.99,2015,160,4,59,11212
2015-06-13 04:59:00,999.99,2015,164,4,59,11499
2015-06-16 04:59:00,999.99,2015,167,4,59,11716
2015-06-24 04:59:00,999.99,2015,175,4,59,12267
2015-07-02 04:59:00,999.99,2015,183,4,59,12838
2015-07-15 04:59:00,999.99,2015,196,4,59,13773
2015-07-16 04:59:00,999.99,2015,197,4,59,13846
2015-07-19 04:59:00,999.99,2015,200,4,59,14063
2015-07-19 21:55:00,999.99,2015,200,21,55,14114
2015-07-20 04:59:00,999.99,2015,201,4,59,14136
2015-07-27 04:59:00,999.99,2015,208,4,59,14641
2015-08-04 04:59:00,999.99,2015,216,4,59,15217
2015-08-12 04:59:00,999.99,2015,224,4,59,15794
2015-08-13 04:59:00,999.99,2015,225,4,59,15867
2015-08-16 04:59:00,999.99,2015,228,4,59,16084
2015-08-19 04:59:00,999.99,2015,231,4,59,16300
2015-08-26 04:59:00,999.99,2015,238,4,59,16789
2015-09-10 04:59:00,999.99,2015,253,4,59,17865
2016-01-11 04:59:00,999.99,2016,11,4,59,26481
2016-02-25 04:59:00,999.99,2016,56,4,59,29675
2016-03-17 04:59:00,999.99,2016,77,4,59,31188
2016-03-18 04:59:00,999.99,2016,78,4,59,31261
2016-04-03 11:35:00,999.99,2016,94,11,35,32433
2016-05-03 04:59:00,999.99,2016,124,4,59,34573
2016-05-05 19:55:00,999.99,2016,126,19,55,34762
2016-05-14 04:59:00,999.99,2016,135,4,59,35366
2016-05-28 04:59:00,999.99,2016,149,4,59,36373
2016-06-06 04:59:00,999.99,2016,158,4,59,37022
2016-06-08 04:59:00,999.99,2016,160,4,59,37167
2016-06-22 04:59:00,999.99,2016,174,4,59,38174
2016-06-29 04:59:00,999.99,2016,181,4,59,38679
2016-07-02 04:59:00,999.99,2016,184,4,59,38896
2016-07-08 04:59:00,999.99,2016,190,4,59,39327
2016-07-09 04:59:00,999.99,2016,191,4,59,39400
2016-07-10 04:59:00,999.99,2016,192,4,59,39472
2016-07-14 04:59:00,999.99,2016,196,4,59,39744
2016-07-15 04:59:00,999.99,2016,197,4,59,39817
2016-07-17 04:59:00,999.99,2016,199,4,59,39962
2016-07-18 04:59:00,999.99,2016,200,4,59,40035
2016-07-26 04:59:00,999.99,2016,208,4,59,40611
2016-08-02 04:59:00,999.99,2016,215,4,59,41114
2016-08-03 04:59:00,999.99,2016,216,4,59,41186
2016-08-11 04:59:00,999.99,2016,224,4,59,41733
2016-08-12 04:59:00,999.99,2016,225,4,59,41806
2016-08-13 04:59:00,999.99,2016,226,4,59,41879
2016-08-14 04:59:00,999.99,2016,227,4,59,41952
2016-08-15 04:59:00,999.99,2016,228,4,59,42025
2016-08-22 13:35:00,999.99,2016,235,13,35,42555
2016-09-20 04:59:00,999.99,2016,264,4,59,44618
2016-12-19 04:59:00,999.99,2016,354,4,59,51068
2017-02-16 04:59:00,999.99,2017,47,4,59,55307
2017-02-24 04:59:00,999.99,2017,55,4,59,55846
2017-02-25 11:55:00,999.99,2017,56,11,55,55939
2017-02-25 12:35:00,999.99,2017,56,12,35,55941
2017-02-25 12:55:00,999.99,2017,56,12,55,55942
2017-02-25 13:35:00,999.99,2017,56,13,35,55944
2017-02-25 13:55:00,999.99,2017,56,13,55,55945
2017-02-25 14:35:00,999.99,2017,56,14,35,55947
2017-02-25 14:55:00,999.99,2017,56,14,55,55948
2017-02-25 15:35:00,999.99,2017,56,15,35,55950
2017-02-25 15:55:00,999.99,2017,56,15,55,55951
2017-02-25 16:35:00,999.99,2017,56,16,35,55953
2017-02-25 16:55:00,999.99,2017,56,16,55,55954
2017-02-25 17:35:00,999.99,2017,56,17,35,55956
2017-02-25 17:55:00,999.99,2017,56,17,55,55957
2017-02-25 18:35:00,999.99,2017,56,18,35,55959
2017-02-25 18:55:00,999.99,2017,56,18,55,55960
2017-02-25 19:35:00,999.99,2017,56,19,35,55962
2017-02-25 19:55:00,999.99,2017,56,19,55,55963
2017-02-25 20:35:00,999.99,2017,56,20,35,55965
2017-02-25 20:55:00,999.99,2017,56,20,55,55966
2017-02-25 21:35:00,999.99,2017,56,21,35,55968
2017-02-25 21:55:00,999.99,2017,56,21,55,55969
2017-02-25 22:35:00,999.99,2017,56,22,35,55971
2017-02-25 22:55:00,999.99,2017,56,22,55,55972
2017-02-25 23:35:00,999.99,2017,56,23,35,55974
2017-02-25 23:55:00,999.99,2017,56,23,55,55975
2017-02-26 00:35:00,999.99,2017,57,0,35,55977
2017-02-26 00:55:00,999.99,2017,57,0,55,55978
2017-02-26 01:35:00,999.99,2017,57,1,35,55980
2017-02-26 01:55:00,999.99,2017,57,1,55,55981
2017-02-26 02:35:00,999.99,2017,57,2,35,55983
2017-02-26 02:55:00,999.99,2017,57,2,55,55984
2017-02-26 03:35:00,999.99,2017,57,3,35,55986
2017-02-26 03:55:00,999.99,2017,57,3,55,55987
2017-02-26 04:35:00,999.99,2017,57,4,35,55989
2017-02-26 04:55:00,999.99,2017,57,4,55,55990
2017-02-26 04:59:00,999.99,2017,57,4,59,55991
2017-02-26 05:35:00,999.99,2017,57,5,35,55993
2017-02-26 05:55:00,999.99,2017,57,5,55,55994
2017-02-26 06:35:00,999.99,2017,57,6,35,55996
2017-02-26 06:55:00,999.99,2017,57,6,55,55997
2017-02-26 07:35:00,999.99,2017,57,7,35,55999
2017-02-26 07:55:00,999.99,2017,57,7,55,56000
2017-02-26 08:35:00,999.99,2017,57,8,35,56002
2017-02-26 08:55:00,999.99,2017,57,8,55,56003
2017-02-26 09:35:00,999.99,2017,57,9,35,56005
2017-02-26 09:55:00,999.99,2017,57,9,55,56006
2017-02-26 10:35:00,999.99,2017,57,10,35,56008
2017-02-26 10:55:00,999.99,2017,57,10,55,56009
2017-02-26 11:35:00,999.99,2017,57,11,35,56011
2017-02-26 11:55:00,999.99,2017,57,11,55,56012
2017-02-26 12:55:00,999.99,2017,57,12,55,56015
2017-02-26 15:55:00,999.99,2017,57,15,55,56024
2017-02-26 16:55:00,999.99,2017,57,16,55,56027
2017-02-26 17:35:00,999.99,2017,57,17,35,56029
2017-02-26 17:55:00,999.99,2017,57,17,55,56030
2017-02-26 18:35:00,999.99,2017,57,18,35,56032
2017-02-26 18:55:00,999.99,2017,57,18,55,56033
2017-02-26 19:55:00,999.99,2017,57,19,55,56036
2017-02-26 20:55:00,999.99,2017,57,20,55,56039
2017-02-26 21:35:00,999.99,2017,57,21,35,56041
2017-02-26 21:55:00,999.99,2017,57,21,55,56042
