"ano","dia","hora"
2015,80,8
2015,93,17
2015,137,8
2015,172,21
2015,207,22
2015,343,18
2015,343,19
2015,343,20
2015,343,23
2015,365,6
2016,61,16
2016,213,0
2016,335,10
2016,360,2
2017,23,23
2017,44,2
2017,199,9
2017,225,8
2018,36,11
2018,37,13
2018,199,5
2018,354,21
2019,9,5
2019,24,5
2019,38,6
2019,49,10
2019,113,11
2015,267,15
2016,233,7
2016,233,8
2016,233,9
2016,233,10
2016,233,11
2016,233,12
2016,233,13
2016,233,14
2016,233,15
2016,233,16
2016,233,17
2016,233,18
2016,233,19
2016,233,20
2016,233,21
2016,233,22
2016,233,23
2016,234,0
2016,234,1
2016,234,2
2016,234,3
2016,234,4
2016,234,5
2016,234,6
2016,234,7
2016,234,8
2016,234,9
2016,234,10
2016,234,11
2016,234,12
2016,234,13
2016,234,14
2016,234,15
2016,234,16
2016,234,17
2016,234,18
2016,234,19
2016,234,20
2016,234,21
2016,234,22
2016,234,23
2016,235,0
2016,235,1
2016,235,2
2016,235,3
2016,235,4
2016,235,5
2016,235,6
2016,235,7
2016,235,8
2016,235,9
2016,235,10
2016,235,11
2016,235,12
2016,235,13
2016,235,14
2016,235,15
2016,235,16
2016,235,17
2016,235,18
2016,235,19
2016,235,20
2016,235,21
2016,235,22
2016,235,23
2016,236,0
2016,236,1
2016,236,2
2016,236,3
2016,236,4
2016,236,5
2016,236,6
2016,236,7
2016,236,8
2016,236,9
2016,236,10
2016,236,11
2016,236,12
2016,320,18
2018,71,13
2018,128,13
2018,128,14
2018,166,10
2018,300,21
2018,300,22
2019,16,1
2019,16,2
2019,16,3
2019,16,4
2019,16,5
2019,16,6
2019,16,7
2019,16,8
2019,16,9
2019,16,10
2019,16,11
2019,16,12
2019,16,13
2019,16,14
2019,21,22
2019,35,16
2019,35,17
2019,35,18
2019,35,19
2019,35,20
2019,35,21
2019,35,22
2019,35,23
2019,36,0
2019,36,1
2019,36,2
2019,36,3
2019,36,4
2019,36,5
2019,36,6
2019,36,7
2019,36,8
2019,36,9
2019,36,10
2019,36,11
2019,36,12
2019,36,13
2019,36,14
2019,36,15
2019,36,16
2019,36,17
2019,36,18
2019,43,14
