"ano","dia","hora"
2015,1,12
2015,2,1
2015,2,23
2015,3,1
2015,3,13
2015,3,15
2015,3,19
2015,4,6
2015,4,13
2015,5,6
2015,5,7
2015,5,9
2015,6,4
2015,6,5
2015,6,6
2015,6,8
2015,6,14
2015,7,6
2015,7,8
2015,7,12
2015,8,21
2015,8,23
2015,9,1
2015,9,20
2015,11,1
2015,11,13
2015,12,5
2015,12,7
2015,13,7
2015,16,2
2015,16,15
2015,16,19
2015,18,13
2015,19,8
2015,19,9
2015,19,11
2015,21,0
2015,22,14
2015,23,0
2015,23,12
2015,23,18
2015,23,22
2015,24,10
2015,25,2
2015,25,6
2015,25,8
2015,26,6
2015,27,1
2015,27,19
2015,29,0
2015,29,1
2015,29,12
2015,29,20
2015,31,9
2015,31,17
2015,32,7
2015,32,8
2015,34,3
2015,36,0
2015,36,1
2015,36,2
2015,36,18
2015,37,9
2015,37,15
2015,38,8
2015,38,12
2015,38,14
2015,39,0
2015,39,3
2015,39,4
2015,39,7
2015,39,8
2015,39,9
2015,39,11
2015,43,1
2015,43,20
2015,44,0
2015,44,5
2015,45,13
2015,45,17
2015,47,7
2015,49,1
2015,49,20
2015,52,7
2015,52,8
2015,52,12
2015,53,8
2015,53,9
2015,55,14
2015,55,15
2015,56,2
2015,56,12
2015,56,18
2015,57,10
2015,59,5
2015,59,6
2015,60,7
2015,60,21
2015,63,0
2015,63,1
2015,63,2
2015,63,22
2015,64,7
2015,66,7
2015,66,8
2015,66,10
2015,70,6
2015,70,7
2015,70,14
2015,70,15
2015,72,5
2015,72,6
2015,72,8
2015,73,5
2015,73,8
2015,74,3
2015,75,23
2015,77,1
2015,77,4
2015,77,7
2015,77,15
2015,77,16
2015,77,18
2015,78,5
2015,78,7
2015,78,18
2015,79,2
2015,79,5
2015,79,7
2015,79,8
2015,79,10
2015,80,3
2015,80,7
2015,80,11
2015,81,19
2015,82,22
2015,83,0
2015,83,10
2015,83,11
2015,83,12
2015,83,13
2015,84,4
2015,84,5
2015,84,7
2015,84,18
2015,85,10
2015,85,12
2015,86,3
2015,86,4
2015,86,5
2015,86,6
2015,86,7
2015,87,23
2015,88,1
2015,88,2
2015,88,23
2015,89,0
2015,89,1
2015,89,17
2015,90,14
2015,90,18
2015,91,10
2015,91,20
2015,92,6
2015,92,8
2015,92,11
2015,93,6
2015,95,7
2015,96,16
2015,97,2
2015,102,21
2015,102,22
2015,103,7
2015,103,8
2015,103,9
2015,103,10
2015,103,11
2015,103,12
2015,103,13
2015,103,14
2015,103,15
2015,103,16
2015,103,17
2015,103,18
2015,103,19
2015,103,20
2015,103,21
2015,103,22
2015,103,23
2015,104,0
2015,104,1
2015,104,2
2015,104,3
2015,104,4
2015,104,5
2015,104,6
2015,104,7
2015,104,8
2015,104,9
2015,104,10
2015,104,11
2015,104,12
2015,104,13
2015,104,14
2015,104,15
2015,104,16
2015,104,17
2015,104,18
2015,104,19
2015,104,20
2015,104,21
2015,104,22
2015,104,23
2015,105,0
2015,105,1
2015,105,2
2015,105,3
2015,105,4
2015,105,5
2015,105,6
2015,105,7
2015,105,8
2015,105,9
2015,105,10
2015,105,11
2015,105,12
2015,105,13
2015,105,14
2015,105,15
2015,105,16
2015,105,17
2015,105,18
2015,105,19
2015,105,20
2015,105,21
2015,105,22
2015,105,23
2015,106,6
2015,106,8
2015,106,10
2015,110,6
2015,110,15
2015,111,23
2015,112,3
2015,112,4
2015,112,5
2015,112,7
2015,112,13
2015,113,21
2015,115,11
2015,116,18
2015,116,19
2015,116,21
2015,116,23
2015,117,5
2015,117,14
2015,117,15
2015,118,1
2015,118,15
2015,119,2
2015,119,7
2015,121,0
2015,122,16
2015,122,22
2015,123,1
2015,123,13
2015,123,17
2015,124,7
2015,125,17
2015,126,1
2015,127,23
2015,130,6
2015,130,7
2015,130,22
2015,132,0
2015,132,5
2015,132,6
2015,132,8
2015,134,3
2015,134,20
2015,135,5
2015,135,21
2015,136,18
2015,137,4
2015,138,23
2015,139,6
2015,139,8
2015,140,6
2015,141,1
2015,141,7
2015,141,10
2015,142,23
2015,143,8
2015,143,12
2015,143,17
2015,144,3
2015,144,5
2015,144,14
2015,144,21
2015,145,1
2015,145,9
2015,145,12
2015,146,5
2015,146,7
2015,146,10
2015,146,17
