"Ano","Dia","Hora","Temperatura"
2015,1,1,-8.95
2015,1,2,-8.35
2015,1,3,-8.95
2015,1,4,-8.35
2015,1,5,-8.35
2015,1,6,-8.35
2015,1,7,-8.35
2015,1,8,-8.35
2015,1,9,-8.35
2015,1,10,-8.35
2015,1,11,-7.85
2015,1,12,-6.15
2015,1,13,-5.05
2015,1,14,-3.35
2015,1,15,-2.85
2015,1,16,-2.25
2015,1,17,-1.75
2015,1,18,-1.15
2015,1,19,-1.15
2015,1,20,-1.15
2015,1,21,-1.15
2015,1,22,-1.75
2015,1,23,-1.75
2015,1,24,-1.75
2015,2,1,-1.75
2015,2,2,-1.75
2015,2,3,-1.75
2015,2,4,-1.75
2015,2,5,-2.25
2015,2,6,-2.25
2015,2,7,-2.25
2015,2,8,-2.25
2015,2,9,-2.25
2015,2,10,-2.85
2015,2,11,-3.31
2015,2,12,-3.95
2015,2,13,-3.95
2015,2,14,-3.35
2015,2,15,-2.85
2015,2,16,-2.85
2015,2,17,-2.25
2015,2,18,-2.85
2015,2,19,-3.35
2015,2,20,-3.35
2015,2,21,-3.35
2015,2,22,-3.35
2015,2,23,-3.35
2015,2,24,-3.95
2015,3,1,-3.95
2015,3,2,-4.45
2015,3,3,-5.05
2015,3,4,-4.45
2015,3,5,-5.65
2015,3,6,-5.65
2015,3,7,-6.15
2015,3,8,-7.25
2015,3,9,-6.75
2015,3,10,-5.05
2015,3,11,-4.45
2015,3,12,-3.35
2015,3,13,-3.91
2015,3,14,-3.91
2015,3,15,-3.31
2015,3,16,-2.25
2015,3,17,-2.25
2015,3,18,-1.75
2015,3,19,-0.65
2015,3,20,0.05
2015,3,21,0.65
2015,3,22,1.15
2015,3,23,1.75
2015,3,24,1.75
2015,4,1,2.25
2015,4,2,2.25
2015,4,3,2.81
2015,4,4,3.35
2015,4,5,3.91
2015,4,6,3.91
2015,4,7,3.91
2015,4,8,4.41
2015,4,9,5.05
2015,4,10,6.15
2015,4,11,5.65
2015,4,12,6.75
2015,4,13,7.85
2015,4,14,9.45
2015,4,15,10.05
2015,4,16,10.05
2015,4,17,9.45
2015,4,18,9.45
2015,4,19,8.35
2015,4,20,7.25
2015,4,21,5.65
2015,4,22,5.65
2015,4,23,2.25
2015,4,24,1.75
2015,5,1,1.15
2015,5,2,1.15
2015,5,3,0.65
2015,5,4,-1.15
2015,5,5,-2.25
2015,5,6,-3.35
2015,5,7,-4.45
2015,5,8,-5.05
2015,5,9,-6.15
2015,5,10,-7.25
2015,5,11,-7.25
2015,5,12,-7.85
2015,5,13,-8.95
2015,5,14,-8.35
2015,5,15,-8.35
2015,5,16,-10.05
2015,5,17,-11.15
2015,5,18,-11.75
2015,5,19,-11.75
2015,5,20,-12.25
2015,5,21,-12.85
2015,5,22,-12.85
2015,5,23,-12.85
2015,5,24,-12.85
2015,6,1,-13.35
2015,6,2,-13.35
2015,6,3,-13.35
2015,6,4,-13.35
2015,6,5,-13.35
2015,6,6,-13.35
2015,6,7,-13.35
2015,6,8,-12.85
2015,6,9,-12.81
2015,6,10,-12.25
2015,6,11,-12.21
2015,6,12,-11.71
2015,6,13,-11.75
2015,6,14,-11.15
2015,6,15,-10.65
2015,6,16,-10.05
2015,6,17,-10.65
2015,6,18,-11.15
2015,6,19,-13.35
