"Ano","Dia","Hora","Temperatura"
2015,1,1,-6.15
2015,1,2,-6.15
2015,1,3,-6.75
2015,1,4,-6.15
2015,1,5,-6.15
2015,1,6,-5.05
2015,1,7,-3.95
2015,1,8,-5.65
2015,1,9,-5.05
2015,1,10,-5.65
2015,1,11,-5.65
2015,1,12,-5.05
2015,1,13,-3.95
2015,1,14,-3.35
2015,1,15,-2.25
2015,1,16,-1.75
2015,1,17,-1.15
2015,1,18,-0.65
2015,1,19,-0.65
2015,1,20,0.05
2015,1,21,-0.65
2015,1,22,-0.65
2015,1,23,-0.65
2015,1,24,-1.15
2015,2,1,-1.15
2015,2,2,-0.65
2015,2,3,-1.15
2015,2,4,-0.65
2015,2,5,-0.65
2015,2,6,-1.15
2015,2,7,-1.15
2015,2,8,-1.75
2015,2,9,-1.75
2015,2,10,-1.75
2015,2,11,-1.15
2015,2,12,-0.65
2015,2,13,-0.65
2015,2,14,0.05
2015,2,15,0.05
2015,2,16,0.05
2015,2,17,0.05
2015,2,18,-1.15
2015,2,19,-1.75
2015,2,20,-2.25
2015,2,21,-2.85
2015,2,22,-2.85
2015,2,23,-5.05
2015,2,24,-5.05
2015,3,1,-5.05
2015,3,2,-5.65
2015,3,3,-5.65
2015,3,4,-5.65
2015,3,5,-5.05
2015,3,6,-5.05
2015,3,7,-4.45
2015,3,8,-4.45
2015,3,9,-3.35
2015,3,10,-2.25
2015,3,11,-1.75
2015,3,12,-0.65
2015,3,13,0.05
2015,3,14,-0.65
2015,3,15,-1.15
2015,3,16,0.05
2015,3,17,0.65
2015,3,18,0.65
2015,3,19,1.15
2015,3,20,1.15
2015,3,21,2.85
2015,3,22,3.95
2015,3,23,4.45
2015,3,24,6.15
2015,4,1,8.35
2015,4,2,10.05
2015,4,3,10.05
2015,4,4,10.65
2015,4,5,11.15
2015,4,6,11.75
2015,4,7,11.15
2015,4,8,8.95
2015,4,9,8.35
2015,4,10,8.35
2015,4,11,7.85
2015,4,12,7.85
2015,4,13,6.75
2015,4,14,5.05
2015,4,15,4.45
2015,4,16,3.95
2015,4,17,2.85
2015,4,18,2.25
2015,4,19,2.25
2015,4,20,1.75
2015,4,21,0.65
2015,4,22,0.65
2015,4,23,0.65
2015,4,24,-1.15
2015,5,1,-2.25
2015,5,2,-3.35
2015,5,3,-4.45
2015,5,4,-5.05
2015,5,5,-6.15
2015,5,6,-7.85
2015,5,7,-8.35
2015,5,8,-8.95
2015,5,9,-9.45
2015,5,10,-9.45
2015,5,11,-10.05
2015,5,12,-10.65
2015,5,13,-10.65
2015,5,14,-10.65
2015,5,15,-10.65
2015,5,16,-10.65
2015,5,17,-11.15
2015,5,18,-12.25
2015,5,19,-12.25
2015,5,20,-12.85
2015,5,21,-12.85
2015,5,22,-12.25
2015,5,23,-12.25
2015,5,24,-12.25
2015,6,1,-12.25
2015,6,2,-12.25
2015,6,3,-11.75
2015,6,4,-11.75
2015,6,5,-11.75
2015,6,6,-11.75
2015,6,7,-11.75
2015,6,8,-11.15
2015,6,9,-11.75
2015,6,10,-11.15
2015,6,11,-10.65
2015,6,12,-9.45
2015,6,13,-9.45
2015,6,14,-9.45
2015,6,15,-8.95
2015,6,16,-8.95
2015,6,17,-8.95
2015,6,18,-8.95
2015,6,19,-9.45
2015,6,20,-8.95
2015,6,21,-8.95
2015,6,22,-8.95
2015,6,23,-8.95
2015,6,24,-7.85
2015,7,1,-8.35
2015,7,2,-8.35
2015,7,3,-9.45
2015,7,4,-10.05
2015,7,5,-10.05
2015,7,6,-10.05
2015,7,7,-10.05
2015,7,8,-10.65
2015,7,9,-11.75
2015,7,10,-11.75
2015,7,11,-13.35
2015,7,12,-14.45
2015,7,13,-14.45
2015,7,14,-14.45
2015,7,15,-15.05
2015,7,16,-14.45
2015,7,17,-14.45
2015,7,18,-15.65
2015,7,19,-15.65
2015,7,20,-16.15
2015,7,21,-16.75
2015,7,22,-16.75
2015,7,23,-16.75
2015,7,24,-16.15
2015,8,1,-15.05
2015,8,2,-13.95
2015,8,3,-13.95
2015,8,4,-13.95
2015,8,5,-13.95
2015,8,6,-14.45
2015,8,7,-14.45
2015,8,8,-13.35
2015,8,9,-13.95
2015,8,10,-12.85
2015,8,11,-11.75
2015,8,12,-10.05
2015,8,13,-10.65
2015,8,14,-10.05
2015,8,15,-10.65
2015,8,16,-10.05
