"Ano","Dia","Hora","Temperatura"
2015,1,1,-6.15
2015,1,2,-5.65
2015,1,3,-5.65
2015,1,4,-5.65
2015,1,5,-6.15
2015,1,6,-5.65
2015,1,7,-5.05
2015,1,8,-5.05
2015,1,9,-6.15
2015,1,10,-5.65
2015,1,11,-5.05
2015,1,12,-2.85
2015,1,13,-1.15
2015,1,14,0.65
2015,1,15,1.75
2015,1,16,2.25
2015,1,17,2.25
2015,1,18,1.15
2015,1,19,1.15
2015,1,20,1.15
2015,1,21,1.15
2015,1,22,1.15
2015,1,23,1.15
2015,1,24,1.15
2015,2,1,1.15
2015,2,2,0.05
2015,2,3,0.05
2015,2,4,-0.65
2015,2,5,0.05
2015,2,6,0.05
2015,2,7,0.05
2015,2,8,0.05
2015,2,9,0.05
2015,2,10,-0.65
2015,2,11,-0.65
2015,2,12,0.05
2015,2,13,0.05
2015,2,14,0.65
2015,2,15,0.65
2015,2,16,0.65
2015,2,17,0.05
2015,2,18,0.05
2015,2,19,0.05
2015,2,20,-0.65
2015,2,21,-0.65
2015,2,22,-0.65
2015,2,23,-0.65
2015,2,24,-1.15
2015,3,1,-3.95
2015,3,2,-6.15
2015,3,3,-6.15
2015,3,4,-6.75
2015,3,5,-6.15
2015,3,6,-5.65
2015,3,7,-5.65
2015,3,8,-5.65
2015,3,9,-4.45
2015,3,10,-1.75
2015,3,11,-0.65
2015,3,12,-0.65
2015,3,13,-1.15
2015,3,14,-0.65
2015,3,15,0.05
2015,3,16,1.15
2015,3,17,1.75
2015,3,18,2.25
2015,3,19,2.85
2015,3,20,2.85
2015,3,21,3.95
2015,3,22,3.95
2015,3,23,3.95
2015,3,24,3.95
2015,4,1,5.05
2015,4,2,6.15
2015,4,3,6.15
2015,4,4,5.05
2015,4,5,3.95
2015,4,6,3.95
2015,4,7,3.95
2015,4,8,7.25
2015,4,9,7.85
2015,4,10,9.45
2015,4,11,10.05
2015,4,12,13.35
2015,4,13,13.95
2015,4,14,13.35
2015,4,15,11.75
2015,4,16,11.75
2015,4,17,12.85
2015,4,18,11.75
2015,4,19,10.65
2015,4,20,8.35
2015,4,21,7.85
2015,4,22,5.05
2015,4,23,3.95
2015,4,24,3.35
2015,5,1,3.35
2015,5,2,2.25
2015,5,3,1.15
2015,5,4,0.05
2015,5,5,-1.15
2015,5,6,-2.25
2015,5,7,-2.85
2015,5,8,-4.45
2015,5,9,-5.05
2015,5,10,-5.65
2015,5,11,-5.65
2015,5,12,-5.65
2015,5,13,-5.05
2015,5,14,-6.75
2015,5,15,-6.75
2015,5,16,-7.25
2015,5,17,-8.95
2015,5,18,-9.45
2015,5,19,-10.05
2015,5,20,-9.45
2015,5,21,-9.45
2015,5,22,-10.65
2015,5,23,-10.05
2015,5,24,-10.05
2015,6,1,-10.05
2015,6,2,-10.05
2015,6,3,-10.65
2015,6,4,-11.15
2015,6,5,-10.65
2015,6,6,-10.65
2015,6,7,-10.65
2015,6,8,-10.65
2015,6,9,-11.15
2015,6,10,-10.61
2015,6,11,-10.01
2015,6,12,-9.45
2015,6,13,-9.41
2015,6,14,-8.95
2015,6,15,-7.25
2015,6,16,-7.85
2015,6,17,-7.85
2015,6,18,-8.35
2015,6,19,-8.95
2015,6,20,-10.05
2015,6,21,-10.05
2015,6,22,-10.05
2015,6,23,-10.05
2015,6,24,-10.05
2015,7,1,-10.05
2015,7,2,-9.45
2015,7,3,-8.95
2015,7,4,-8.95
2015,7,5,-9.45
2015,7,6,-10.05
2015,7,7,-10.05
2015,7,8,-10.05
2015,7,9,-10.05
2015,7,10,-10.61
2015,7,11,-9.41
2015,7,12,-10.65
2015,7,13,-10.05
2015,7,14,-11.75
2015,7,15,-12.25
2015,7,16,-13.35
2015,7,17,-14.45
2015,7,18,-15.05
2015,7,19,-15.65
2015,7,20,-15.65
2015,7,21,-15.65
2015,7,22,-15.65
2015,7,23,-16.75
2015,7,24,-16.75
2015,8,1,-17.25
2015,8,2,-16.75
2015,8,3,-16.15
2015,8,4,-16.75
2015,8,5,-16.75
2015,8,6,-17.25
2015,8,7,-16.75
2015,8,8,-16.75
2015,8,9,-18.95
2015,8,10,-15.65
2015,8,11,-12.25
2015,8,12,-10.65
2015,8,13,-9.45
2015,8,14,-8.95
2015,8,15,-8.35
2015,8,16,-7.85
2015,8,17,-7.85
2015,8,18,-8.35
2015,8,19,-8.95
2015,8,20,-8.95
2015,8,21,-8.95
2015,8,22,-9.45
2015,8,23,-9.45
2015,8,24,-8.95
2015,9,1,-8.35
2015,9,2,-8.35
2015,9,3,-8.91
2015,9,4,-8.31
2015,9,5,-7.25
2015,9,6,-7.25
2015,9,7,-7.25
2015,9,8,-6.75
2015,9,9,-6.15
2015,9,10,-6.15
2015,9,11,-4.45
2015,9,12,-4.45
2015,9,13,-4.45
2015,9,14,-5.05
2015,9,15,-4.45
2015,9,16,-4.45
2015,9,17,-5.65
2015,9,18,-6.75
2015,9,19,-6.75
2015,9,20,-7.25
2015,9,21,-8.35
2015,9,22,-9.45
2015,9,23,-9.45
2015,9,24,-10.05
2015,10,1,-11.15
2015,10,2,-11.15
2015,10,3,-11.75
2015,10,4,-12.25
2015,10,5,-12.85
2015,10,6,-13.35
2015,10,7,-13.95
2015,10,8,-15.65
2015,10,9,-15.65
2015,10,10,-14.45
2015,10,11,-13.35
2015,10,12,-11.15
2015,10,13,-10.05
2015,10,14,-9.45
2015,10,15,-8.95
2015,10,16,-8.35
2015,10,17,-8.35
2015,10,18,-8.95
2015,10,19,-10.65
2015,10,20,-10.65
2015,10,21,-10.65
2015,10,22,-11.15
2015,10,23,-12.25
2015,10,24,-11.15
2015,11,1,-11.15
2015,11,2,-10.05
2015,11,3,-9.45
2015,11,4,-8.95
2015,11,5,-8.95
2015,11,6,-8.35
2015,11,7,-7.85
2015,11,8,-7.25
2015,11,9,-6.75
2015,11,10,-5.65
2015,11,11,-5.05
2015,11,12,-3.35
2015,11,13,-2.25
2015,11,14,-1.75
2015,11,15,-0.65
2015,11,16,0.05
2015,11,17,0.65
2015,11,18,0.65
2015,11,19,0.05
2015,11,20,0.65
2015,11,21,0.05
2015,11,22,1.75
2015,11,23,1.15
2015,11,24,0.65
2015,12,1,0.65
2015,12,2,0.65
2015,12,3,1.75
2015,12,4,0.05
2015,12,5,0.05
2015,12,6,-0.65
2015,12,7,0.05
2015,12,8,-0.65
2015,12,9,-0.65
2015,12,10,-0.61
2015,12,11,0.05
2015,12,12,0.65
2015,12,13,1.15
2015,12,14,1.11
2015,12,15,1.43
2015,12,16,1.75
2015,12,17,1.15
2015,12,18,1.15
2015,12,19,1.15
2015,12,20,0.65
2015,12,21,0.05
2015,12,22,-1.15
2015,12,23,-1.75
2015,12,24,-3.95
2015,13,1,-5.65
2015,13,2,-6.75
2015,13,3,-7.85
2015,13,4,-10.05
2015,13,5,-10.65
2015,13,6,-11.75
2015,13,7,-12.25
2015,13,8,-13.35
2015,13,9,-13.35
2015,13,10,-13.95
2015,13,11,-13.35
2015,13,12,-11.75
2015,13,13,-11.75
2015,13,14,-11.75
2015,13,15,-10.65
2015,13,16,-10.65
2015,13,17,-11.15
2015,13,18,-12.85
2015,13,19,-14.45
2015,13,20,-16.75
2015,13,21,-18.35
2015,13,22,-19.45
2015,13,23,-20.65
2015,13,24,-21.15
2015,14,1,-21.15
2015,14,2,-21.75
2015,14,3,-21.15
2015,14,4,-22.25
2015,14,5,-22.25
2015,14,6,-22.85
2015,14,7,-21.75
2015,14,8,-22.25
2015,14,9,-22.85
2015,14,10,-20.65
2015,14,11,-18.95
2015,14,12,-15.65
2015,14,13,-11.75
2015,14,14,-6.75
2015,14,15,-5.05
2015,14,16,-3.35
2015,14,17,-2.85
2015,14,18,-6.15
2015,14,19,-8.35
2015,14,20,-10.65
2015,14,21,-12.85
2015,14,22,-13.35
2015,14,23,-13.95
2015,14,24,-15.05
2015,15,1,-15.05
2015,15,2,-15.05
2015,15,3,-13.35
2015,15,4,-12.85
2015,15,5,-13.95
2015,15,6,-12.25
2015,15,7,-11.75
2015,15,8,-14.45
2015,15,9,-14.45
2015,15,10,-12.85
2015,15,11,-11.15
2015,15,12,-8.35
2015,15,13,-5.65
2015,15,14,-3.35
2015,15,15,-1.75
2015,15,16,-1.15
2015,15,17,-0.65
2015,15,18,-1.15
2015,15,19,-3.35
2015,15,20,-2.25
2015,15,21,-1.75
2015,15,22,-2.25
2015,15,23,-3.35
2015,15,24,-3.35
2015,16,1,-3.95
2015,16,2,-2.25
2015,16,3,-2.25
2015,16,4,-1.75
2015,16,5,-1.15
2015,16,6,-0.65
2015,16,7,-0.65
2015,16,8,-0.65
2015,16,9,-0.65
2015,16,10,-0.65
2015,16,11,-1.15
2015,16,12,-1.15
2015,16,13,-2.81
2015,16,14,-5.01
2015,16,15,-4.45
2015,16,16,-5.65
2015,16,17,-6.75
2015,16,18,-7.25
2015,16,19,-8.95
2015,16,20,-9.45
2015,16,21,-10.65
2015,16,22,-11.75
2015,16,23,-14.45
2015,16,24,-15.65
2015,17,1,-16.15
2015,17,2,-16.75
2015,17,3,-16.75
2015,17,4,-17.85
2015,17,5,-17.25
2015,17,6,-17.25
2015,17,7,-20.05
2015,17,8,-19.45
2015,17,9,-19.45
2015,17,10,-16.75
2015,17,11,-14.45
2015,17,12,-9.45
2015,17,13,-6.75
2015,17,14,-5.05
2015,17,15,-2.25
2015,17,16,-1.75
2015,17,17,-2.25
2015,17,18,-2.25
2015,17,19,-3.35
2015,17,20,-3.35
2015,17,21,-2.85
2015,17,22,-2.85
2015,17,23,-2.85
2015,17,24,-2.85
2015,18,1,-2.25
2015,18,2,-1.75
2015,18,3,-1.15
2015,18,4,-1.15
2015,18,5,-1.15
2015,18,6,0.05
2015,18,7,-0.65
2015,18,8,-1.15
2015,18,9,-1.15
2015,18,10,0.65
2015,18,11,1.75
2015,18,12,3.35
2015,18,13,4.45
2015,18,14,5.05
2015,18,15,5.05
2015,18,16,5.05
2015,18,17,4.45
2015,18,18,3.35
2015,18,19,0.65
2015,18,20,-1.75
2015,18,21,-3.95
2015,18,22,-3.35
2015,18,23,0.65
2015,18,24,0.65
2015,19,1,-2.25
2015,19,2,1.75
2015,19,3,2.25
2015,19,4,1.75
2015,19,5,1.75
2015,19,6,0.65
2015,19,7,0.65
2015,19,8,0.65
2015,19,9,0.65
2015,19,10,0.65
2015,19,11,1.15
2015,19,12,1.15
2015,19,13,1.15
2015,19,14,0.65
2015,19,15,0.65
2015,19,16,0.65
2015,19,17,0.65
2015,19,18,0.05
2015,19,19,0.05
2015,19,20,-0.65
2015,19,21,-1.15
2015,19,22,-1.75
2015,19,23,-1.75
2015,19,24,-2.25
2015,20,1,-2.25
2015,20,2,-2.25
2015,20,3,-2.85
2015,20,4,-2.85
2015,20,5,-3.35
2015,20,6,-3.35
2015,20,7,-3.35
2015,20,8,-3.95
2015,20,9,-3.95
2015,20,10,-3.35
2015,20,11,-3.35
2015,20,12,-2.85
2015,20,13,-2.85
2015,20,14,-1.75
2015,20,15,-1.15
2015,20,16,-2.25
2015,20,17,-2.25
2015,20,18,-3.95
2015,20,19,-5.05
2015,20,20,-5.65
2015,20,21,-6.15
2015,20,22,-6.75
2015,20,23,-7.85
2015,20,24,-11.15
2015,21,1,-11.15
2015,21,2,-12.25
2015,21,3,-13.35
2015,21,4,-14.45
2015,21,5,-15.65
2015,21,6,-15.65
2015,21,7,-16.15
2015,21,8,-15.65
2015,21,9,-15.65
2015,21,10,-13.95
2015,21,11,-12.25
2015,21,12,-10.05
2015,21,13,-7.85
2015,21,14,-5.65
2015,21,15,-3.35
2015,21,16,-2.85
2015,21,17,-3.95
2015,21,18,-4.45
2015,21,19,-4.45
2015,21,20,-6.15
2015,21,21,-6.75
2015,21,22,-7.85
2015,21,23,-6.75
2015,21,24,-6.15
2015,22,1,-5.65
2015,22,2,-5.65
2015,22,3,-5.05
2015,22,4,-5.05
2015,22,5,-5.05
2015,22,6,-4.45
2015,22,7,-4.45
2015,22,8,-3.95
2015,22,9,-3.95
2015,22,10,-2.85
2015,22,11,-2.85
2015,22,12,-2.85
2015,22,13,-2.85
2015,22,14,-1.75
2015,22,15,-1.15
2015,22,16,-0.65
2015,22,17,-0.65
2015,22,18,-1.75
2015,22,19,-5.65
2015,22,20,-5.65
2015,22,21,-7.85
2015,22,22,-6.15
2015,22,23,-7.85
2015,22,24,-8.35
2015,23,1,-12.25
2015,23,2,-12.25
2015,23,3,-13.35
2015,23,4,-13.95
2015,23,5,-11.75
2015,23,6,-10.05
2015,23,7,-9.45
2015,23,8,-8.35
2015,23,9,-8.35
2015,23,10,-7.25
2015,23,11,-6.75
2015,23,12,-3.95
2015,23,13,-1.75
2015,23,14,0.05
2015,23,15,1.75
2015,23,16,2.85
2015,23,17,2.85
2015,23,18,1.75
2015,23,19,0.05
2015,23,20,-1.15
2015,23,21,-1.15
2015,23,22,-1.15
2015,23,23,-2.25
2015,23,24,-2.25
2015,24,1,-2.25
2015,24,2,-2.25
2015,24,3,-2.25
2015,24,4,-1.75
2015,24,5,-1.75
2015,24,6,-1.75
2015,24,7,-2.25
2015,24,8,-2.25
2015,24,9,-1.75
2015,24,10,-1.15
2015,24,11,-0.65
2015,24,12,0.65
2015,24,13,2.25
2015,24,14,3.95
2015,24,15,3.95
2015,24,16,3.35
2015,24,17,2.25
2015,24,18,0.05
2015,24,19,-0.65
2015,24,20,-0.65
2015,24,21,-0.65
2015,24,22,-0.65
2015,24,23,0.05
2015,24,24,0.05
2015,25,1,0.05
2015,25,2,0.05
2015,25,3,0.65
2015,25,4,0.65
2015,25,5,1.15
2015,25,6,1.15
2015,25,7,0.65
2015,25,8,-0.65
2015,25,9,-2.25
2015,25,10,-2.85
2015,25,11,-3.35
2015,25,12,-2.25
2015,25,13,-2.25
2015,25,14,-2.25
2015,25,15,-2.85
2015,25,16,-3.95
2015,25,17,-4.45
2015,25,18,-6.75
2015,25,19,-7.25
2015,25,20,-8.35
2015,25,21,-8.35
2015,25,22,-8.95
2015,25,23,-8.95
2015,25,24,-9.45
2015,26,1,-9.45
2015,26,2,-10.05
2015,26,3,-10.05
2015,26,4,-10.05
2015,26,5,-10.05
2015,26,6,-10.05
2015,26,7,-10.05
2015,26,8,-10.65
2015,26,9,-10.65
2015,26,10,-10.05
2015,26,11,-10.01
2015,26,12,-8.91
2015,26,13,-8.31
2015,26,14,-7.81
2015,26,15,-7.21
2015,26,16,-7.21
2015,26,17,-7.21
2015,26,18,-7.21
2015,26,19,-7.21
2015,26,20,-7.85
2015,26,21,-7.85
2015,26,22,-7.85
2015,26,23,-7.25
2015,26,24,-7.85
2015,27,1,-7.85
2015,27,2,-7.25
2015,27,3,-7.25
2015,27,4,-7.85
2015,27,5,-7.85
2015,27,6,-7.85
2015,27,7,-8.35
2015,27,8,-8.35
2015,27,9,-8.95
2015,27,10,-7.85
2015,27,11,-7.85
2015,27,12,-8.35
2015,27,13,-7.25
2015,27,14,-7.25
2015,27,15,-7.25
2015,27,16,-7.85
2015,27,17,-9.45
2015,27,18,-10.65
2015,27,19,-11.15
2015,27,20,-11.15
2015,27,21,-10.65
2015,27,22,-10.05
2015,27,23,-11.15
2015,27,24,-12.85
2015,28,1,-13.35
2015,28,2,-14.45
2015,28,3,-15.65
2015,28,4,-16.15
2015,28,5,-17.25
2015,28,6,-17.85
2015,28,7,-18.95
2015,28,8,-19.45
2015,28,9,-22.25
2015,28,10,-16.75
2015,28,11,-10.65
2015,28,12,-6.75
2015,28,13,-4.45
2015,28,14,-2.85
2015,28,15,-2.25
2015,28,16,-1.15
2015,28,17,-2.85
2015,28,18,-3.95
2015,28,19,-6.15
2015,28,20,-9.45
2015,28,21,-13.35
2015,28,22,-15.05
2015,28,23,-16.75
2015,28,24,-16.75
2015,29,1,-18.35
2015,29,2,-19.45
2015,29,3,-22.85
2015,29,4,-21.75
2015,29,5,-20.65
2015,29,6,-21.75
2015,29,7,-21.15
2015,29,8,-21.15
2015,29,9,-17.85
2015,29,10,-16.15
2015,29,11,-14.45
2015,29,12,-12.25
2015,29,13,-9.45
2015,29,14,-3.35
2015,29,15,-1.15
2015,29,16,0.65
2015,29,17,-0.65
2015,29,18,-2.25
2015,29,19,-2.25
2015,29,20,-2.25
2015,29,21,-2.85
2015,29,22,-2.25
2015,29,23,-2.25
2015,29,24,-2.85
2015,30,1,-2.85
2015,30,2,-3.35
2015,30,3,-3.95
2015,30,4,-3.35
2015,30,5,-2.25
2015,30,6,-2.25
2015,30,7,-1.15
2015,30,8,-1.15
2015,30,9,-1.75
2015,30,10,-2.25
2015,30,11,-1.75
2015,30,12,-1.15
2015,30,13,-2.81
2015,30,14,-3.95
2015,30,15,-5.65
2015,30,16,-7.25
2015,30,17,-8.35
2015,30,18,-8.35
2015,30,19,-9.45
2015,30,20,-10.05
2015,30,21,-10.65
2015,30,22,-11.15
2015,30,23,-11.75
2015,30,24,-12.25
2015,31,1,-12.85
2015,31,2,-12.85
2015,31,3,-13.35
2015,31,4,-13.95
2015,31,5,-13.95
2015,31,6,-14.45
2015,31,7,-16.75
2015,31,8,-16.15
2015,31,9,-17.85
2015,31,10,-13.35
2015,31,11,-10.65
2015,31,12,-8.95
2015,31,13,-7.85
2015,31,14,-7.25
2015,31,15,-6.75
2015,31,16,-5.65
2015,31,17,-5.05
2015,31,18,-5.65
2015,31,19,-9.45
2015,31,20,-14.45
2015,31,21,-13.95
2015,31,22,-15.65
2015,31,23,-13.35
2015,31,24,-11.15
2015,32,1,-10.65
2015,32,2,-10.05
2015,32,3,-9.45
2015,32,4,-8.35
2015,32,5,-8.35
2015,32,6,-7.85
2015,32,7,-7.25
2015,32,8,-6.75
2015,32,9,-6.15
2015,32,10,-5.05
2015,32,11,-3.35
2015,32,12,-4.45
2015,32,13,-3.95
2015,32,14,-3.95
2015,32,15,-4.41
2015,32,16,-5.01
2015,32,17,-5.61
2015,32,18,-6.15
2015,32,19,-6.75
2015,32,20,-6.75
2015,32,21,-7.25
2015,32,22,-7.21
2015,32,23,-7.25
2015,32,24,-7.25
2015,33,1,-6.75
2015,33,2,-6.71
2015,33,3,-6.71
2015,33,4,-5.61
2015,33,5,-6.15
2015,33,6,-6.11
2015,33,7,-5.65
2015,33,8,-5.65
2015,33,9,-5.61
2015,33,10,-6.15
2015,33,11,-7.21
2015,33,12,-6.75
2015,33,13,-8.35
2015,33,14,-7.85
2015,33,15,-8.95
2015,33,16,-10.05
2015,33,17,-11.15
2015,33,18,-11.15
2015,33,19,-11.75
2015,33,20,-11.75
2015,33,21,-11.15
2015,33,22,-10.65
2015,33,23,-10.65
2015,33,24,-10.65
2015,34,1,-11.15
2015,34,2,-11.75
2015,34,3,-12.25
2015,34,4,-12.85
2015,34,5,-14.45
2015,34,6,-16.75
2015,34,7,-18.95
2015,34,8,-20.05
2015,34,9,-22.85
2015,34,10,-19.45
2015,34,11,-16.15
2015,34,12,-9.45
2015,34,13,-7.25
2015,34,14,-6.15
2015,34,15,-5.05
2015,34,16,-4.45
2015,34,17,-3.95
2015,34,18,-4.45
2015,34,19,-6.75
2015,34,20,-13.95
2015,34,21,-15.65
2015,34,22,-17.25
2015,34,23,-18.35
2015,34,24,-15.05
2015,35,1,-12.85
2015,35,2,-11.75
2015,35,3,-10.65
2015,35,4,-10.05
2015,35,5,-8.95
2015,35,6,-8.35
2015,35,7,-6.75
2015,35,8,-7.25
2015,35,9,-6.15
2015,35,10,-4.45
2015,35,11,-3.35
2015,35,12,-2.25
2015,35,13,0.05
2015,35,14,0.65
2015,35,15,1.75
2015,35,16,2.25
2015,35,17,2.85
2015,35,18,2.25
2015,35,19,0.65
2015,35,20,0.65
2015,35,21,0.65
2015,35,22,-0.61
2015,35,23,-0.61
2015,35,24,0.05
2015,36,1,-2.25
2015,36,2,-3.35
2015,36,3,-4.45
2015,36,4,-5.05
2015,36,5,-6.75
2015,36,6,-6.75
2015,36,7,-7.85
2015,36,8,-8.35
2015,36,9,-8.95
2015,36,10,-8.95
2015,36,11,-8.95
2015,36,12,-8.95
2015,36,13,-8.35
2015,36,14,-8.95
2015,36,15,-8.95
2015,36,16,-8.95
2015,36,17,-9.45
2015,36,18,-10.05
2015,36,19,-11.75
2015,36,20,-12.25
2015,36,21,-21.15
2015,36,22,-18.95
2015,36,23,-21.75
2015,36,24,-22.25
2015,37,1,-21.15
2015,37,2,-20.65
2015,37,3,-20.65
2015,37,4,-23.35
2015,37,5,-26.15
2015,37,6,-23.95
2015,37,7,-21.15
2015,37,8,-20.65
2015,37,9,-19.45
2015,37,10,-17.85
2015,37,11,-15.65
2015,37,12,-8.35
2015,37,13,-7.25
2015,37,14,-6.15
2015,37,15,-5.65
2015,37,16,-5.05
2015,37,17,-5.05
2015,37,18,-5.05
2015,37,19,-7.25
2015,37,20,-7.25
2015,37,21,-13.95
2015,37,22,-16.75
2015,37,23,-16.75
2015,37,24,-15.05
2015,38,1,-13.95
2015,38,2,-12.25
2015,38,3,-10.65
2015,38,4,-10.05
2015,38,5,-10.05
2015,38,6,-8.95
2015,38,7,-8.35
2015,38,8,-7.85
2015,38,9,-7.25
2015,38,10,-6.75
2015,38,11,-5.65
2015,38,12,-3.35
2015,38,13,-2.85
2015,38,14,-1.75
2015,38,15,-1.15
2015,38,16,-0.65
2015,38,17,-0.65
2015,38,18,0.05
2015,38,19,0.05
2015,38,20,-0.65
2015,38,21,-0.65
2015,38,22,-1.15
2015,38,23,-1.15
2015,38,24,-0.65
2015,39,1,-0.65
2015,39,2,-1.15
2015,39,3,-1.15
2015,39,4,-1.15
2015,39,5,-1.15
2015,39,6,-1.15
2015,39,7,-1.15
2015,39,8,-1.15
2015,39,9,-1.75
2015,39,10,-0.65
2015,39,11,0.05
2015,39,12,0.65
2015,39,13,1.75
2015,39,14,2.85
2015,39,15,3.35
2015,39,16,2.85
2015,39,17,1.15
2015,39,18,-1.15
2015,39,19,-1.75
2015,39,20,-3.35
2015,39,21,-3.95
2015,39,22,-5.05
2015,39,23,-6.15
2015,39,24,-7.25
2015,40,1,-7.25
2015,40,2,-7.25
2015,40,3,-7.85
2015,40,4,-8.35
2015,40,5,-8.35
2015,40,6,-8.35
2015,40,7,-8.35
2015,40,8,-8.35
2015,40,9,-8.35
2015,40,10,-8.35
2015,40,11,-7.81
2015,40,12,-7.21
2015,40,13,-7.25
2015,40,14,-6.75
2015,40,15,-6.71
2015,40,16,-6.75
2015,40,17,-6.75
2015,40,18,-6.75
2015,40,19,-6.75
2015,40,20,-6.75
2015,40,21,-6.75
2015,40,22,-6.75
2015,40,23,-6.75
2015,40,24,-6.75
2015,41,1,-6.75
2015,41,2,-6.75
2015,41,3,-7.25
2015,41,4,-7.25
2015,41,5,-7.25
2015,41,6,-7.25
2015,41,7,-7.85
2015,41,8,-7.85
2015,41,9,-8.35
2015,41,10,-7.85
2015,41,11,-7.85
2015,41,12,-6.75
2015,41,13,-6.75
2015,41,14,-6.15
2015,41,15,-6.15
2015,41,16,-6.75
2015,41,17,-6.75
2015,41,18,-6.75
2015,41,19,-6.75
2015,41,20,-6.75
2015,41,21,-6.75
2015,41,22,-6.75
2015,41,23,-6.75
2015,41,24,-6.75
2015,42,1,-7.25
2015,42,2,-7.25
2015,42,3,-8.95
2015,42,4,-11.15
2015,42,5,-12.25
2015,42,6,-15.05
2015,42,7,-13.95
2015,42,8,-13.95
2015,42,9,-15.05
2015,42,10,-12.85
2015,42,11,-8.95
2015,42,12,-7.25
2015,42,13,-5.05
2015,42,14,-2.85
2015,42,15,-1.15
2015,42,16,0.65
2015,42,17,1.75
2015,42,18,2.25
2015,42,19,1.15
2015,42,20,0.65
2015,42,21,0.65
2015,42,22,-1.15
2015,42,23,-0.65
2015,42,24,-1.75
2015,43,1,-1.15
2015,43,2,-1.75
2015,43,3,-1.75
2015,43,4,-2.25
2015,43,5,-2.25
2015,43,6,-2.25
2015,43,7,-1.75
2015,43,8,-1.75
2015,43,9,-2.25
2015,43,10,-3.35
2015,43,11,-3.35
2015,43,12,-3.35
2015,43,13,-2.85
2015,43,14,-2.85
2015,43,15,-5.05
2015,43,16,-6.15
2015,43,17,-6.15
2015,43,18,-7.25
2015,43,19,-9.45
2015,43,20,-11.75
2015,43,21,-13.35
2015,43,22,-15.05
2015,43,23,-15.65
2015,43,24,-16.75
2015,44,1,-16.75
2015,44,2,-16.75
2015,44,3,-16.75
2015,44,4,-17.25
2015,44,5,-17.25
2015,44,6,-17.85
2015,44,7,-18.35
2015,44,8,-18.35
2015,44,9,-18.95
2015,44,10,-17.25
2015,44,11,-15.65
2015,44,12,-14.45
2015,44,13,-13.35
2015,44,14,-12.85
2015,44,15,-11.15
2015,44,16,-10.05
2015,44,17,-9.45
2015,44,18,-9.45
2015,44,19,-10.65
2015,44,20,-13.35
2015,44,21,-16.15
2015,44,22,-19.45
2015,44,23,-16.75
2015,44,24,-17.85
2015,45,1,-16.15
2015,45,2,-15.65
2015,45,3,-14.45
2015,45,4,-13.35
2015,45,5,-12.25
2015,45,6,-11.75
2015,45,7,-11.15
2015,45,8,-10.65
2015,45,9,-8.95
2015,45,10,-6.75
2015,45,11,-6.75
2015,45,12,-6.15
2015,45,13,-5.05
2015,45,14,-4.45
2015,45,15,-3.95
2015,45,16,-3.95
2015,45,17,-3.35
2015,45,18,-5.61
2015,45,19,-6.11
2015,45,20,-7.81
2015,45,21,-9.45
2015,45,22,-10.05
