"Ano","Dia","Hora","Temperatura"
2015,1,1,-1.15
2015,1,2,-1.75
2015,1,3,-1.75
2015,1,4,-1.75
2015,1,5,-1.75
2015,1,6,-1.75
2015,1,7,-2.25
2015,1,8,-1.75
2015,1,9,-1.75
2015,1,10,-0.65
2015,1,11,0.65
2015,1,12,1.15
2015,1,13,2.25
2015,1,14,3.35
2015,1,15,3.95
2015,1,16,4.45
2015,1,17,3.95
2015,1,18,3.95
2015,1,19,3.95
2015,1,20,3.95
2015,1,21,3.35
2015,1,22,3.95
2015,1,23,3.35
2015,1,24,2.85
2015,2,1,2.25
2015,2,2,1.75
2015,2,3,2.85
2015,2,4,2.25
2015,2,5,2.85
2015,2,6,2.85
2015,2,7,2.85
2015,2,8,2.85
2015,2,9,2.85
2015,2,10,3.95
2015,2,11,5.05
2015,2,12,5.65
2015,2,13,6.15
2015,2,14,6.75
2015,2,15,6.75
2015,2,16,6.75
2015,2,17,6.15
2015,2,18,5.05
2015,2,19,5.05
2015,2,20,4.45
2015,2,21,4.45
2015,2,22,4.45
2015,2,23,3.35
2015,2,24,2.85
2015,3,1,1.75
2015,3,2,1.75
2015,3,3,0.65
2015,3,4,0.65
2015,3,5,0.05
2015,3,6,-0.65
2015,3,7,-1.15
2015,3,8,-0.65
2015,3,9,0.05
2015,3,10,1.75
2015,3,11,2.85
2015,3,12,3.95
2015,3,13,3.95
2015,3,14,4.45
2015,3,15,4.45
2015,3,16,3.95
2015,3,17,3.95
2015,3,18,4.45
2015,3,19,5.65
2015,3,20,6.75
2015,3,21,6.75
2015,3,22,7.85
2015,3,23,7.85
2015,3,24,7.85
2015,4,1,6.15
2015,4,2,6.75
2015,4,3,6.75
2015,4,4,7.25
2015,4,5,7.25
2015,4,6,6.75
2015,4,7,7.85
2015,4,8,7.85
2015,4,9,7.85
2015,4,10,7.85
2015,4,11,8.35
2015,4,12,8.95
2015,4,13,10.05
2015,4,14,10.65
2015,4,15,12.25
2015,4,16,12.25
2015,4,17,11.15
2015,4,18,11.15
2015,4,19,10.65
2015,4,20,10.05
2015,4,21,10.05
2015,4,22,12.25
2015,4,23,12.25
2015,4,24,11.75
2015,5,1,10.65
2015,5,2,9.45
2015,5,3,8.35
2015,5,4,7.85
2015,5,5,6.75
2015,5,6,5.65
2015,5,7,5.65
2015,5,8,5.05
2015,5,9,4.45
2015,5,10,4.45
2015,5,11,4.45
2015,5,12,3.95
2015,5,13,3.95
2015,5,14,3.35
2015,5,15,3.35
2015,5,16,2.25
2015,5,17,1.15
2015,5,18,0.65
2015,5,19,0.05
2015,5,20,-1.15
2015,5,21,-2.25
2015,5,22,-2.85
2015,5,23,-4.45
2015,5,24,-5.05
2015,6,1,-5.05
2015,6,2,-5.65
2015,6,3,-6.15
2015,6,4,-6.75
2015,6,5,-6.75
2015,6,6,-6.15
2015,6,7,-6.15
2015,6,8,-6.15
2015,6,9,-6.15
2015,6,10,-6.75
2015,6,11,-6.75
2015,6,12,-6.75
2015,6,13,-6.75
2015,6,14,-5.65
2015,6,15,-5.65
2015,6,16,-5.65
2015,6,17,-5.65
2015,6,18,-5.65
2015,6,19,-6.15
2015,6,20,-6.15
2015,6,21,-5.65
2015,6,22,-5.65
2015,6,23,-5.65
2015,6,24,-5.65
2015,7,1,-6.15
2015,7,2,-6.15
2015,7,3,-6.15
2015,7,4,-5.65
2015,7,5,-5.65
2015,7,6,-5.65
2015,7,7,-5.05
2015,7,8,-5.65
2015,7,9,-5.65
2015,7,10,-5.65
2015,7,11,-4.45
2015,7,12,-3.95
2015,7,13,-4.45
2015,7,14,-4.45
2015,7,15,-4.45
2015,7,16,-5.65
2015,7,17,-5.65
2015,7,18,-6.75
2015,7,19,-7.85
2015,7,20,-9.45
2015,7,21,-10.65
2015,7,22,-11.15
2015,7,23,-11.75
2015,7,24,-12.25
2015,8,1,-12.25
2015,8,2,-12.85
2015,8,3,-12.85
2015,8,4,-12.85
2015,8,5,-12.85
2015,8,6,-12.85
2015,8,7,-12.25
2015,8,8,-12.25
2015,8,9,-11.75
2015,8,10,-10.65
2015,8,11,-9.45
2015,8,12,-8.35
2015,8,13,-7.25
2015,8,14,-6.15
2015,8,15,-6.15
2015,8,16,-5.65
2015,8,17,-6.75
2015,8,18,-6.75
2015,8,19,-7.25
2015,8,20,-7.25
2015,8,21,-7.85
2015,8,22,-7.85
2015,8,23,-7.25
2015,8,24,-6.75
2015,9,1,-6.75
2015,9,2,-5.65
2015,9,3,-4.45
2015,9,4,-2.85
2015,9,5,-2.25
2015,9,6,-1.75
2015,9,7,-2.25
2015,9,8,-2.25
2015,9,9,-3.95
2015,9,10,-3.95
2015,9,11,-3.35
2015,9,12,-2.25
2015,9,13,-1.75
2015,9,14,0.05
2015,9,15,0.65
2015,9,16,0.65
2015,9,17,0.05
2015,9,18,0.05
2015,9,19,-0.65
2015,9,20,-0.65
2015,9,21,-1.75
2015,9,22,-2.25
2015,9,23,-2.85
2015,9,24,-3.95
2015,10,1,-4.45
2015,10,2,-5.05
2015,10,3,-5.65
2015,10,4,-6.15
2015,10,5,-6.75
2015,10,6,-7.25
2015,10,7,-7.25
2015,10,8,-7.85
2015,10,9,-7.85
2015,10,10,-7.85
2015,10,11,-7.25
2015,10,12,-6.75
2015,10,13,-6.15
2015,10,14,-5.65
2015,10,15,-5.05
2015,10,16,-4.45
2015,10,17,-5.05
2015,10,18,-5.65
2015,10,19,-6.15
2015,10,20,-6.15
2015,10,21,-6.75
2015,10,22,-6.75
2015,10,23,-7.25
2015,10,24,-7.25
2015,11,1,-6.75
2015,11,2,-6.75
2015,11,3,-6.15
2015,11,4,-5.65
2015,11,5,-6.15
2015,11,6,-6.15
2015,11,7,-5.65
2015,11,8,-5.65
2015,11,9,-6.15
2015,11,10,-3.95
2015,11,11,-2.85
2015,11,12,-1.15
2015,11,13,-0.65
2015,11,14,0.65
2015,11,15,1.75
2015,11,16,2.85
2015,11,17,2.85
2015,11,18,2.25
2015,11,19,2.25
2015,11,20,2.25
2015,11,21,2.25
2015,11,22,2.25
2015,11,23,1.75
2015,11,24,2.25
2015,12,1,2.25
2015,12,2,2.25
2015,12,3,2.25
2015,12,4,2.25
2015,12,5,2.25
2015,12,6,2.25
2015,12,7,2.25
2015,12,8,2.25
2015,12,9,3.35
2015,12,10,2.25
2015,12,11,1.15
2015,12,12,1.75
2015,12,13,2.25
2015,12,14,2.25
2015,12,15,2.85
2015,12,16,2.85
2015,12,17,2.85
2015,12,18,2.25
2015,12,19,3.35
2015,12,20,3.95
2015,12,21,4.45
2015,12,22,3.95
2015,12,23,3.95
2015,12,24,3.35
2015,13,1,2.85
2015,13,2,2.85
2015,13,3,2.85
2015,13,4,2.25
2015,13,5,2.25
2015,13,6,1.75
2015,13,7,0.65
2015,13,8,0.05
2015,13,9,-1.75
2015,13,10,-1.75
2015,13,11,-2.25
2015,13,12,-2.25
2015,13,13,-2.85
2015,13,14,-3.35
2015,13,15,-2.85
2015,13,16,-2.85
2015,13,17,-3.95
2015,13,18,-4.45
2015,13,19,-5.65
2015,13,20,-6.15
2015,13,21,-6.75
2015,13,22,-6.75
2015,13,23,-6.75
2015,13,24,-7.25
2015,14,1,-6.75
2015,14,2,-6.75
2015,14,3,-6.75
2015,14,4,-6.75
2015,14,5,-6.75
2015,14,6,-6.75
2015,14,7,-6.75
2015,14,8,-6.75
2015,14,9,-6.15
2015,14,10,-4.45
2015,14,11,-2.25
2015,14,12,-1.15
2015,14,13,-0.65
2015,14,14,0.05
2015,14,15,0.65
2015,14,16,0.65
2015,14,17,0.05
2015,14,18,-0.65
2015,14,19,-0.65
2015,14,20,-0.65
2015,14,21,-0.65
2015,14,22,-0.65
2015,14,23,-0.65
2015,14,24,-0.65
2015,15,1,-0.65
2015,15,2,-1.75
2015,15,3,-1.15
2015,15,4,-2.25
2015,15,5,-1.75
2015,15,6,-2.25
2015,15,7,-1.75
2015,15,8,-2.25
2015,15,9,-2.25
2015,15,10,-1.75
2015,15,11,-1.15
2015,15,12,-1.15
2015,15,13,0.65
2015,15,14,1.15
2015,15,15,1.75
2015,15,16,1.75
2015,15,17,1.75
2015,15,18,0.65
2015,15,19,0.65
2015,15,20,0.05
2015,15,21,0.05
2015,15,22,0.05
2015,15,23,0.05
2015,15,24,0.05
2015,16,1,0.05
2015,16,2,-1.15
2015,16,3,-0.65
2015,16,4,-0.65
2015,16,5,-0.65
2015,16,6,0.05
2015,16,7,-0.65
2015,16,8,-0.65
2015,16,9,0.05
2015,16,10,1.15
2015,16,11,3.35
2015,16,12,4.45
2015,16,13,5.05
2015,16,14,6.75
2015,16,15,6.75
2015,16,16,5.05
2015,16,17,3.95
2015,16,18,1.15
2015,16,19,-0.65
