"Ano","Dia","Hora","Temperatura"
2015,1,1,-1.75
2015,1,2,-1.75
2015,1,3,-2.25
2015,1,4,-2.25
2015,1,5,-2.25
2015,1,6,-2.25
2015,1,7,-2.25
2015,1,8,-2.25
2015,1,9,-2.25
2015,1,10,-2.25
2015,1,11,-1.15
2015,1,12,-0.65
2015,1,13,0.65
2015,1,14,2.25
2015,1,15,2.85
2015,1,16,3.35
2015,1,17,3.35
2015,1,18,3.35
2015,1,19,3.35
2015,1,20,3.35
2015,1,21,3.35
2015,1,22,2.85
2015,1,23,3.35
2015,1,24,3.35
2015,2,1,2.85
2015,2,2,2.85
2015,2,3,3.35
2015,2,4,3.35
2015,2,5,3.35
2015,2,6,2.85
2015,2,7,2.85
2015,2,8,2.85
2015,2,9,2.85
2015,2,10,3.35
2015,2,11,3.95
2015,2,12,4.45
2015,2,13,4.45
2015,2,14,5.05
2015,2,15,5.05
2015,2,16,5.65
2015,2,17,5.05
2015,2,18,4.45
2015,2,19,4.45
2015,2,20,4.45
2015,2,21,3.95
2015,2,22,3.35
2015,2,23,3.35
2015,2,24,2.25
2015,3,1,1.75
2015,3,2,1.75
2015,3,3,1.15
2015,3,4,1.15
2015,3,5,1.15
2015,3,6,0.65
2015,3,7,0.05
2015,3,8,0.05
2015,3,9,0.05
2015,3,10,0.65
2015,3,11,1.75
2015,3,12,2.85
2015,3,13,3.95
2015,3,14,1.75
2015,3,15,1.15
2015,3,16,0.65
2015,3,17,1.15
2015,3,18,2.25
2015,3,19,2.25
2015,3,20,2.85
2015,3,21,3.35
2015,3,22,3.35
2015,3,23,3.95
2015,3,24,4.45
2015,4,1,5.05
2015,4,2,5.05
2015,4,3,5.05
2015,4,4,5.05
2015,4,5,5.05
2015,4,6,5.05
2015,4,7,6.75
2015,4,8,7.25
2015,4,9,7.25
2015,4,10,7.25
2015,4,11,7.85
2015,4,12,8.35
2015,4,13,10.05
2015,4,14,10.65
2015,4,15,11.15
2015,4,16,11.75
2015,4,17,12.85
2015,4,18,13.35
2015,4,19,13.35
2015,4,20,13.35
2015,4,21,12.25
2015,4,22,12.25
2015,4,23,11.75
2015,4,24,11.15
2015,5,1,10.65
2015,5,2,9.45
2015,5,3,8.35
2015,5,4,7.25
2015,5,5,6.75
2015,5,6,5.65
2015,5,7,5.05
2015,5,8,5.05
2015,5,9,3.95
2015,5,10,4.45
2015,5,11,3.35
2015,5,12,2.85
2015,5,13,2.25
2015,5,14,1.75
2015,5,15,2.25
2015,5,16,1.75
2015,5,17,0.65
2015,5,18,0.05
2015,5,19,-1.15
2015,5,20,-1.75
2015,5,21,-2.85
2015,5,22,-3.95
2015,5,23,-5.05
2015,5,24,-5.65
2015,6,1,-5.65
2015,6,2,-6.15
2015,6,3,-6.75
2015,6,4,-6.75
2015,6,5,-7.25
2015,6,6,-6.75
2015,6,7,-7.25
2015,6,8,-6.75
2015,6,9,-6.75
2015,6,10,-7.25
2015,6,11,-7.85
2015,6,12,-7.25
2015,6,13,-6.75
2015,6,14,-6.75
2015,6,15,-6.15
2015,6,16,-6.15
2015,6,17,-5.65
2015,6,18,-5.65
2015,6,19,-5.65
2015,6,20,-6.15
2015,6,21,-6.15
2015,6,22,-5.65
2015,6,23,-6.15
2015,6,24,-5.65
2015,7,1,-6.15
2015,7,2,-6.15
2015,7,3,-6.15
2015,7,4,-6.15
2015,7,5,-5.65
2015,7,6,-5.65
2015,7,7,-5.65
2015,7,8,-6.15
2015,7,9,-5.65
2015,7,10,-5.65
2015,7,11,-5.05
2015,7,12,-4.45
2015,7,13,-5.05
2015,7,14,-5.65
2015,7,15,-5.05
2015,7,16,-3.95
2015,7,17,-5.65
2015,7,18,-6.75
2015,7,19,-8.35
2015,7,20,-9.45
2015,7,21,-10.65
2015,7,22,-11.75
2015,7,23,-11.75
2015,7,24,-12.25
2015,8,1,-12.25
2015,8,2,-12.25
2015,8,3,-12.85
2015,8,4,-12.25
2015,8,5,-13.35
2015,8,6,-12.85
2015,8,7,-12.85
2015,8,8,-12.25
2015,8,9,-12.25
2015,8,10,-11.75
2015,8,11,-10.65
2015,8,12,-9.45
2015,8,13,-8.35
2015,8,14,-7.25
2015,8,15,-6.75
2015,8,16,-6.75
2015,8,17,-6.75
2015,8,18,-7.25
2015,8,19,-7.25
2015,8,20,-7.85
2015,8,21,-8.35
2015,8,22,-8.35
2015,8,23,-8.35
2015,8,24,-8.35
2015,9,1,-7.85
2015,9,2,-6.75
2015,9,3,-6.15
2015,9,4,-5.65
2015,9,5,-5.05
2015,9,6,-3.95
2015,9,7,-3.95
2015,9,8,-3.95
2015,9,9,-5.05
2015,9,10,-4.45
2015,9,11,-3.95
2015,9,12,-3.35
2015,9,13,-1.75
2015,9,14,-0.65
2015,9,15,0.05
2015,9,16,0.05
2015,9,17,0.05
2015,9,18,-0.65
2015,9,19,-1.15
2015,9,20,-1.15
2015,9,21,-1.75
2015,9,22,-2.85
2015,9,23,-3.35
2015,9,24,-3.95
2015,10,1,-4.45
2015,10,2,-5.05
2015,10,3,-5.65
2015,10,4,-6.15
2015,10,5,-6.75
2015,10,6,-7.25
2015,10,7,-7.85
2015,10,8,-8.35
2015,10,9,-8.35
2015,10,10,-8.35
2015,10,11,-7.85
2015,10,12,-7.25
2015,10,13,-7.25
2015,10,14,-6.75
2015,10,15,-5.65
2015,10,16,-5.05
2015,10,17,-5.65
2015,10,18,-5.65
2015,10,19,-6.15
2015,10,20,-6.15
2015,10,21,-6.75
2015,10,22,-6.75
2015,10,23,-7.25
2015,10,24,-7.25
2015,11,1,-7.25
2015,11,2,-7.25
2015,11,3,-7.25
2015,11,4,-6.75
2015,11,5,-6.15
2015,11,6,-6.15
2015,11,7,-6.15
2015,11,8,-5.65
2015,11,9,-5.05
2015,11,10,-3.95
2015,11,11,-3.95
2015,11,12,-2.85
2015,11,13,-1.75
2015,11,14,-0.65
2015,11,15,0.05
2015,11,16,1.75
2015,11,17,2.25
2015,11,18,2.25
2015,11,19,2.25
2015,11,20,2.25
2015,11,21,1.75
2015,11,22,2.25
2015,11,23,2.25
2015,11,24,1.75
2015,12,1,2.25
2015,12,2,2.25
2015,12,3,2.25
2015,12,4,2.25
2015,12,5,2.25
2015,12,6,2.25
2015,12,7,2.25
2015,12,8,2.25
2015,12,9,2.85
2015,12,10,2.3
2015,12,11,1.75
2015,12,12,1.75
2015,12,13,2.25
2015,12,14,2.25
2015,12,15,2.25
2015,12,16,2.85
2015,12,17,2.85
2015,12,18,2.85
2015,12,19,2.85
2015,12,20,3.35
2015,12,21,3.95
2015,12,22,3.35
2015,12,23,2.85
2015,12,24,2.85
2015,13,1,2.25
2015,13,2,2.25
