"Ano","Dia","Hora","Temperatura"
2015,1,1,-7.25
2015,1,2,-7.25
2015,1,3,-7.25
2015,1,4,-6.75
2015,1,5,-7.25
2015,1,6,-6.75
2015,1,7,-6.75
2015,1,8,-6.75
2015,1,9,-6.75
2015,1,10,-5.65
2015,1,11,-5.05
2015,1,12,-5.05
2015,1,13,-5.05
2015,1,14,-4.45
2015,1,15,-3.95
2015,1,16,-4.45
2015,1,17,-4.45
2015,1,18,-4.45
2015,1,19,-5.05
2015,1,20,-3.95
2015,1,21,-3.35
2015,1,22,-2.85
2015,1,23,-2.85
2015,1,24,-2.25
2015,2,1,-2.25
2015,2,2,-1.75
2015,2,3,-1.75
2015,2,4,-2.85
2015,2,5,-2.85
2015,2,6,-3.95
2015,2,7,-5.05
2015,2,8,-6.15
2015,2,9,-7.85
2015,2,10,-8.95
2015,2,11,-8.35
2015,2,12,-7.25
2015,2,13,-6.75
2015,2,14,-6.75
2015,2,15,-6.75
2015,2,16,-6.15
2015,2,17,-7.25
2015,2,18,-7.85
2015,2,19,-7.85
2015,2,20,-7.85
2015,2,21,-8.95
2015,2,22,-9.45
2015,2,23,-10.65
2015,2,24,-11.75
2015,3,1,-16.15
2015,3,2,-17.25
2015,3,3,-18.35
2015,3,4,-18.35
2015,3,5,-18.35
2015,3,6,-18.35
2015,3,7,-18.35
2015,3,8,-17.25
2015,3,9,-14.45
2015,3,10,-13.35
2015,3,11,-11.15
2015,3,12,-10.65
2015,3,13,-9.45
2015,3,14,-9.45
2015,3,15,-10.65
2015,3,16,-9.45
2015,3,17,-8.35
2015,3,18,-8.95
2015,3,19,-9.45
2015,3,20,-9.45
2015,3,21,-8.95
2015,3,22,-7.85
2015,3,23,-9.45
2015,3,24,-8.95
2015,4,1,-7.25
2015,4,2,-6.15
2015,4,3,-5.65
2015,4,4,-3.95
2015,4,5,-3.95
2015,4,6,-3.95
2015,4,7,-3.35
2015,4,8,-3.35
2015,4,9,-3.35
2015,4,10,-2.85
2015,4,11,-1.15
2015,4,12,-1.15
2015,4,13,-0.65
2015,4,14,0.05
2015,4,15,0.05
2015,4,16,0.05
2015,4,17,2.85
2015,4,18,5.65
2015,4,19,5.65
2015,4,20,4.45
2015,4,21,2.85
2015,4,22,2.25
2015,4,23,-2.25
2015,4,24,-3.95
2015,5,1,-5.05
2015,5,2,-5.05
2015,5,3,-5.65
2015,5,4,-3.95
2015,5,5,-6.15
2015,5,6,-10.65
2015,5,7,-11.75
2015,5,8,-12.85
2015,5,9,-13.95
2015,5,10,-14.45
2015,5,11,-13.95
2015,5,12,-13.35
2015,5,13,-12.25
2015,5,14,-12.25
2015,5,15,-12.85
2015,5,16,-13.35
2015,5,17,-14.45
2015,5,18,-15.05
2015,5,19,-14.45
2015,5,20,-14.45
2015,5,21,-15.05
2015,5,22,-16.75
2015,5,23,-17.85
2015,5,24,-16.75
2015,6,1,-17.25
2015,6,2,-15.65
2015,6,3,-16.75
2015,6,4,-17.25
2015,6,5,-18.95
2015,6,6,-18.95
2015,6,7,-17.85
2015,6,8,-17.25
2015,6,9,-15.65
2015,6,10,-14.45
2015,6,11,-12.25
2015,6,12,-10.65
2015,6,13,-9.45
2015,6,14,-8.95
2015,6,15,-8.35
2015,6,16,-8.35
2015,6,17,-8.35
2015,6,18,-8.35
2015,6,19,-8.95
2015,6,20,-8.35
2015,6,21,-8.35
2015,6,22,-8.35
2015,6,23,-8.95
2015,6,24,-8.95
2015,7,1,-8.95
2015,7,2,-8.95
2015,7,3,-8.95
2015,7,4,-8.95
2015,7,5,-8.95
2015,7,6,-8.95
2015,7,7,-8.95
2015,7,8,-8.95
2015,7,9,-11.75
2015,7,10,-15.05
2015,7,11,-16.75
2015,7,12,-17.25
2015,7,13,-17.85
2015,7,14,-17.85
2015,7,15,-18.95
2015,7,16,-20.05
2015,7,17,-20.65
2015,7,18,-21.75
2015,7,19,-22.25
2015,7,20,-22.85
2015,7,21,-23.95
2015,7,22,-23.95
2015,7,23,-24.45
2015,7,24,-25.05
2015,8,1,-25.65
2015,8,2,-27.25
2015,8,3,-27.25
2015,8,4,-27.85
2015,8,5,-27.85
2015,8,6,-27.25
2015,8,7,-26.75
2015,8,8,-26.75
2015,8,9,-25.05
2015,8,10,-22.85
2015,8,11,-20.05
2015,8,12,-15.65
2015,8,13,-12.85
2015,8,14,-11.75
2015,8,15,-10.05
2015,8,16,-8.95
2015,8,17,-8.35
2015,8,18,-7.85
2015,8,19,-8.35
2015,8,20,-8.35
2015,8,21,-7.85
2015,8,22,-8.35
2015,8,23,-8.35
2015,8,24,-8.35
2015,9,1,-8.35
2015,9,2,-8.95
2015,9,3,-9.45
2015,9,4,-9.45
2015,9,5,-8.95
2015,9,6,-8.35
2015,9,7,-8.35
2015,9,8,-7.85
2015,9,9,-7.85
2015,9,10,-8.35
2015,9,11,-7.85
2015,9,12,-7.85
2015,9,13,-6.75
2015,9,14,-6.15
2015,9,15,-5.65
2015,9,16,-6.15
2015,9,17,-6.15
2015,9,18,-6.75
2015,9,19,-8.95
2015,9,20,-7.25
2015,9,21,-8.35
2015,9,22,-9.45
2015,9,23,-10.65
2015,9,24,-11.75
2015,10,1,-14.45
2015,10,2,-14.45
2015,10,3,-16.15
2015,10,4,-13.95
2015,10,5,-14.45
2015,10,6,-14.45
2015,10,7,-13.35
2015,10,8,-13.35
2015,10,9,-13.35
2015,10,10,-12.85
2015,10,11,-11.75
2015,10,12,-11.15
2015,10,13,-10.65
2015,10,14,-9.45
2015,10,15,-8.35
2015,10,16,-7.85
2015,10,17,-9.45
2015,10,18,-8.95
2015,10,19,-10.05
2015,10,20,-9.45
2015,10,21,-9.45
2015,10,22,-9.45
2015,10,23,-9.45
2015,10,24,-9.45
2015,11,1,-9.45
2015,11,2,-10.05
2015,11,3,-11.15
2015,11,4,-12.25
2015,11,5,-11.15
2015,11,6,-10.05
2015,11,7,-11.15
2015,11,8,-9.45
2015,11,9,-8.95
2015,11,10,-7.85
2015,11,11,-7.25
2015,11,12,-6.75
2015,11,13,-6.15
2015,11,14,-5.65
2015,11,15,-5.05
2015,11,16,-4.45
2015,11,17,-3.95
2015,11,18,-3.95
2015,11,19,-3.35
2015,11,20,-3.35
2015,11,21,-2.85
2015,11,22,-3.35
2015,11,23,-2.85
2015,11,24,-2.25
2015,12,1,-2.85
2015,12,2,-2.25
2015,12,3,-2.85
2015,12,4,-1.75
2015,12,5,0.65
2015,12,6,0.05
2015,12,7,-0.65
2015,12,8,-2.25
2015,12,9,-2.25
2015,12,10,-2.25
2015,12,11,-2
2015,12,12,-1.75
2015,12,13,-1.75
2015,12,14,-1.15
2015,12,15,-1.15
2015,12,16,-1.75
2015,12,17,-2.25
2015,12,18,-3.95
2015,12,19,-5.05
2015,12,20,-5.65
2015,12,21,-7.25
2015,12,22,-10.65
2015,12,23,-12.85
2015,12,24,-14.45
2015,13,1,-16.15
2015,13,2,-17.85
2015,13,3,-18.95
2015,13,4,-19.45
2015,13,5,-20.65
2015,13,6,-21.75
2015,13,7,-25.05
2015,13,8,-27.85
2015,13,9,-27.85
2015,13,10,-24.45
2015,13,11,-21.75
2015,13,12,-20.05
2015,13,13,-19.45
2015,13,14,-17.85
2015,13,15,-17.25
2015,13,16,-16.75
2015,13,17,-17.25
2015,13,18,-18.95
2015,13,19,-22.85
2015,13,20,-24.45
2015,13,21,-25.65
2015,13,22,-26.15
2015,13,23,-26.75
2015,13,24,-28.35
2015,14,1,-28.35
2015,14,2,-29.45
2015,14,3,-28.95
2015,14,4,-29.45
2015,14,5,-29.45
2015,14,6,-30.65
2015,14,7,-27.85
2015,14,8,-26.75
2015,14,9,-26.75
2015,14,10,-23.35
2015,14,11,-21.15
2015,14,12,-16.75
2015,14,13,-15.65
2015,14,14,-14.45
2015,14,15,-13.35
2015,14,16,-13.35
2015,14,17,-13.95
2015,14,18,-15.05
2015,14,19,-18.95
2015,14,20,-21.75
2015,14,21,-22.85
2015,14,22,-23.35
2015,14,23,-24.45
2015,14,24,-23.35
2015,15,1,-20.05
2015,15,2,-18.95
2015,15,3,-18.95
2015,15,4,-17.85
2015,15,5,-19.45
2015,15,6,-22.25
2015,15,7,-22.85
2015,15,8,-23.95
2015,15,9,-21.75
2015,15,10,-18.95
2015,15,11,-15.65
2015,15,12,-12.85
2015,15,13,-8.95
2015,15,14,-5.05
2015,15,15,-5.05
2015,15,16,-5.05
2015,15,17,-5.05
2015,15,18,-5.05
2015,15,19,-5.65
2015,15,20,-5.05
2015,15,21,-5.65
2015,15,22,-5.05
2015,15,23,-4.45
2015,15,24,-3.95
2015,16,1,-3.95
2015,16,2,-3.95
2015,16,3,-3.95
2015,16,4,-2.85
2015,16,5,-2.25
2015,16,6,-1.75
2015,16,7,-1.75
2015,16,8,-4.45
2015,16,9,-6.15
2015,16,10,-8.95
2015,16,11,-11.15
2015,16,12,-11.75
2015,16,13,-12.25
2015,16,14,-12.25
2015,16,15,-12.25
2015,16,16,-12.85
2015,16,17,-12.85
2015,16,18,-13.35
2015,16,19,-13.95
2015,16,20,-14.45
2015,16,21,-15.05
