"Ano","Dia","Hora","Temperatura"
2015,1,1,-8.01
2015,1,2,-8.01
2015,1,3,-9.01
2015,1,4,-10.01
2015,1,5,-11.01
2015,1,6,-9.05
2015,1,7,-8.05
2015,1,8,-8.05
2015,1,9,-8.05
2015,1,10,-8.05
2015,1,11,-9.05
2015,1,12,-9.05
2015,1,13,-9.05
2015,1,14,-9.05
2015,1,15,-7.05
2015,1,16,-6.05
2015,1,17,-4.05
2015,1,18,-3.05
2015,1,19,-3.05
2015,1,20,-2.05
2015,1,21,-1.05
2015,1,22,-1.05
2015,1,23,-2.05
2015,1,24,-2.05
2015,2,1,-3.05
2015,2,2,-2.05
2015,2,3,-1.05
2015,2,4,-1.05
2015,2,5,-1.05
2015,2,6,-2.05
2015,2,7,-2.05
2015,2,8,-2.05
2015,2,9,-2.05
2015,2,10,-2.05
2015,2,11,-2.05
2015,2,12,-2.05
2015,2,13,-2.05
2015,2,14,-2.05
2015,2,15,-2.05
2015,2,16,-1.05
2015,2,17,-1.05
2015,2,18,0.05
2015,2,19,-1.05
2015,2,20,-1.05
2015,2,21,-1.05
2015,2,22,-1.6
2015,2,23,-2.15
2015,2,24,-2.7
2015,3,1,-3.25
2015,3,2,-3.8
2015,3,3,-4.35
2015,3,4,-4.9
2015,3,5,-5.45
2015,3,6,-6
2015,3,7,-5.05
2015,3,8,-6.05
2015,3,9,-6.05
2015,3,10,-6.05
2015,3,11,-7.05
2015,3,12,-7.05
2015,3,13,-7.05
2015,3,14,-7.05
2015,3,15,-6.05
2015,3,16,-5.05
2015,3,17,-3.05
2015,3,18,-3.05
2015,3,19,-4.05
2015,3,20,-5.05
2015,3,21,-5.05
2015,3,22,-5.05
2015,3,23,-4.05
2015,3,24,-2.05
2015,4,1,-1.05
2015,4,2,0.05
2015,4,3,0.05
2015,4,4,0.05
2015,4,5,0.05
2015,4,6,0.05
2015,4,7,1.05
2015,4,8,1.05
2015,4,9,1.05
2015,4,10,1.05
2015,4,11,1.05
2015,4,12,1.05
2015,4,13,1.05
2015,4,14,0.05
2015,4,15,1.05
2015,4,16,1.05
2015,4,17,1.05
2015,4,18,2.05
2015,4,19,3.05
2015,4,20,3.05
2015,4,21,3.05
2015,4,22,3.05
2015,4,23,4.05
2015,4,24,4.05
2015,5,1,3.05
2015,5,2,6.05
2015,5,3,6.05
2015,5,4,5.05
2015,5,5,4.05
2015,5,6,3.05
2015,5,7,2.05
2015,5,8,2.05
2015,5,9,2.05
2015,5,10,1.05
2015,5,11,-1.05
2015,5,12,-2.05
2015,5,13,-3.05
2015,5,14,-4.05
2015,5,15,-4.05
2015,5,16,-5.05
2015,5,17,-6.05
2015,5,18,-6.05
2015,5,19,-6.05
2015,5,20,-7.05
2015,5,21,-7.05
2015,5,22,-8.05
2015,5,23,-9.05
2015,5,24,-11.05
2015,6,1,-11.05
2015,6,2,-12.05
2015,6,3,-12.05
2015,6,4,-13.05
2015,6,5,-13.05
2015,6,6,-13.05
2015,6,7,-13.05
2015,6,8,-14.05
2015,6,9,-14.05
2015,6,10,-14.05
2015,6,11,-13.05
2015,6,12,-13.05
2015,6,13,-13.05
2015,6,14,-12.05
2015,6,15,-12.05
2015,6,16,-11.05
2015,6,17,-11.05
2015,6,18,-11.05
2015,6,19,-10.05
2015,6,20,-9.05
2015,6,21,-10.05
2015,6,22,-10.05
2015,6,23,-11.05
2015,6,24,-11.05
2015,7,1,-12.05
2015,7,2,-12.05
2015,7,3,-13.05
2015,7,4,-13.05
2015,7,5,-15.05
2015,7,6,-15.05
2015,7,7,-16.05
2015,7,8,-13.05
2015,7,9,-14.05
2015,7,10,-14.05
2015,7,11,-14.05
2015,7,12,-12.05
2015,7,13,-12.05
2015,7,14,-12.05
2015,7,15,-11.05
2015,7,16,-10.05
2015,7,17,-10.05
2015,7,18,-9.05
2015,7,19,-11.05
2015,7,20,-12.05
2015,7,21,-12.7642857142857
2015,7,22,-13.4785714285714
2015,7,23,-14.1928571428571
2015,7,24,-14.9071428571429
2015,8,1,-15.6214285714286
2015,8,2,-16.3357142857143
2015,8,3,-17.05
2015,8,4,-18.05
2015,8,5,-18.05
2015,8,6,-18.05
2015,8,7,-18.05
2015,8,8,-18.05
2015,8,9,-19.05
2015,8,10,-19.05
2015,8,11,-19.05
2015,8,12,-19.05
2015,8,13,-20.05
2015,8,14,-19.05
2015,8,15,-17.05
2015,8,16,-14.05
2015,8,17,-13.05
2015,8,18,-12.05
2015,8,19,-11.05
2015,8,20,-10.05
2015,8,21,-11.05
2015,8,22,-11.05
2015,8,23,-12.05
2015,8,24,-13.05
2015,9,1,-13.05
2015,9,2,-13.05
2015,9,3,-13.05
2015,9,4,-13.05
2015,9,5,-13.05
2015,9,6,-12.05
2015,9,7,-12.05
2015,9,8,-11.05
2015,9,9,-11.05
2015,9,10,-12.05
2015,9,11,-11.05
2015,9,12,-11.05
2015,9,13,-11.05
2015,9,14,-11.05
2015,9,15,-9.05
2015,9,16,-7.05
2015,9,17,-6.05
2015,9,18,-6.05
2015,9,19,-6.05
2015,9,20,-6.05
2015,9,21,-6.05
2015,9,22,-6.05
2015,9,23,-7.05
2015,9,24,-8.05
2015,10,1,-9.05
2015,10,2,-9.05
2015,10,3,-9.05
2015,10,4,-10.05
2015,10,5,-11.05
2015,10,6,-11.05
2015,10,7,-12.05
2015,10,8,-13.05
2015,10,9,-13.05
2015,10,10,-14.05
2015,10,11,-14.05
2015,10,12,-14.05
2015,10,13,-15.05
2015,10,14,-15.05
2015,10,15,-14.05
2015,10,16,-13.05
2015,10,17,-12.05
2015,10,18,-11.05
2015,10,19,-11.05
2015,10,20,-10.05
2015,10,21,-10.05
2015,10,22,-11.05
2015,10,23,-12.05
2015,10,24,-13.05
2015,11,1,-14.05
2015,11,2,-14.05
2015,11,3,-13.05
2015,11,4,-14.05
2015,11,5,-15.05
2015,11,6,-14.05
2015,11,7,-14.05
2015,11,8,-14.05
2015,11,9,-15.05
2015,11,10,-15.05
2015,11,11,-14.05
2015,11,12,-15.05
2015,11,13,-14.05
2015,11,14,-13.05
2015,11,15,-11.05
2015,11,16,-10.05
2015,11,17,-9.05
2015,11,18,-8.05
2015,11,19,-6.05
2015,11,20,-5.05
2015,11,21,-4.05
2015,11,22,-3.05
2015,11,23,-3.05
2015,11,24,-3.05
2015,12,1,-3.05
2015,12,2,-3.05
2015,12,3,-3.05
2015,12,4,-3.05
2015,12,5,-2.05
2015,12,6,-3.05
2015,12,7,-4.05
2015,12,8,-4.05
2015,12,9,-4.05
2015,12,10,-4.05
2015,12,11,-4.05
2015,12,12,-4.05
2015,12,13,-3.05
2015,12,14,-3.05
2015,12,15,-2.05
2015,12,16,-1.05
2015,12,17,-1.05
2015,12,18,-1.05
2015,12,19,0.05
2015,12,20,0.05
