"Ano","Dia","Hora","Temperatura"
2015,1,1,-8.35
2015,1,2,-5.05
2015,1,3,-4.45
2015,1,4,-4.45
2015,1,5,-3.95
2015,1,6,-3.95
2015,1,7,-3.95
2015,1,8,-3.95
2015,1,9,-4.45
2015,1,10,-3.35
2015,1,11,-1.75
2015,1,12,-1.15
2015,1,13,0.05
2015,1,14,0.05
2015,1,15,1.75
2015,1,16,2.25
2015,1,17,2.25
2015,1,18,2.25
2015,1,19,1.15
2015,1,20,1.75
2015,1,21,2.25
2015,1,22,2.25
2015,1,23,2.25
2015,1,24,2.85
2015,2,1,2.85
2015,2,2,1.15
2015,2,3,-2.25
2015,2,4,-1.15
2015,2,5,-1.15
2015,2,6,0.65
2015,2,7,1.75
2015,2,8,2.25
2015,2,9,2.25
2015,2,10,2.85
2015,2,11,3.35
2015,2,12,3.95
2015,2,13,5.65
2015,2,14,5.05
2015,2,15,4.45
2015,2,16,4.45
2015,2,17,3.95
2015,2,18,2.25
2015,2,19,2.85
2015,2,20,2.25
2015,2,21,0.65
2015,2,22,-1.15
2015,2,23,-1.15
2015,2,24,-1.75
2015,3,1,-3.35
2015,3,2,-3.35
2015,3,3,-3.35
2015,3,4,-4.45
2015,3,5,-3.95
2015,3,6,-4.45
2015,3,7,-4.45
2015,3,8,-3.95
2015,3,9,-4.45
2015,3,10,-2.25
2015,3,11,-1.15
2015,3,12,0.65
2015,3,13,1.75
2015,3,14,1.75
2015,3,15,-0.65
2015,3,16,-0.65
2015,3,17,0.05
2015,3,18,0.05
2015,3,19,1.15
2015,3,20,1.75
2015,3,21,1.15
2015,3,22,1.75
2015,3,23,1.15
2015,3,24,1.75
2015,4,1,1.15
2015,4,2,1.15
2015,4,3,1.15
2015,4,4,1.75
2015,4,5,1.15
2015,4,6,1.15
2015,4,7,1.15
2015,4,8,1.15
2015,4,9,1.75
2015,4,10,1.75
2015,4,11,3.95
2015,4,12,2.85
2015,4,13,2.85
2015,4,14,3.95
2015,4,15,3.95
2015,4,16,3.95
2015,4,17,6.15
2015,4,18,5.05
2015,4,19,3.95
2015,4,20,7.85
2015,4,21,7.85
2015,4,22,8.95
2015,4,23,10.05
2015,4,24,10.05
2015,5,1,9.45
2015,5,2,7.25
2015,5,3,6.75
2015,5,4,6.15
2015,5,5,5.05
2015,5,6,5.65
2015,5,7,3.95
2015,5,8,3.35
2015,5,9,2.25
2015,5,10,1.75
2015,5,11,1.15
2015,5,12,0.65
2015,5,13,0.05
2015,5,14,0.05
2015,5,15,-1.75
2015,5,16,-1.75
2015,5,17,-1.75
2015,5,18,-3.35
2015,5,19,-4.45
2015,5,20,-5.65
2015,5,21,-6.15
2015,5,22,-6.75
2015,5,23,-7.25
2015,5,24,-7.85
2015,6,1,-7.85
2015,6,2,-8.35
2015,6,3,-8.35
2015,6,4,-8.35
2015,6,5,-7.85
2015,6,6,-7.85
2015,6,7,-7.85
2015,6,8,-7.85
2015,6,9,-7.85
2015,6,10,-7.25
2015,6,11,-7.85
2015,6,12,-7.25
2015,6,13,-7.25
2015,6,14,-6.75
2015,6,15,-6.75
2015,6,16,-6.15
2015,6,17,-6.15
2015,6,18,-6.15
2015,6,19,-7.25
2015,6,20,-7.85
2015,6,21,-7.25
2015,6,22,-7.25
