"Ano","Dia","Hora","Temperatura"
2015,1,1,-7
2015,1,2,-7
2015,1,3,-6
2015,1,4,-6
2015,1,5,-6
2015,1,6,-6
2015,1,7,-6
2015,1,8,-6
2015,1,9,-5.5
2015,1,10,-5
2015,1,11,-4
2015,1,12,-3
2015,1,13,-1
2015,1,14,-1
2015,1,15,0
2015,1,16,1
2015,1,17,1
2015,1,18,1
2015,1,19,0
2015,1,20,0
2015,1,21,1
2015,1,22,1
2015,1,23,1
2015,1,24,1
2015,2,1,1
2015,2,2,1
2015,2,3,0
2015,2,4,0
2015,2,5,0
2015,2,6,0
2015,2,7,0
2015,2,8,0
2015,2,9,1
2015,2,10,1
2015,2,11,2
2015,2,12,2
2015,2,13,3
2015,2,14,3
2015,2,15,3
2015,2,16,3
2015,2,17,2
2015,2,18,1
2015,2,19,0
2015,2,20,-1
2015,2,21,-2
2015,2,22,-2.5
2015,2,23,-3
2015,2,24,-3
2015,3,1,-4
2015,3,2,-5
2015,3,3,-4
2015,3,4,-3
2015,3,5,-4
2015,3,6,-4
2015,3,7,-4
2015,3,8,-5
2015,3,9,-5
2015,3,10,-3.5
2015,3,11,-2
2015,3,12,-1.5
2015,3,13,-1
2015,3,14,0
2015,3,15,-2
2015,3,16,-2
2015,3,17,-2
2015,3,18,-1
2015,3,19,0
2015,3,20,1
2015,3,21,1
2015,3,22,2
2015,3,23,1
2015,3,24,0
2015,4,1,0
2015,4,2,0
2015,4,3,0.5
2015,4,4,1
2015,4,5,1
2015,4,6,1
2015,4,7,1
2015,4,8,1
2015,4,9,1
2015,4,10,1
2015,4,11,1
2015,4,12,1
2015,4,13,2
2015,4,14,2
2015,4,15,3
2015,4,16,5
2015,4,17,5
2015,4,18,6
2015,4,19,7
2015,4,20,8
2015,4,21,8
2015,4,22,8
2015,4,23,9
2015,4,24,8
2015,5,1,8
2015,5,2,6
2015,5,3,5.33333333333333
2015,5,4,4.66666666666667
2015,5,5,4
2015,5,6,3
2015,5,7,2
2015,5,8,2
2015,5,9,1
2015,5,10,0
2015,5,11,-1
2015,5,12,-1
2015,5,13,-1
2015,5,14,-1
2015,5,15,-2
2015,5,16,-3
2015,5,17,-3
2015,5,18,-5
2015,5,19,-6
2015,5,20,-7
2015,5,21,-8
2015,5,22,-9
2015,5,23,-9
2015,5,24,-10
2015,6,1,-10
2015,6,2,-10
2015,6,3,-10
2015,6,4,-10
2015,6,5,-10
2015,6,6,-10
2015,6,7,-10
2015,6,8,-10
2015,6,9,-10
2015,6,10,-9
2015,6,11,-9
2015,6,12,-9
2015,6,13,-9
2015,6,14,-9
2015,6,15,-8
2015,6,16,-8
2015,6,17,-8
2015,6,18,-8
2015,6,19,-9
2015,6,20,-9
2015,6,21,-10
2015,6,22,-10
2015,6,23,-10
2015,6,24,-11
2015,7,1,-11
2015,7,2,-12
