"Ano","Dia","Hora","Temperatura"
2015,1,1,-5.05
2015,1,2,-5.65
2015,1,3,-5.65
2015,1,4,-5.65
2015,1,5,-6.15
2015,1,6,-6.75
2015,1,7,-6.15
2015,1,8,-6.75
2015,1,9,-6.75
2015,1,10,-5.65
2015,1,11,-3.35
2015,1,12,-3.35
2015,1,13,-2.85
2015,1,14,-2.25
2015,1,15,-1.15
2015,1,16,0.05
2015,1,17,0.05
2015,1,18,-2.85
2015,1,19,-2.85
2015,1,20,-3.95
2015,1,21,-3.35
2015,1,22,0.05
2015,1,23,0.05
2015,1,24,0.05
2015,2,1,-1.15
2015,2,2,-1.15
2015,2,3,-1.15
2015,2,4,-1.15
2015,2,5,-1.15
2015,2,6,-1.15
2015,2,7,-0.65
2015,2,8,-0.65
2015,2,9,-1.75
2015,2,10,-2.25
2015,2,11,-2.25
2015,2,12,-1.75
2015,2,13,-1.75
2015,2,14,-2.25
2015,2,15,-3.35
2015,2,16,-3.35
2015,2,17,-3.95
2015,2,18,-3.95
2015,2,19,-3.95
2015,2,20,-3.95
2015,2,21,-6.15
2015,2,22,-6.75
2015,2,23,-7.25
2015,2,24,-7.85
2015,3,1,-8.95
2015,3,2,-8.35
2015,3,3,-6.75
2015,3,4,-7.85
2015,3,5,-8.35
2015,3,6,-7.25
2015,3,7,-6.75
2015,3,8,-6.75
2015,3,9,-6.75
2015,3,10,-6.15
2015,3,11,-4.45
2015,3,12,-3.95
2015,3,13,-3.35
2015,3,14,-3.35
2015,3,15,-3.95
2015,3,16,-3.95
2015,3,17,-3.35
2015,3,18,-3.35
2015,3,19,-1.75
2015,3,20,0.05
2015,3,21,1.15
2015,3,22,2.85
2015,3,23,3.95
2015,3,24,3.95
2015,4,1,4.45
2015,4,2,5.05
2015,4,3,5.65
2015,4,4,5.65
2015,4,5,5.65
2015,4,6,6.15
2015,4,7,5.65
2015,4,8,5.65
2015,4,9,7.85
2015,4,10,7.25
2015,4,11,4.45
2015,4,12,8.95
2015,4,13,11.75
2015,4,14,12.25
2015,4,15,10.05
2015,4,16,10.65
2015,4,17,8.95
2015,4,18,6.75
2015,4,19,5.05
2015,4,20,4.45
2015,4,21,3.95
2015,4,22,3.35
2015,4,23,2.25
2015,4,24,0.65
2015,5,1,0.65
2015,5,2,0.05
2015,5,3,-1.75
2015,5,4,-2.25
2015,5,5,-3.35
2015,5,6,-4.45
2015,5,7,-5.05
2015,5,8,-5.65
2015,5,9,-6.75
2015,5,10,-7.25
2015,5,11,-7.25
2015,5,12,-7.25
2015,5,13,-7.85
2015,5,14,-9.45
2015,5,15,-8.35
2015,5,16,-8.35
2015,5,17,-9.45
2015,5,18,-10.05
2015,5,19,-10.65
2015,5,20,-11.15
2015,5,21,-11.75
2015,5,22,-11.75
2015,5,23,-12.25
2015,5,24,-12.25
