Data, Feriado
2015/01/01, New Years's day
2015/01/19, Martin Luther King day
2015/02/12, Lincoln's Birthday
2015/02/16, President's Day/Susan B. Anthony Day Observance
2015/05/25, Memorial Day
2015/06/19, Juneteenth
2015/07/03, Independence Day Observance
2015/07/04, Independence Day
2015/09/07, Labor Day
2015/10/12, Columbus Day
2015/11/03, Election Day
2015/11/11, Veterans Day
2015/11/26, Thanksgiving
2015/12/25, Christmas
2016/01/01, New Years's day
2016/01/18, Martin Luther King day
2016/02/12, Lincoln's Birthday
2016/02/15, President's Day/Susan B. Anthony Day Observance
2016/05/30, Memorial Day
2016/06/19, Juneteenth
2016/07/04, Independence Day
2016/09/05, Labor Day
2016/10/10, Columbus Day
2016/11/11, Veterans Day
2016/11/24, Thanksgiving
2016/12/25, Christmas
2016/12/26, Christmas Observance
2017/01/01, New Years's day
2017/01/02, New Years's day Observance
2017/01/16, Martin Luther King day
2017/02/12, Lincoln's Birthday
2017/02/13, Lincoln's Birthday Observance
2017/02/20, President's Day/Susan B. Anthony Day Observance
2017/05/29, Memorial Day
2017/06/19, Juneteenth
2017/07/04, Independence Day
2017/09/04, Labor Day
2017/10/09, Columbus Day
2017/11/07, Election Day
2017/11/10, Veterans Day Observance
2017/11/11, Veterans Day
2017/11/23, Thanksgiving
2017/12/25, Christmas
2018/01/01, New Years's day
2018/01/15, Martin Luther King day
2018/02/12, Lincoln's Birthday
2018/02/19, President's Day
2018/05/28, Memorial Day
2018/06/19, Juneteenth
2018/07/04, Independence Day
2018/09/03, Labor Day
2018/10/08, Columbus Day
2018/11/06, Election Day
2018/11/11, Veterans Day
2018/11/12, Veterans Day Observance
2018/11/22, Thanksgiving
2018/12/25, Christmas
